configuration,seed,steps,finite,initial_loss,final_loss,accuracy,qnn_nonzero_count,nonfinite_count,parameter_hash,logits_hash,oracle_exact,free_exact
T16_D256_FFN372_L3_H4,1,320,true,7.68096745,0.04934813201,0.984375,0,0,6d8a12558e4d5abdf1147a4a60912da3732e4cbe3fec9a38476ab6baeeb064a9,0b6e0aa69729fd84c3d88ddc4391065a282548f866d0f8ed6dee3826103e75ed,4,4
T16_D256_FFN372_L3_H4,2,320,true,8.436111331,2.042828531,0.96875,0,0,d83e328e7b57d41e7450d73d0e6ef794263a5860a0382fcc3897aa201640ddf1,239eb7ec9612733930050829942dad19ddaab29f26637d879958be68a12c834f,4,4
T16_D256_FFN372_L3_H4,3,320,true,7.798034549,1.842042717,0.953125,0,0,4e85a8478e77e572f8f60c7089498dd66286284fe3544bb7578a4a5aea40df29,500c00ce123d410fd693ad76213e59f99a163a1a256d5dc822cc2deec6758d5e,4,4
T16_D256_FFN372_L3_H4,4,320,true,8.362135172,0.0002282328244,1,0,0,bc70f6e86440ed8c2a306b2933da64f8cb54e739939f9b31d1c0d23b17583a63,9a8ae623d32575bfbf2782a07246c2ef422fdc7882d6c0987361106a9299ecc4,4,4
T16_D256_FFN372_L3_H4,5,320,true,7.539320827,2.117931694,0.9375,0,0,555947e052fd20c41e1f180dc5781def16fe047b5d9ff20428c61eca786a7d04,62d44b7d8b998f7b9a9709cb3760f4b5747c81a5e7ba155a998547ea222f4ee3,4,4
T8_D16_FFN32_L19_H2,1,320,true,3.391207337,0.2628983026,0.875,0,0,e38ac2456ce22ca5c576c896611bb3fef73b0fa3ee53045a0e5eb7cc2a02b10e,e55deb89d63ce4fbd01063d833d2f8fcb75a41c25f0af706b203b2fd7d13c1ba,2,2
T8_D16_FFN32_L19_H2,2,320,true,3.534271538,5.430384445,0.28125,0,0,2a4f066233de05413fd68bf534fa35e72bbe408ced652979e7a8cd11e7c61512,5b243f6cc5b77f2c1951840c49f23a2ed31b93bf2f3474de5892e7fd553902a3,2,2
T8_D16_FFN32_L19_H2,3,320,true,3.483351469,3.335117073,0.65625,0,0,4241d59f529416977ab62c65532bd4b64ee77f7326e6b6362572da1fdd838609,d872563d5679642f9b357089b2b5afcb0f719cff5faf95bf2f26cd2c17b06f6b,3,3
T8_D16_FFN32_L19_H2,4,320,true,3.453128457,3.445386769,0.625,0,0,b863d536ac4a1a11c8a6ce4ea9b0a555da32dde4a58bde46112bc4ad100dcd34,d2c2117c0ca219af1ef9e84a4723259f503e77c88f6d6af2b7036c6271f7fd0a,3,3
T8_D16_FFN32_L19_H2,5,320,true,3.378853261,0.871335296,0.71875,0,0,45180e06954c7f32d29b8df5e067e5184df2c25a7766d859605148d1751af8d4,3d15f2fb0c68e84f446ba9a2db7f8aca4fc8707f4b307f1e8b45fe2120b77709,3,3
