"checkpoint","tensor","repeats_per_process","processes","maximum_unique_canonical_hashes_within_process","unique_representative_canonical_hashes_across_processes","maximum_repeat_max_abs_difference","maximum_poison_residual_elements"
"E","logits","100","5","1","1","0","0"
"E","softmax_probability","100","5","1","1","0","0"
"E","dlogits","100","5","1","1","0","0"
"E","output_projection_gradient","100","5","1","1","0","0"
"E","transformer_output","100","5","1","1","0","0"
"E","embedding_input_gradient","100","5","2","1","5431.98079","0"
"E","token_embedding_gradient","100","5","2","2","3943.92664","0"
"E","next_token_embedding","100","5","2","2","1.18225098","0"
"D","logits","100","5","1","1","0","0"
"D","softmax_probability","100","5","1","1","0","0"
"D","dlogits","100","5","1","1","0","0"
"D","output_projection_gradient","100","5","1","1","0","0"
"D","transformer_output","100","5","1","1","0","0"
"D","embedding_input_gradient","100","5","1","1","0","0"
"D","token_embedding_gradient","100","5","1","1","0","0"
"D","next_token_embedding","100","5","1","1","0","0"
"L","logits","100","5","1","1","0","0"
"L","softmax_probability","100","5","1","1","0","0"
"L","dlogits","100","5","1","1","0","0"
"L","output_projection_gradient","100","5","1","1","0","0"
"L","transformer_output","100","5","1","1","0","0"
"L","embedding_input_gradient","100","5","1","1","0","0"
"L","token_embedding_gradient","100","5","1","1","0","0"
"L","next_token_embedding","100","5","1","1","0","0"
