"checkpoint","scope","attempts_per_process","processes","maximum_unique_canonical_hashes","maximum_repeat_max_abs_difference","maximum_nonfinite_count","maximum_poison_residual_elements"
"E","a_same_graph","100","5","1","0","0","0"
"E","b_recreate_graph_context_reuse","30","5","1","0","0","0"
"E","c_recreate_context_backend_reuse","20","5","1","0","0","0"
"E","d_backend_runtime_recreate","10","5","1","0","0","0"
"D","a_same_graph","100","5","1","0","0","0"
"D","b_recreate_graph_context_reuse","30","5","1","0","0","0"
"D","c_recreate_context_backend_reuse","20","5","1","0","0","0"
"D","d_backend_runtime_recreate","10","5","1","0","0","0"
"L","a_same_graph","100","5","1","0","0","0"
"L","b_recreate_graph_context_reuse","30","5","1","0","0","0"
"L","c_recreate_context_backend_reuse","20","5","1","0","0","0"
"L","d_backend_runtime_recreate","10","5","1","0","0","0"
