"configuration","seed","parameter_max_abs_difference","qnn_nonzero_return_count","finite","comparison_scope"
"baseline","1","0.198831968","0","true","CPU reference trajectory versus QNN HTP trajectory"
"baseline","2","0.3584909886","0","true","CPU reference trajectory versus QNN HTP trajectory"
"baseline","3","0.2993112803","0","true","CPU reference trajectory versus QNN HTP trajectory"
"baseline","4","0.3040368557","0","true","CPU reference trajectory versus QNN HTP trajectory"
"baseline","5","0.2588277534","0","true","CPU reference trajectory versus QNN HTP trajectory"
"depth","1","0.3636469841","0","true","CPU reference trajectory versus QNN HTP trajectory"
"depth","2","0.4624633789","0","true","CPU reference trajectory versus QNN HTP trajectory"
"depth","3","0.3491052389","0","true","CPU reference trajectory versus QNN HTP trajectory"
"depth","4","0.4727191329","0","true","CPU reference trajectory versus QNN HTP trajectory"
"depth","5","0.3097172123","0","true","CPU reference trajectory versus QNN HTP trajectory"
"heads","1","0.1425408348","0","true","CPU reference trajectory versus QNN HTP trajectory"
"heads","2","0.07796010189","0","true","CPU reference trajectory versus QNN HTP trajectory"
"heads","3","0.1007154658","0","true","CPU reference trajectory versus QNN HTP trajectory"
"heads","4","0.09188387915","0","true","CPU reference trajectory versus QNN HTP trajectory"
"heads","5","0.1416836381","0","true","CPU reference trajectory versus QNN HTP trajectory"
"combined","1","0.262482658","0","true","CPU reference trajectory versus QNN HTP trajectory"
"combined","2","0.2391884327","0","true","CPU reference trajectory versus QNN HTP trajectory"
"combined","3","0.2616035044","0","true","CPU reference trajectory versus QNN HTP trajectory"
"combined","4","0.7661970258","0","true","CPU reference trajectory versus QNN HTP trajectory"
"combined","5","0.3833301663","0","true","CPU reference trajectory versus QNN HTP trajectory"
"width","1","0.1102439724","0","true","CPU reference trajectory versus QNN HTP trajectory"
"width","2","0.114654161","0","true","CPU reference trajectory versus QNN HTP trajectory"
"width","3","0.1420872398","0","true","CPU reference trajectory versus QNN HTP trajectory"
"width","4","0.09689183533","0","true","CPU reference trajectory versus QNN HTP trajectory"
"width","5","0.1746456772","0","true","CPU reference trajectory versus QNN HTP trajectory"
