"configuration","case_id","seed","pattern","prefix","expected_sequence","generated_sequence","exact","first_mismatch_step","expected_token","predicted_token","top3"
"baseline","s1_p0","1","0","0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"baseline","s1_p1","1","1","4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"baseline","s1_p2","1","2","8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"baseline","s1_p3","1","3","10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","-1","NONE","NONE","NONE"
"baseline","s2_p0","2","0","0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"baseline","s2_p1","2","1","4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"baseline","s2_p2","2","2","8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"baseline","s2_p3","2","3","10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","-1","NONE","NONE","NONE"
"baseline","s3_p0","3","0","0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"baseline","s3_p1","3","1","4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"baseline","s3_p2","3","2","8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"baseline","s3_p3","3","3","10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","-1","NONE","NONE","NONE"
"baseline","s4_p0","4","0","0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"baseline","s4_p1","4","1","4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"baseline","s4_p2","4","2","8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"baseline","s4_p3","4","3","10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","-1","NONE","NONE","NONE"
"baseline","s5_p0","5","0","0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"baseline","s5_p1","5","1","4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"baseline","s5_p2","5","2","8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"baseline","s5_p3","5","3","10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","-1","NONE","NONE","NONE"
"depth","s1_p0","1","0","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"depth","s1_p1","1","1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"depth","s1_p2","1","2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"depth","s1_p3","1","3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,2,12,10,2,12,10","false","2","11","2","2,6,7"
"depth","s2_p0","2","0","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"depth","s2_p1","2","1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,2,6,7,4,2,6,7","false","1","5","2","2,7,3"
"depth","s2_p2","2","2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"depth","s2_p3","2","3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,12,0,12,12,0,12,12","false","1","10","12","12,9,1"
"depth","s3_p0","3","0","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,0,3,3,0,0,3,3","false","1","1","0","0,1,11"
"depth","s3_p1","3","1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,8,6,7,4,8,6,7","false","1","5","8","8,0,12"
"depth","s3_p2","3","2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"depth","s3_p3","3","3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","-1","NONE","NONE","NONE"
"depth","s4_p0","4","0","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"depth","s4_p1","4","1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,2,3,7,4,2,3,7","false","1","5","2","2,5,12"
"depth","s4_p2","4","2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"depth","s4_p3","4","3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","-1","NONE","NONE","NONE"
"depth","s5_p0","5","0","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"depth","s5_p1","5","1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,10,6,7,4,10,6,7","false","1","5","10","10,5,4"
"depth","s5_p2","5","2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
"depth","s5_p3","5","3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","-1","NONE","NONE","NONE"
"heads","s1_p0","1","0","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE"
"heads","s1_p1","1","1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE"
"heads","s1_p2","1","2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE"
