"configuration","seed","all_steps_finite","nonfinite_count","final_loss","final_accuracy","parameter_hash","logits_hash"
"baseline","1","true","0","0.1628002109","0.984375","25b279c51bfe383c3f5f88bda4c44a7eee0ee3da5baf5d92b48f66efe59271ba","35da152a62fcb535ecf2d47e7860409c6f5fefbb29f1d30388685dd8b0c7599b"
"baseline","2","true","0","0.01334153887","0.9921875","77f4b16cdaec4a33b65981053e645dfaa51561942d8902cc8fcaaa4a871dd176","b1dda0586fb3a19f0b18273ec38d1b5870410eb76cd44cfa9153a2836f744930"
"baseline","3","true","0","0.2461791638","0.9765625","e935c2d122ab1c2ef79a7858309921d38c441a7fdb8940c49cd01ca3d370e418","46dc47584cb28a0d80c201516690f85f981a7d74034050b25d40e331d947a24e"
"baseline","4","true","0","0.003765046838","1","aa9e831edad35722546c011f552620413691d23e3d307724fa0bdb91feb54855","d7394da01b47d4b1e739a3105f98a3fbf71ed4f93b334fc559aed66697cf030e"
"baseline","5","true","0","0.08153842706","0.96875","e7d794050435053992eb8731bc215eae6b847a3990cd27717b4a0efebb44cb16","236b0c631b4df78f34cac628be6dbb5e6bd01a5834884f56d11ffde5f1f6c75d"
"depth","1","true","0","0.457979778","0.84375","ca26ebce8420043662abc74c84c5d37f4d7aaf7e837a8c8e12cb7c1266f3f601","84d190e73a13aed89526699fd24786c60e2f459b2463cf796797e60f57e05bea"
"depth","2","true","0","5.851241769","0.3125","3489d744f64c258f5f543c9d8324d84d2d2cc1a73b3286f897ef6abd30cade6c","103ff1fa46d09309651d5a64e7f4ad7f371fbac7913b6c322c5555d72493a78b"
"depth","3","true","0","2.623873755","0.5625","76b02123af8c1a3ae8426e0bef72cb11c0d5132ec9fd00a583818a75fd689102","507d51b60cf2ba2cc5dcdfc48b0309162e06f7b97e3d2a8a63d08bdd90d75f12"
"depth","4","true","0","1.861471009","0.625","a968a7562df5c822342082e115da3c425599bde8ee9a0155d4ec4981b2f635c4","87d38155a98bc7d9e9b8856c678946e5848e8f98a0775cbe3c783c3513ba1cd1"
"depth","5","true","0","1.115352222","0.71875","f0621c3cdb836cdd47d7e1ab5af40d0229147a4f7bff8e56213e09345eb4f4fe","70cce703a97b181ba8ecda251fe79bb85b385e5e322b47a82775833fa21726e1"
"heads","1","true","0","0.1045701694","0.96875","0b5e63339718e3475b2bb0cfca97a61fb93c70cc6a918c8af962a1531ed4ccad","77da3abe13a43bb7fb5be950c49899c83255400c46538ee57612ee8fbd660ef1"
"heads","2","true","0","0.01674487773","1","7933aa82700345f647719dacd45a2eedcad36467d756eadf5cc36515b2c699d0","69ed51551d93dc6b21371f8fc38b3fa9f4fb88c7524d0c1b9e3882c1920b5dd1"
"heads","3","true","0","0.02269565363","1","f93b5e4c5186048fc7b07a6d7452de013a2d31bccdb56435515018b1f0bbde19","06bbd070936a30cc3420deb42c8e0df5bfb3ac6b8b04b694a6d2b53f82f49646"
"heads","4","true","0","0.03593138477","0.96875","f98a21ccfabc4941f4414e3daff63914654cf63c5f1de3f635ca55ab5c724f90","b67801906ee3f24f09df4c4e9144f60e4e394e7b490d5857e92c32f901b0b7a7"
"heads","5","true","0","0.0001121873087","1","5f4416e2bfb6cdabcb67bcf323a7974e4ff15f4ae0da51aae544a090529d9832","ea0f0e1de543906ca83a638d9ac7c8d395beebe6089bc5af417367044fc33642"
"combined","1","true","0","0.04407506244","0.984375","57dc310deee2ea179be84994b5574fd10719895860b310187832dd8827bd91f4","3b4f90fe45bca21e2dadd11e029c9e40e8dd3d82e89403789d29971fb4095f09"
"combined","2","true","0","0.05676146615","0.96875","d147031d7907d3fe329c49921a565825a5aa712d9cdfa4613384be27f0cf47d3","0f88351ca4ff969121c004443f9835277ecee718d9a88963c80803178ed32f7f"
"combined","3","true","0","0.005631994323","1","aecfd2afe9dcc1426fea8a57974cdac9d848a12fd47ca9a0176936c4f1e73ec6","8810999307a3eff941ad58cd137177a4bb7d643e803af2927e21848c61ad177a"
"combined","4","true","0","0.1241457062","0.96875","232b626d37d0283b252d37bc6d415bf61c73b0529ed4f10f32f2f1b9b204b796","4f04f9d78aa9d011fc7431ff3c0476a693ac5ceaff9ef20cfeed0ee9e89f6bf5"
"combined","5","true","0","0.101653289","0.96875","cf95bf63c2cf14fb5676637143047efb883cb5c80eb6fb7a55a1c56074c42679","8c5a64fc374607a0dd642107d0dbfa6ef00eded186566dfe44689dcb1d9d1438"
"width","1","true","0","0.3422993545","0.96875","8abe8a5138c9429b76e1255c8d9570479e463f2d6f7ac495bd942e0052328132","93132d6f99cb85f961b155525efc5eb85d27c22f0debdc9c7d6260ca65e943d1"
"width","2","true","0","0.4165818268","0.953125","8cf95b20b0acb15a30d8d043f172d1cea83049d8d4de3619cfec96e29a91a27d","14852faf067c936cc6cce2d843c9ae12435c008e9d266b3801372c8d78e098a8"
"width","3","true","0","0.3473060097","0.953125","3bf9ad99b530eb254c2549591244f0e6a2dcc325d55fedd7991bdf76cf6e4fcb","c4320bc2083cdbabe6734d365915a8c2d12c401f8d034991ed7ebed11fd220ff"
"width","4","true","0","0.2144999888","0.953125","adff465befa28c88dce0ae88126abc52d46bced2ba2a88c374cb4b4d86d1e9ef","33ccbc724f7b7f7b23908373771de369446cd22888faf0e59aabe900e7b2c97b"
"width","5","true","0","0.2066224525","0.953125","0f8520bd8a64c9d47f50eff59a9b99abb88b6418f01f365c46a75e00050ea02d","6858522b21863a9bc9a59c857fac5bf9d6225bc2db599551cd47efa42c5e1382"
