"run_id","configuration","seed","training_stability_mode","status","qnn_nonzero_return_count","nan_detected","inf_detected","final_evaluation_loss","final_evaluation_accuracy","final_mean_logit_margin","final_minimum_logit_margin","qualifying_seed_count","exact_rollout_count","oracle_exact_rollout_count","selection_status"
"l19s1-stab4","T8/D16/FFN32/L19/H2","1","DEPTH_SCALED_BRANCH_INIT","FAILED","0","false","false","9.166192576","0.375","-6.641998291","-40.4609375","0","1","1","NOT_SELECTED"
"l19s2-stab4","T8/D16/FFN32/L19/H2","2","DEPTH_SCALED_BRANCH_INIT","FAILED","0","false","false","0.9089257799","0.71875","3.355712891","-8.796875","1","3","3","NOT_SELECTED"
"l19s4-stab4","T8/D16/FFN32/L19/H2","4","DEPTH_SCALED_BRANCH_INIT","FAILED","0","false","false","2.112254943","0.59375","0.5705280304","-14.90600586","0","2","2","NOT_SELECTED"
"l19s1-stab6","T8/D16/FFN32/L19/H2","1","GRADIENT_CLIP_1","FAILED","0","false","false","14.65525857","0.71875","-8.368564606","-68.23046875","0","1","1","NOT_SELECTED"
"l19s2-stab6","T8/D16/FFN32/L19/H2","2","GRADIENT_CLIP_1","FAILED","0","false","false","54.08401656","0.25","-51.21038055","-143.15625","0","1","1","NOT_SELECTED"
"l19s4-stab6","T8/D16/FFN32/L19/H2","4","GRADIENT_CLIP_1","FAILED","0","false","false","33.78626745","0.40625","-30.15478516","-130.34375","0","2","2","NOT_SELECTED"
"l18s1","T8/D16/FFN32/L18/H2","1","LEGACY","FAILED","0","false","false","0.457979778","0.84375","4.166870117","-5.7421875","1","3","3","BASELINE"
"l19s1","T8/D16/FFN32/L19/H2","1","LEGACY","FAILED","0","false","false","0.2628983026","0.875","4.068725586","-1.8828125","0","2","2","BASELINE"
"l18s2","T8/D16/FFN32/L18/H2","2","LEGACY","FAILED","0","false","false","5.851241769","0.3125","-4.379882812","-28.578125","0","2","2","BASELINE"
"l19s2","T8/D16/FFN32/L19/H2","2","LEGACY","FAILED","0","false","false","5.430384445","0.28125","-4.246520996","-17.71289062","0","2","2","BASELINE"
"l19s4","T8/D16/FFN32/L19/H2","4","LEGACY","FAILED","0","false","false","3.445386769","0.625","-0.165725708","-16.85400391","1","3","3","BASELINE"
"l19s1-stab3","T8/D16/FFN32/L19/H2","1","ZERO_OUTPUT_PROJ_BRANCH_INIT","FAILED","0","false","false","0.6862853346","0.78125","3.171630859","-5.328125","1","3","3","NOT_SELECTED"
"l19s2-stab3","T8/D16/FFN32/L19/H2","2","ZERO_OUTPUT_PROJ_BRANCH_INIT","FAILED","0","false","false","2.280894114","0.71875","1.471923828","-20.9375","1","3","3","NOT_SELECTED"
"l19s4-stab3","T8/D16/FFN32/L19/H2","4","ZERO_OUTPUT_PROJ_BRANCH_INIT","FAILED","0","false","false","1.941529055","0.625","1.925292969","-17.38085938","1","3","3","NOT_SELECTED"
