"run_id","configuration","seed","training_stability_mode","step","evaluation_loss","evaluation_accuracy","mean_logit_margin","minimum_logit_margin","finite"
"l18s1","T8/D16/FFN32/L18/H2","1","LEGACY","1","3.322680771","0.09375","-0.3767881393","-0.7678222656","true"
"l18s1","T8/D16/FFN32/L18/H2","1","LEGACY","2","3.284984887","0.125","-0.4287924767","-0.9685058594","true"
"l18s1","T8/D16/FFN32/L18/H2","1","LEGACY","4","3.115334868","0.25","-0.3366851807","-0.9311523438","true"
"l18s1","T8/D16/FFN32/L18/H2","1","LEGACY","8","2.810148239","0.1875","-0.5436468124","-1.488769531","true"
"l18s1","T8/D16/FFN32/L18/H2","1","LEGACY","16","2.450077891","0.3125","-0.7758319378","-2.630371094","true"
"l18s1","T8/D16/FFN32/L18/H2","1","LEGACY","32","1.715240657","0.5625","-0.2279624939","-2.78894043","true"
"l18s1","T8/D16/FFN32/L18/H2","1","LEGACY","64","0.878289476","0.6875","0.8165588379","-3.25","true"
"l18s1","T8/D16/FFN32/L18/H2","1","LEGACY","96","0.7055959571","0.8125","1.661743164","-4.5625","true"
"l18s1","T8/D16/FFN32/L18/H2","1","LEGACY","128","0.5991746928","0.8125","2.326049805","-4.30859375","true"
"l18s1","T8/D16/FFN32/L18/H2","1","LEGACY","160","0.54737869","0.8125","2.696899414","-4.671875","true"
"l18s1","T8/D16/FFN32/L18/H2","1","LEGACY","192","0.5203478008","0.8125","3.012939453","-4.9609375","true"
"l18s1","T8/D16/FFN32/L18/H2","1","LEGACY","224","0.4987991104","0.8125","3.301269531","-5.1953125","true"
"l18s1","T8/D16/FFN32/L18/H2","1","LEGACY","256","0.4795925999","0.84375","3.597900391","-5.421875","true"
"l18s1","T8/D16/FFN32/L18/H2","1","LEGACY","288","0.464528439","0.84375","3.871948242","-5.578125","true"
"l18s1","T8/D16/FFN32/L18/H2","1","LEGACY","320","0.457979778","0.84375","4.166870117","-5.7421875","true"
"l18s2","T8/D16/FFN32/L18/H2","2","LEGACY","1","3.462258995","0.0625","-0.3382031918","-0.7189941406","true"
"l18s2","T8/D16/FFN32/L18/H2","2","LEGACY","2","3.38081181","0.0625","-0.3270225525","-0.8115844727","true"
"l18s2","T8/D16/FFN32/L18/H2","2","LEGACY","4","3.205268502","0.15625","-0.2248905301","-1.068786621","true"
"l18s2","T8/D16/FFN32/L18/H2","2","LEGACY","8","3.032350063","0.1875","-0.5225419998","-1.890258789","true"
"l18s2","T8/D16/FFN32/L18/H2","2","LEGACY","16","2.58849442","0.28125","-0.6358208656","-4.062011719","true"
"l18s2","T8/D16/FFN32/L18/H2","2","LEGACY","32","4.265881687","0.34375","-2.995418549","-10.21875","true"
"l18s2","T8/D16/FFN32/L18/H2","2","LEGACY","64","2.058338031","0.34375","-0.9360656738","-9.009765625","true"
"l18s2","T8/D16/FFN32/L18/H2","2","LEGACY","96","3.114433546","0.40625","-1.899772644","-12.98046875","true"
"l18s2","T8/D16/FFN32/L18/H2","2","LEGACY","128","3.846270615","0.3125","-2.748325348","-16.453125","true"
"l18s2","T8/D16/FFN32/L18/H2","2","LEGACY","160","4.140867925","0.3125","-2.91883564","-18.4453125","true"
