"arm","process","variant","graph_boundary","repeats","qnn_execute_successes","qnn_execute_return_code","app_write_hashes_unchanged","app_read_tensors_audited","app_read_poison_residual_elements","nonfinite_elements","embedding_input_gradient_unique_canonical_hashes","embedding_input_gradient_canonical_hash_frequencies","embedding_input_gradient_repeat_max_abs_difference","embedding_input_gradient_first_different_run","embedding_input_gradient_first_different_index"
"full_first_sequential","1","full","lm_output_projection_next","100","100","0","True","31","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","1","stop_after_dinput","lm_dinput","100","100","0","True","18","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","1","stop_after_dembedding","lm_dembedding","100","100","0","True","19","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","2","full","lm_output_projection_next","100","100","0","True","31","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","2","stop_after_dinput","lm_dinput","100","100","0","True","18","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","2","stop_after_dembedding","lm_dembedding","100","100","0","True","19","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","3","full","lm_output_projection_next","100","100","0","True","31","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","3","stop_after_dinput","lm_dinput","100","100","0","True","18","0","0","2","7d2278d484c7ae9ce1986e38fd1fece8ba9cf4b97c456b416f62f863c3db1d7b:61,98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:39","31903.9886","40","0"
"full_first_sequential","3","stop_after_dembedding","lm_dembedding","100","100","0","True","19","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","4","full","lm_output_projection_next","100","100","0","True","31","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","4","stop_after_dinput","lm_dinput","100","100","0","True","18","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","4","stop_after_dembedding","lm_dembedding","100","100","0","True","19","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","5","full","lm_output_projection_next","100","100","0","True","31","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","5","stop_after_dinput","lm_dinput","100","100","0","True","18","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","5","stop_after_dembedding","lm_dembedding","100","100","0","True","19","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","6","full","lm_output_projection_next","100","100","0","True","31","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","6","stop_after_dinput","lm_dinput","100","100","0","True","18","0","0","2","018a6dbea2948793c4ec57f6e7ef0a7b84fe219b4a2cc280e4eb2469f3e6805d:68,98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:32","31759.9886","33","0"
"full_first_sequential","6","stop_after_dembedding","lm_dembedding","100","100","0","True","19","0","0","2","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:38,d68cc9e7a436cc6ef7c3b2ac8af38e7790ea32c0c923a23608f04664f55667f8:62","29263.9886","39","0"
"full_first_sequential","7","full","lm_output_projection_next","100","100","0","True","31","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","7","stop_after_dinput","lm_dinput","100","100","0","True","18","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
