"report_id","plan","position","variant","dinput_unique_raw_hashes","dinput_unique_canonical_hashes","dinput_raw_hash_frequencies","dinput_canonical_hash_frequencies","dinput_first_different_run","dinput_first_repeat_different_index","dinput_repeat_max_abs_difference","dinput_repeat_mean_abs_difference","nonfinite_elements","poison_residual_elements","app_write_unchanged"
"order-disc-w1r-abc","full_dinput_dembedding","1","full","2","2","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:14,cc61ee4d6a8e74ad926465f19163e556c1cfa586245f670d22dc0c4d42aafd38:86","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:14,cc61ee4d6a8e74ad926465f19163e556c1cfa586245f670d22dc0c4d42aafd38:86","15","0","779.011719","79.1155667","0","0","true"
"order-disc-w1r-abc","full_dinput_dembedding","2","stop_after_dinput","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-abc","full_dinput_dembedding","3","stop_after_dembedding","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-acb","full_dembedding_dinput","1","full","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-acb","full_dembedding_dinput","2","stop_after_dembedding","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-acb","full_dembedding_dinput","3","stop_after_dinput","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-bac","dinput_full_dembedding","1","stop_after_dinput","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-bac","dinput_full_dembedding","2","full","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-bac","dinput_full_dembedding","3","stop_after_dembedding","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-bca","dinput_dembedding_full","1","stop_after_dinput","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-bca","dinput_dembedding_full","2","stop_after_dembedding","2","2","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:67,c9ec1203932458d505322acf0e8aadb880fa0503ec68dd875d1c378ee0fb8ce5:33","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:67,c9ec1203932458d505322acf0e8aadb880fa0503ec68dd875d1c378ee0fb8ce5:33","68","0","inf","inf","693","0","true"
"order-disc-w1r-bca","dinput_dembedding_full","3","full","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-cab","dembedding_full_dinput","1","stop_after_dembedding","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-cab","dembedding_full_dinput","2","full","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-cab","dembedding_full_dinput","3","stop_after_dinput","2","2","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:92,9a0c71b125a950db5d044f8d5fb19dce12563ea442d67de5966c8b1e9f88e593:8","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:92,9a0c71b125a950db5d044f8d5fb19dce12563ea442d67de5966c8b1e9f88e593:8","93","0","1031.98079","9.29671553","0","0","true"
"order-disc-w1r-cba","dembedding_dinput_full","1","stop_after_dembedding","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-cba","dembedding_dinput_full","2","stop_after_dinput","2","2","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:51,bf5641e93212d9fa81468dd0d719fbb618e44d06029fe3943aa6151beca07184:49","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:51,bf5641e93212d9fa81468dd0d719fbb618e44d06029fe3943aa6151beca07184:49","52","0","inf","inf","245","0","true"
"order-disc-w1r-cba","dembedding_dinput_full","3","full","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-aaa","full_full_full","1","full","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-aaa","full_full_full","2","full","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-aaa","full_full_full","3","full","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-bbb","dinput_dinput_dinput","1","stop_after_dinput","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-bbb","dinput_dinput_dinput","2","stop_after_dinput","2","2","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:35,efb2fc19e70553e67a2340cb8a10888f3cceedde774b4de194681d473907119b:65","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:35,efb2fc19e70553e67a2340cb8a10888f3cceedde774b4de194681d473907119b:65","36","0","31599.9886","1698.26315","0","0","true"
"order-disc-w1r-bbb","dinput_dinput_dinput","3","stop_after_dinput","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-ccc","dembedding_dembedding_dembedding","1","stop_after_dembedding","2","2","874658969ed4f49e9420b130270d2d9f3acb87487e844a88f6c437a8cb4368f1:69,98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:31","874658969ed4f49e9420b130270d2d9f3acb87487e844a88f6c437a8cb4368f1:69,98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:31","32","0","8032.02151","578.881165","0","0","true"
"order-disc-w1r-ccc","dembedding_dembedding_dembedding","2","stop_after_dembedding","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w1r-ccc","dembedding_dembedding_dembedding","3","stop_after_dembedding","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
"order-disc-w2-abc","full_dinput_dembedding","1","full","2","2","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:98,f52e2d0280dbf544b57412aeeb1a53378bcf156024e910dcd70ad8cb597dcb68:2","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:98,f52e2d0280dbf544b57412aeeb1a53378bcf156024e910dcd70ad8cb597dcb68:2","99","0","inf","inf","4","0","true"
"order-disc-w2-abc","full_dinput_dembedding","2","stop_after_dinput","1","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","-1","-1","0","0","0","0","true"
