"report_id","cohort","plan","plan_index","process_varying","nonfinite_elements","qnn_failures","poison_failures","app_write_failures","source_commit"
"order-disc-w1r-abc","discovery","full_dinput_dembedding","1","True","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w1r-acb","discovery","full_dembedding_dinput","2","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w1r-bac","discovery","dinput_full_dembedding","3","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w1r-bca","discovery","dinput_dembedding_full","4","True","693","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w1r-cab","discovery","dembedding_full_dinput","5","True","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w1r-cba","discovery","dembedding_dinput_full","6","True","245","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w1r-aaa","discovery","full_full_full","7","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w1r-bbb","discovery","dinput_dinput_dinput","8","True","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w1r-ccc","discovery","dembedding_dembedding_dembedding","9","True","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w2-abc","discovery","full_dinput_dembedding","1","True","103","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w2-acb","discovery","full_dembedding_dinput","2","True","3366","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w2-bac","discovery","dinput_full_dembedding","3","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w2-bca","discovery","dinput_dembedding_full","4","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w2-cab","discovery","dembedding_full_dinput","5","True","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w2-cba","discovery","dembedding_dinput_full","6","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w2-aaa","discovery","full_full_full","7","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w2-bbb","discovery","dinput_dinput_dinput","8","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w2-ccc","discovery","dembedding_dembedding_dembedding","9","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w3-abc","discovery","full_dinput_dembedding","1","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w3-acb","discovery","full_dembedding_dinput","2","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w3-bac","discovery","dinput_full_dembedding","3","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w3-bca","discovery","dinput_dembedding_full","4","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w3-cab","discovery","dembedding_full_dinput","5","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w3-cba","discovery","dembedding_dinput_full","6","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w3-aaa","discovery","full_full_full","7","True","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w3-bbb","discovery","dinput_dinput_dinput","8","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w3-ccc","discovery","dembedding_dembedding_dembedding","9","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w4-abc","discovery","full_dinput_dembedding","1","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w4-acb","discovery","full_dembedding_dinput","2","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w4-bac","discovery","dinput_full_dembedding","3","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w4-bca","discovery","dinput_dembedding_full","4","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w4-cab","discovery","dembedding_full_dinput","5","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w4-cba","discovery","dembedding_dinput_full","6","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w4-aaa","discovery","full_full_full","7","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w4-bbb","discovery","dinput_dinput_dinput","8","True","450","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w4-ccc","discovery","dembedding_dembedding_dembedding","9","False","0","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
"order-disc-w5-abc","discovery","full_dinput_dembedding","1","True","720","0","0","0","aa94e5a937bc878333305b8ea46e129342390d03"
