"report_id","cohort","plan","plan_index","position","variant","node_boundary","source_graph_add_node_success_count","source_tensor_create_success_count","backend_finalized_node_count","backend_finalized_tensor_count","actual_qnn_input_tensor_count","actual_qnn_output_tensor_count","audited_app_read_tensor_count","app_read_output_element_count","first_changing_tensor","first_changing_candidate_node","first_changing_run","global_repeat_max_abs_difference","global_repeat_mean_abs_difference","varying","nonfinite_elements","backend_create_result","device_create_result","context_create_result","graph_create_result","graph_finalize_result","graph_execute_result","graph_execute_count","slot_success"
"order-disc-w1r-abc","discovery","full_dinput_dembedding","1","1","full","lm_output_projection_next","123","153","UNAVAILABLE","UNAVAILABLE","15","31","31","7552","gradient_gamma1","UNMAPPED","15","919.498749","11.6977949","True","0","0","0","0","0","0","0","100","true"
"order-disc-w1r-abc","discovery","full_dinput_dembedding","1","2","stop_after_dinput","lm_dinput","98","153","UNAVAILABLE","UNAVAILABLE","14","18","18","3904","NONE","NONE","-1","0","0","False","0","0","0","0","0","0","0","100","true"
"order-disc-w1r-abc","discovery","full_dinput_dembedding","1","3","stop_after_dembedding","lm_dembedding","99","153","UNAVAILABLE","UNAVAILABLE","14","19","19","4416","NONE","NONE","-1","0","0","False","0","0","0","0","0","0","0","100","true"
"order-disc-w1r-acb","discovery","full_dembedding_dinput","2","1","full","lm_output_projection_next","123","153","UNAVAILABLE","UNAVAILABLE","15","31","31","7552","NONE","NONE","-1","0","0","False","0","0","0","0","0","0","0","100","true"
"order-disc-w1r-acb","discovery","full_dembedding_dinput","2","2","stop_after_dembedding","lm_dembedding","99","153","UNAVAILABLE","UNAVAILABLE","14","19","19","4416","NONE","NONE","-1","0","0","False","0","0","0","0","0","0","0","100","true"
"order-disc-w1r-acb","discovery","full_dembedding_dinput","2","3","stop_after_dinput","lm_dinput","98","153","UNAVAILABLE","UNAVAILABLE","14","18","18","3904","NONE","NONE","-1","0","0","False","0","0","0","0","0","0","0","100","true"
"order-disc-w1r-bac","discovery","dinput_full_dembedding","3","1","stop_after_dinput","lm_dinput","98","153","UNAVAILABLE","UNAVAILABLE","14","18","18","3904","NONE","NONE","-1","0","0","False","0","0","0","0","0","0","0","100","true"
"order-disc-w1r-bac","discovery","dinput_full_dembedding","3","2","full","lm_output_projection_next","123","153","UNAVAILABLE","UNAVAILABLE","15","31","31","7552","NONE","NONE","-1","0","0","False","0","0","0","0","0","0","0","100","true"
"order-disc-w1r-bac","discovery","dinput_full_dembedding","3","3","stop_after_dembedding","lm_dembedding","99","153","UNAVAILABLE","UNAVAILABLE","14","19","19","4416","NONE","NONE","-1","0","0","False","0","0","0","0","0","0","0","100","true"
"order-disc-w1r-bca","discovery","dinput_dembedding_full","4","1","stop_after_dinput","lm_dinput","98","153","UNAVAILABLE","UNAVAILABLE","14","18","18","3904","NONE","NONE","-1","0","0","False","0","0","0","0","0","0","0","100","true"
