"phase","seed","replay_count","reproducible","outcome","first_bad_tensor","producer_node","first_bad_index","bad_value_class","previous_centered_value"
"pre_fix","1","100","true","nonfinite","tap_SQUARE2","tt_ln2_square","22","'+Inf","-256.75"
"pre_fix","2","100","true","nonfinite","tap_SQUARE2","tt_ln2_square","5","'+Inf","-256.5"
"pre_fix","3","100","true","nonfinite","tap_SQUARE2","tt_ln2_square","10","'+Inf","-257.25"
"pre_fix","4","100","true","nonfinite","tap_SQUARE2","tt_ln2_square","6","'+Inf","256.5"
"pre_fix","5","100","true","nonfinite","tap_SQUARE2","tt_ln2_square","9","'+Inf","-256.25"
"post_fix_same_checkpoint","1","100","true","finite","NONE","NONE","NONE","NONE","NONE"
"post_fix_same_checkpoint","2","100","true","finite","NONE","NONE","NONE","NONE","NONE"
"post_fix_same_checkpoint","3","100","true","finite","NONE","NONE","NONE","NONE","NONE"
"post_fix_same_checkpoint","4","100","true","finite","NONE","NONE","NONE","NONE","NONE"
"post_fix_same_checkpoint","5","100","true","finite","NONE","NONE","NONE","NONE","NONE"
