"phase","seed","step","gradient_max_abs_error","A_cpu_gradient_cpu_adam","B_htp_gradient_cpu_adam","C_cpu_gradient_htp_adam","D_htp_gradient_htp_adam","c_parameter_max_abs_error","c_m_next_max_abs_error","c_v_next_max_abs_error"
"pre_fix","1","819","inf","true","false","true","false","5.096152306","3.75546515e-05","3.061071038e-05"
"pre_fix","2","656","inf","true","false","true","false","0.3428257704","5.436688662e-05","4.9456954e-05"
"pre_fix","3","847","inf","true","false","true","false","0.2971237898","3.79383564e-05","1.623481512e-05"
"pre_fix","4","699","inf","true","false","true","false","6.44989109","5.954504013e-05","1.403689384e-05"
"pre_fix","5","998","inf","true","false","true","false","0.2630750239","3.374367952e-05","1.031160355e-05"
"post_fix_same_checkpoint","1","819","0.001814961433","true","true","true","true","5.096152306","3.75546515e-05","3.061071038e-05"
"post_fix_same_checkpoint","2","656","0.003389909863","true","true","true","true","0.3428257704","5.436688662e-05","4.9456954e-05"
"post_fix_same_checkpoint","3","847","0.004336122423","true","true","true","true","0.2971237898","3.79383564e-05","1.623481512e-05"
"post_fix_same_checkpoint","4","699","0.002233952284","true","true","true","true","6.44989109","5.954504013e-05","1.403689384e-05"
"post_fix_same_checkpoint","5","998","0.004213429056","true","true","true","true","0.2630750239","3.374367952e-05","1.031160355e-05"
