"scope","max_abs_error","mean_abs_error","relative_l2_or_relative_error","finite","unavailable_reason"
"logits","0.0005524456501","0.0001212359622","0.004919269212","true",""
"dlogits","9.374693036e-06","1.711463085e-06","5.985217317e-05","true",""
"layer_0_input_gradient","0.0005737188039","4.088929968e-05","0.002441124474","true",""
"layer_1_input_gradient","0.0004267925397","1.794990545e-05","0.001595372084","true",""
"layer_0_head_0_attention_probabilities","0.00146484375","3.294058479e-05","0.002409721156","true",""
"layer_0_head_1_attention_probabilities","0.00146484375","2.885397589e-05","0.00258346227","true",""
"layer_1_head_0_attention_probabilities","0.00146484375","2.998792297e-05","0.002519971239","true",""
"layer_1_head_1_attention_probabilities","0.00146484375","3.167591967e-05","0.002570692583","true",""
"gradient_layer_00_wq","2.255808067e-05","4.771673089e-06","0.0002013210092","true",""
"gradient_layer_01_wq","1.711351797e-05","2.835769429e-06","0.0001294682025","true",""
"path_c_next_parameter_token_embedding","0.003014780581","5.097262674e-05","0.009585762722","true",""
"path_c_first_moment_token_embedding","5.640089512e-06","1.217992605e-07","1.559158623e-05","true",""
"path_c_second_moment_token_embedding","3.243758329e-08","1.88066834e-09","1.972220427e-07","true",""
"path_d_next_parameter_token_embedding","0.003014780581","4.91757351e-05","0.009146710432","true",""
"path_d_first_moment_token_embedding","6.106682122e-06","1.007108494e-07","1.444483684e-05","true",""
"path_d_second_moment_token_embedding","2.946785571e-08","1.747166456e-09","1.848514678e-07","true",""
