"mode","case_id","step","max_abs_difference","mean_abs_difference","relative_l2_difference","argmax_match","top3_match"
"oracle","s1_p0","0","3.098489285","0.9649821613","0.2156708608","true","false"
"oracle","s1_p0","1","8.695556164","1.857738218","0.4743473215","true","true"
"oracle","s1_p0","2","11.92909771","2.776474507","0.4343694963","true","true"
"oracle","s1_p0","3","4.11467123","2.264467614","0.4394811068","true","false"
"oracle","s1_p0","4","3.098489285","0.9649821613","0.2156708608","true","false"
"oracle","s1_p0","5","8.695556164","1.857738218","0.4743473215","true","true"
"oracle","s1_p0","6","11.92909771","2.776474507","0.4343694963","true","true"
"oracle","s1_p0","7","4.11467123","2.264467614","0.4394811068","true","false"
"oracle","s1_p1","0","4.96905756","2.771576187","0.7340570969","true","true"
"oracle","s1_p1","1","6.21908617","1.758244516","0.3607153771","true","false"
"oracle","s1_p1","2","5.709974289","1.701172005","0.3647902746","true","false"
"oracle","s1_p1","3","6.589537621","1.871103336","0.3096017234","true","true"
"oracle","s1_p1","4","4.96905756","2.771576187","0.7340570969","true","true"
"oracle","s1_p1","5","6.21908617","1.758244516","0.3607153771","true","false"
"oracle","s1_p1","6","5.709974289","1.701172005","0.3647902746","true","false"
"oracle","s1_p1","7","6.589537621","1.871103336","0.3096017234","true","true"
"oracle","s1_p2","0","7.067180634","1.772578935","0.2725330508","true","false"
"oracle","s1_p2","1","6.954557419","1.918546626","0.3024896073","true","true"
"oracle","s1_p2","2","7.067180634","1.772578935","0.2725330508","true","false"
"oracle","s1_p2","3","6.954557419","1.918546626","0.3024896073","true","true"
"oracle","s1_p2","4","7.067180634","1.772578935","0.2725330508","true","false"
"oracle","s1_p2","5","6.954557419","1.918546626","0.3024896073","true","true"
"oracle","s1_p2","6","7.067180634","1.772578935","0.2725330508","true","false"
"oracle","s1_p2","7","6.954557419","1.918546626","0.3024896073","true","true"
"oracle","s1_p3","0","3.792518616","1.55815994","0.2856522116","true","false"
"oracle","s1_p3","1","3.705727816","1.081078516","0.1932690735","true","false"
"oracle","s1_p3","2","6.378779411","1.664159249","0.2263808133","true","false"
"oracle","s1_p3","3","3.792518616","1.55815994","0.2856522116","true","false"
"oracle","s1_p3","4","3.705727816","1.081078516","0.1932690735","true","false"
"oracle","s1_p3","5","6.378779411","1.664159249","0.2263808133","true","false"
"oracle","s1_p3","6","3.792518616","1.55815994","0.2856522116","true","false"
"oracle","s1_p3","7","3.705727816","1.081078516","0.1932690735","true","false"
"oracle","s2_p0","0","12.49418449","2.527902823","0.254479982","true","false"
"oracle","s2_p0","1","7.775080681","3.969031127","0.6860446827","true","false"
"oracle","s2_p0","2","9.898118973","2.03425754","0.2072183845","true","false"
"oracle","s2_p0","3","7.509158731","3.197547175","0.590694639","true","false"
"oracle","s2_p0","4","12.49418449","2.527902823","0.254479982","true","false"
"oracle","s2_p0","5","7.775080681","3.969031127","0.6860446827","true","false"
"oracle","s2_p0","6","9.898118973","2.03425754","0.2072183845","true","false"
"oracle","s2_p0","7","7.509158731","3.197547175","0.590694639","true","false"
"oracle","s2_p1","0","4.921932459","1.704197547","0.4609678687","true","false"
"oracle","s2_p1","1","8.722085953","1.716449639","0.2353888441","true","false"
"oracle","s2_p1","2","7.041042566","2.034637887","0.226437758","true","false"
"oracle","s2_p1","3","10.876122","2.752892557","0.4756799151","true","false"
"oracle","s2_p1","4","4.921932459","1.704197547","0.4609678687","true","false"
"oracle","s2_p1","5","8.722085953","1.716449639","0.2353888441","true","false"
"oracle","s2_p1","6","7.041042566","2.034637887","0.226437758","true","false"
"oracle","s2_p1","7","10.876122","2.752892557","0.4756799151","true","false"
"oracle","s2_p2","0","8.778866529","1.78949335","0.1749073941","true","true"
"oracle","s2_p2","1","7.049600005","1.992181042","0.1923704296","true","false"
"oracle","s2_p2","2","8.778866529","1.78949335","0.1749073941","true","true"
"oracle","s2_p2","3","7.049600005","1.992181042","0.1923704296","true","false"
"oracle","s2_p2","4","8.778866529","1.78949335","0.1749073941","true","true"
"oracle","s2_p2","5","7.049600005","1.992181042","0.1923704296","true","false"
"oracle","s2_p2","6","8.778866529","1.78949335","0.1749073941","true","true"
"oracle","s2_p2","7","7.049600005","1.992181042","0.1923704296","true","false"
"oracle","s2_p3","0","5.393975973","1.835880456","0.3481640028","true","true"
"oracle","s2_p3","1","6.015000105","2.02767916","0.5098285084","true","false"
"oracle","s2_p3","2","4.759937286","1.212099451","0.2137076356","true","false"
"oracle","s2_p3","3","5.393975973","1.835880456","0.3481640028","true","true"
"oracle","s2_p3","4","6.015000105","2.02767916","0.5098285084","true","false"
"oracle","s2_p3","5","4.759937286","1.212099451","0.2137076356","true","false"
"oracle","s2_p3","6","5.393975973","1.835880456","0.3481640028","true","true"
"oracle","s2_p3","7","6.015000105","2.02767916","0.5098285084","true","false"
"oracle","s3_p0","0","6.338687897","3.508721434","0.8717678408","true","false"
"oracle","s3_p0","1","5.08220005","1.535444623","0.2592813982","true","false"
"oracle","s3_p0","2","4.574103355","1.529779175","0.3643786548","true","false"
"oracle","s3_p0","3","4.921563148","1.236046679","0.3687448638","true","false"
"oracle","s3_p0","4","6.338687897","3.508721434","0.8717678408","true","false"
"oracle","s3_p0","5","5.08220005","1.535444623","0.2592813982","true","false"
"oracle","s3_p0","6","4.574103355","1.529779175","0.3643786548","true","false"
"oracle","s3_p0","7","4.921563148","1.236046679","0.3687448638","true","false"
"oracle","s3_p1","0","3.199111879","0.9959275194","0.3352412038","true","true"
"oracle","s3_p1","1","6.196527004","1.472588118","0.2824593341","true","true"
"oracle","s3_p1","2","3.758351326","1.210941926","0.1850626159","false","false"
"oracle","s3_p1","3","3.374180794","1.546151161","0.1907239155","true","true"
"oracle","s3_p1","4","3.199111879","0.9959275194","0.3352412038","true","true"
"oracle","s3_p1","5","6.196527004","1.472588118","0.2824593341","true","true"
"oracle","s3_p1","6","3.758351326","1.210941926","0.1850626159","false","false"
"oracle","s3_p1","7","3.374180794","1.546151161","0.1907239155","true","true"
"oracle","s3_p2","0","8.652089119","1.84671386","0.2567972378","true","false"
"oracle","s3_p2","1","6.551861048","1.225718315","0.3877001203","true","false"
"oracle","s3_p2","2","8.652089119","1.84671386","0.2567972378","true","false"
"oracle","s3_p2","3","6.551861048","1.225718315","0.3877001203","true","false"
"oracle","s3_p2","4","8.652089119","1.84671386","0.2567972378","true","false"
"oracle","s3_p2","5","6.551861048","1.225718315","0.3877001203","true","false"
"oracle","s3_p2","6","8.652089119","1.84671386","0.2567972378","true","false"
"oracle","s3_p2","7","6.551861048","1.225718315","0.3877001203","true","false"
"oracle","s3_p3","0","3.708374262","1.19909603","0.187166591","true","true"
"oracle","s3_p3","1","4.466533184","1.36189638","0.1791126348","true","true"
"oracle","s3_p3","2","4.077419281","1.819586694","0.2885466838","true","true"
"oracle","s3_p3","3","3.708374262","1.19909603","0.187166591","true","true"
"oracle","s3_p3","4","4.466533184","1.36189638","0.1791126348","true","true"
"oracle","s3_p3","5","4.077419281","1.819586694","0.2885466838","true","true"
"oracle","s3_p3","6","3.708374262","1.19909603","0.187166591","true","true"
"oracle","s3_p3","7","4.466533184","1.36189638","0.1791126348","true","true"
