"case_id","prefix","expected_sequence","generated_sequence","exact_match","first_mismatch_step","expected_token","predicted_token","top3","expected_token_probability"
"s1_p0","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE","NONE"
"s1_p1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE","NONE"
"s1_p2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE","NONE"
"s1_p3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","-1","NONE","NONE","NONE","NONE"
"s2_p0","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE","NONE"
"s2_p1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE","NONE"
"s2_p2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE","NONE"
"s2_p3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","-1","NONE","NONE","NONE","NONE"
"s3_p0","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE","NONE"
"s3_p1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE","NONE"
"s3_p2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE","NONE"
"s3_p3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","-1","NONE","NONE","NONE","NONE"
"s4_p0","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE","NONE"
"s4_p1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE","NONE"
"s4_p2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE","NONE"
"s4_p3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","-1","NONE","NONE","NONE","NONE"
"s5_p0","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","-1","NONE","NONE","NONE","NONE"
"s5_p1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","true","-1","NONE","NONE","NONE","NONE"
"s5_p2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","-1","NONE","NONE","NONE","NONE"
"s5_p3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","-1","NONE","NONE","NONE","NONE"
