"metric","run_count","median","p95","battery_temperature_c_before","battery_temperature_c_after","battery_status_before","battery_status_after","plugged_before","plugged_after","thermal_status_before","thermal_status_after","screen_wakefulness_before","screen_wakefulness_after","phonelm_is_top_before","phonelm_is_top_after"
"performance_initialization_ms","3","82.7315","99.2023","","","","","","","","","","","",""
"performance_graph_creation_ms","3","79.2383","142.52","","","","","","","","","","","",""
"performance_finalize_ms","3","99.6031","153.972","","","","","","","","","","","",""
"performance_steady_training_step_min_ms","3","6.70969","7.25797","","","","","","","","","","","",""
"performance_steady_training_step_median_ms","3","7.69271","10.0727","","","","","","","","","","","",""
"performance_steady_training_step_p95_ms","3","8.1113","10.6176","","","","","","","","","","","",""
"performance_steady_training_step_max_ms","3","12.5777","13.1586","","","","","","","","","","","",""
"performance_updates_per_second","3","129.993","139.697","","","","","","","","","","","",""
"performance_tokens_per_second","3","1039.95","1117.58","","","","","","","","","","","",""
"generation_token_latency_min_ms","3","1.02687","1.15094","","","","","","","","","","","",""
"generation_token_latency_median_ms","3","1.05047","1.57422","","","","","","","","","","","",""
"generation_token_latency_p95_ms","3","1.16156","1.82141","","","","","","","","","","","",""
"generation_token_latency_max_ms","3","2.38901","2.49339","","","","","","","","","","","",""
"device_state","1","NOT_APPLICABLE","NOT_APPLICABLE","36","36","3","3","False","False","0","0","Awake","Awake","False","False"
"device_state","1","NOT_APPLICABLE","NOT_APPLICABLE","36","36","3","3","False","False","0","0","Awake","Awake","False","False"
"device_state","1","NOT_APPLICABLE","NOT_APPLICABLE","38","38","3","3","False","False","0","0","Awake","Awake","False","False"
