"creation_index","name","op","inputs","outputs","rank","dims","dtype","tensor_type","exposure","variant_membership"
"0","lm_embedding","QNN_OP_MAT_MUL","one_hot;embedding","embedded_token","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"1","lm_position","QNN_OP_ELEMENT_WISE_ADD","embedded_token;position","embedded_input","2","8x16","FLOAT32","variant-dependent APP_READ/NATIVE","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"2","tt_ln1_mean","QNN_OP_REDUCE_MEAN","embedded_input;last_axis","mean1","2","8x1","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"3","tt_ln1_center","QNN_OP_ELEMENT_WISE_SUBTRACT","embedded_input;mean1","centered1","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"4","tt_ln1_center_scale","QNN_OP_ELEMENT_WISE_MULTIPLY","centered1;center_scale","centered_s1","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"5","tt_ln1_square","QNN_OP_ELEMENT_WISE_MULTIPLY","centered_s1;centered_s1","square1","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"6","tt_ln1_var","QNN_OP_REDUCE_MEAN","square1;last_axis","var1","2","8x1","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"7","tt_ln1_eps","QNN_OP_ELEMENT_WISE_ADD","var1;eps_scaled","var_eps1","2","8x1","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"8","tt_ln1_rsqrt","QNN_OP_ELEMENT_WISE_RSQRT","var_eps1","inv_std_s1","2","8x1","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"9","tt_ln1_unscale","QNN_OP_ELEMENT_WISE_MULTIPLY","inv_std_s1;center_scale","inv_std1","2","8x1","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"10","tt_ln1_xhat","QNN_OP_ELEMENT_WISE_MULTIPLY","centered1;inv_std1","xhat1","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"11","tt_ln1_gamma","QNN_OP_ELEMENT_WISE_MULTIPLY","xhat1;gamma1","xhat_g1","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"12","tt_ln1_beta","QNN_OP_ELEMENT_WISE_ADD","xhat_g1;beta1","ln1","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"13","tt_q","QNN_OP_MAT_MUL","ln1;wq","q","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"14","tt_k","QNN_OP_MAT_MUL","ln1;wk","k","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"15","tt_v","QNN_OP_MAT_MUL","ln1;wv","v","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"16","tt_scores","QNN_OP_MAT_MUL","q;k","scores","2","8x8","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"17","tt_scale_scores","QNN_OP_ELEMENT_WISE_MULTIPLY","scores;scale","scaled_scores","2","8x8","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"18","tt_mask_scores","QNN_OP_ELEMENT_WISE_ADD","scaled_scores;mask","masked_scores","2","8x8","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"19","tt_softmax","QNN_OP_SOFTMAX","masked_scores","probabilities","2","8x8","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"20","tt_context","QNN_OP_MAT_MUL","probabilities;v","context","2","8x16","FLOAT32","NATIVE","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
