"creation_index","name","producer","consumers","logical_role","shape","dtype","memory_type","io_classification","exposure","variant_membership"
"0","embedded_input","lm_position","tt_ln1_mean;tt_ln1_center;tt_res1","token embedding plus positional encoding","8x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"1","target","source_tensor","lm_difference","fixed target distribution","8x32","FLOAT32","APP_WRITE","graph_input","APP_WRITE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"2","gamma1","source_tensor","tt_ln1_gamma;tt_lnb1_dxhat;tt_g1_next","LayerNorm1 gamma parameter","16","FLOAT32","APP_WRITE","graph_input","APP_WRITE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"3","beta1","source_tensor","tt_ln1_beta;tt_b1_next","LayerNorm1 beta parameter","16","FLOAT32","APP_WRITE","graph_input","APP_WRITE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"4","wq","source_tensor","tt_q;tt_dlq;tt_wq_next","wq intermediate tensor","16x16","FLOAT32","APP_WRITE","graph_input","APP_WRITE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"5","wk","source_tensor","tt_k;tt_dlk;tt_wk_next","wk intermediate tensor","16x16","FLOAT32","APP_WRITE","graph_input","APP_WRITE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"6","wv","source_tensor","tt_v;tt_dlv;tt_wv_next","wv intermediate tensor","16x16","FLOAT32","APP_WRITE","graph_input","APP_WRITE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"7","wo","source_tensor","tt_project;tt_dcontext;tt_wo_next","wo intermediate tensor","16x16","FLOAT32","APP_WRITE","graph_input","APP_WRITE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"8","gamma2","source_tensor","tt_ln2_gamma;tt_lnb2_dxhat;tt_g2_next","LayerNorm2 gamma parameter","16","FLOAT32","APP_WRITE","graph_input","APP_WRITE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"9","beta2","source_tensor","tt_ln2_beta;tt_b2_next","LayerNorm2 beta parameter","16","FLOAT32","APP_WRITE","graph_input","APP_WRITE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
