parameter,max_absolute_error,max_relative_error
token_embedding,0.0000459719449,0.000747924612
output_projection,0.0000673609320,0.00950727891
wq,0.00000645023647,0.0645023659
wk,0.00000739837333,0.0739837363
wv,0.0000503873453,0.0198906064
wo,0.0000681388192,0.0421968885
norm1_gamma,0.0000881293090,0.881293118
norm1_beta,0.0000636922487,0.0930820629
norm2_gamma,0.000112172653,0.133300573
norm2_beta,0.0000983225764,0.0738052875
ffn_w1,0.0000233087922,0.00968176313
ffn_w2,0.0000729354215,0.729354262
