"seed","step","loss","token_accuracy","split"
"1","0","3.441075087","0","train_batch"
"1","1","3.445818663","0","train_batch"
"1","2","3.458491087","0","train_batch"
"1","5","3.443679094","0","train_batch"
"1","10","3.455569267","0","train_batch"
"1","20","3.470098972","0.125","train_batch"
"1","50","3.440116405","0.125","train_batch"
"1","100","3.409902811","0.25","train_batch"
"1","320","3.023280144","0","train_batch"
"1","320","3.132198095","0.75","evaluation"
"2","0","3.46050024","0","train_batch"
"2","1","3.457039356","0","train_batch"
"2","2","3.477820158","0","train_batch"
"2","5","3.455521107","0","train_batch"
"2","10","3.474932432","0","train_batch"
"2","20","3.445965052","0","train_batch"
"2","50","3.460878134","0","train_batch"
"2","100","3.399470806","0.25","train_batch"
"2","320","3.192331076","1","train_batch"
"2","320","3.305589437","0.375","evaluation"
"3","0","3.477096796","0","train_batch"
"3","1","3.490798712","0","train_batch"
"3","2","3.469065428","0","train_batch"
"3","5","3.488773346","0","train_batch"
"3","10","3.465667963","0","train_batch"
"3","20","3.421619654","0","train_batch"
"3","50","3.448215961","0.25","train_batch"
"3","100","3.359532118","0.75","train_batch"
"3","320","3.077428818","1","train_batch"
"3","320","3.266361952","0.375","evaluation"
"4","0","3.425082207","0","train_batch"
"4","1","3.427667379","0","train_batch"
"4","2","3.477530718","0","train_batch"
"4","5","3.426079273","0","train_batch"
"4","10","3.473865271","0","train_batch"
"4","20","3.471226215","0","train_batch"
"4","50","3.45584321","0","train_batch"
"4","100","3.426908493","0","train_batch"
"4","320","3.242527246","0.75","train_batch"
"4","320","3.250963211","0.375","evaluation"
"5","0","3.437824011","0","train_batch"
"5","1","3.434362411","0","train_batch"
"5","2","3.469893694","0","train_batch"
"5","5","3.432221889","0","train_batch"
"5","10","3.466491938","0","train_batch"
"5","20","3.485782862","0","train_batch"
"5","50","3.450752735","0","train_batch"
"5","100","3.408368111","0","train_batch"
"5","320","2.969343185","0.75","train_batch"
"5","320","3.068349123","0.25","evaluation"
