"seed","pattern","prompt","expected","generated","free_exact","free_token_accuracy","free_evaluated_steps","free_first_error","free_correct_probability","free_mean_margin","free_minimum_margin","oracle_exact","oracle_token_accuracy","oracle_evaluated_steps","oracle_first_error"
"1","0","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","true","1","8","-1","0.5181884766","0.76953125","0.0390625","true","1","8","-1"
"1","1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,4,5,6,4,5","false","0.375","8","3","0.2588949725","-5.367675781","-14.7265625","false","0.75","8","3"
"1","2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","1","8","-1","0.8186035156","2.416015625","2.1875","true","1","8","-1"
"1","3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,11,12,10,11,12,10","true","1","8","-1","0.5657348633","1.440063477","0.78125","true","1","8","-1"
"2","0","0,1,2,3,0,1,2,3","0,1","11,12","false","0","2","0","0.1122741699","-1.172851562","-1.2734375","false","0","2","0"
"2","1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","6,7,6,7,6,7,6,5","false","0.375","8","0","0.2099914551","-0.0107421875","-0.0703125","false","0.75","8","0"
"2","2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,8,8,8,8,8,8,8","false","0.5","8","1","0.3631896973","0.001953125","-0.080078125","false","0.5","8","1"
"2","3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","12,10,10,11,12,10,11,12","false","0.25","8","2","0.152391918","-4.317626953","-9.9609375","false","0.75","8","2"
"3","0","0,1,2,3,0,1,2,3","0,1","11,12","false","0","2","0","0.07530212402","-1.256835938","-1.685546875","false","0.25","8","0"
"3","1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,7,4,5,7,4,5","false","0.25","8","2","0.08898735046","-1.033233643","-2.484863281","false","0.75","8","2"
"3","2","8,9,8,9,8,9,8,9","8,9","11,12","false","0","2","0","0.07407045364","-2.890136719","-5.283203125","false","0","8","0"
"3","3","10,11,12,10,11,12,10,11","","","false","0","0","0","0","0","NOT_AVAILABLE","false","0","0","0"
"4","0","0,1,2,3,0,1,2,3","0,1,2,3,0,1,2,3","0,1,1,1,1,1,2,0","false","0.5","8","2","0.2296484038","-2.426757812","-10.15625","false","0.5","8","2"
"4","1","4,5,6,7,4,5,6,7","4,5,6,7,4,5,6,7","4,5,6,4,5,6,4,5","false","0.375","8","3","0.2362513617","-2.872131348","-9.58984375","false","0.75","8","3"
"4","2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","true","1","8","-1","0.3511962891","0.0498046875","0.0390625","true","1","8","-1"
"4","3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","2,0,2,0,2,0,1,2","false","0","8","0","0.05736771226","-3.455360413","-7.052734375","false","0.375","8","0"
"5","0","0,1,2,3,0,1,2,3","0","7","false","0","1","0","0.03387451172","-0.01745605469","-0.01745605469","false","0.5","8","0"
"5","1","4,5,6,7,4,5,6,7","","","false","0","0","0","0","0","NOT_AVAILABLE","false","0","0","0"
"5","2","8,9,8,9,8,9,8,9","8,9,8,9,8,9,8,9","12,9,12,9,12,9,12,9","false","0.5","8","0","0.03393554688","-0.01110839844","-0.03179931641","false","0.5","8","0"
"5","3","10,11,12,10,11,12,10,11","12,10,11,12,10,11,12,10","9,12,9,12,9,12,9,12","false","0.125","8","0","0.03261566162","-0.06412363052","-0.1085357666","false","0","8","0"
