"checkpoint","logits_max_abs_error","probabilities_max_abs_error","dlogits_max_abs_error","token_embedding_gradient_max_abs_error","path_c_optimizer_max_abs_error","path_d_optimizer_max_abs_error","minimum_v_hat","minimum_sqrt_v_hat","minimum_denominator"
"0","0.0001298412681","4.184991121e-05","3.39075923e-05","0.002004984766","0.003058940172","0.003058940172","0","0","0.0001000165939"
"1","0.0001617670059","3.991648555e-05","3.02195549e-05","0.002226660727","0.00307226181","0.00307226181","0","0","0.0001000165939"
"2","0.0002185404301","6.767734885e-05","3.603100777e-05","0.004986289889","0.003015562892","0.003012731671","0","0","0.0001000165939"
"5","0.0001741349697","5.165860057e-05","2.419948578e-05","0.002106595784","0.002917304635","0.002906849608","0","0","0.0001000165939"
"10","0.0003675073385","8.763745427e-05","3.138929605e-05","0.01809228212","0.003265976906","0.003265857697","0","0","0.0001000165939"
"20","0.0004014968872","8.120015264e-05","3.134459257e-05","0.03066764213","0.003278456628","0.003205409274","0","0","0.0001000165939"
"50","0.005146503448","0.0006804764271","0.0001069158316","0.5714229718","0.001129865646","0.0008863210678","0","0","0.0001000165939"
"100","64189.58089","0.8207098246","0.1025887281","0.05481432378","0.0007342100143","inf","0","0","0.0001000165939"
"150","64476.28269","0.9882440567","0.1235305071","0.004848392215","0.0009657144547","inf","0","0","0.0001000165939"
"200","55168.04939","0.9887624383","0.1235953048","0.003492021235","0.000739812851","inf","0","0","0.0001000165939"
"250","63547.94101","0.9972307086","0.1246538386","0.001343490207","0.0007429122925","inf","0","0","0.0001000165939"
"300","61532.03672","0.9957786798","0.124472335","0.002546420088","0.0006254911423","inf","0","0","0.0001000165939"
"320","61435.94998","0.9963592887","0.1245449111","0.001435498823","0.0006446838379","inf","0","0","0.0001000165939"
