"seed","step","train_loss","train_accuracy","gradient_l2_norm","update_l2_norm","parameter_l2_norm","first_moment_l2_norm","second_moment_l2_norm"
"1","1","3.445818663","0","0.4520222479","0.007368776951","7.097741812","0","0"
"1","2","3.458511114","0","0.4000984193","0.006707822611","7.097720997","0.04519108321","1.690524752e-05"
"1","5","3.439404011","0","0.4521665073","0.006658071043","7.097914631","0.09804787767","6.261177847e-05"
"1","10","3.450807333","0","0.409074483","0.006506350976","7.098429215","0.168087197","0.0001316072446"
"1","20","3.458670378","0.125","0.5413048183","0.007012488898","7.100404737","0.2534092484","0.0003083927098"
"1","50","3.41305685","0.125","0.4254445107","0.007590951685","7.117682191","0.2877795575","0.0008158760547"
"1","100","3.308073997","0.75","0.7434305488","0.01087991203","7.187894273","0.385760602","0.00217421967"
"1","200","2.617876053","0","2.153317983","0.01771797011","7.596551946","0.9164449443","0.01408164018"
"1","320","1.848969698","0","3.621047487","0.01284094374","8.27423756","1.311320502","0.09165535152"
"1","640","1.236130595","0.625","5.851896752","0.01135209404","10.50588653","5.12095889","1.892351554"
"1","1000","1.049880862","0.625","75.88042792","0.006359783902","12.55117229","5.183785083","3.787994626"
"2","1","3.457039356","0","0.3842548982","0.007714388097","7.041037796","0","0"
"2","2","3.477813482","0","0.4104561979","0.007132647611","7.04102552","0.03841587906","1.119806153e-05"
"2","5","3.451067448","0.125","0.3851011331","0.006755081278","7.041064836","0.08545258155","5.842331622e-05"
"2","10","3.469616175","0","0.4062189484","0.006556519037","7.041394651","0.1449348526","0.0001191671118"
"2","20","3.43742609","0","0.4791702157","0.006750506684","7.042886599","0.2163236751","0.0002772996799"
"2","50","3.430913925","0","0.4226210545","0.007307602541","7.057145843","0.2439469717","0.0006876354446"
"2","100","3.333339453","0.625","0.5734891749","0.009199357758","7.120522576","0.3133303583","0.001576021348"
"2","200","2.99644208","0.125","1.268889103","0.01812690619","7.524487444","0.7811006187","0.007804987769"
"2","320","1.977573872","0.375","3.723819839","0.01306430508","8.415823624","1.262917428","0.06489844966"
"2","640","1.092101336","0.75","18.08675275","0.01140687035","10.46795405","5.926951742","1.301131066"
"2","1000","1.125099301","0.75","23.08378481","0.008726674835","12.81792526","6.664205638","3.818932286"
"3","1","3.490798712","0","0.5068053336","0.008360266419","7.064550361","0","0"
"3","2","3.469107866","0","0.4315625779","0.007494726147","7.064016435","0.05066869839","2.008313916e-05"
"3","5","3.483226299","0","0.4992700863","0.006706826798","7.063611089","0.09261406505","6.852522845e-05"
"3","10","3.460139751","0.125","0.4366881209","0.006628264399","7.063295821","0.1597939894","0.0001437517978"
"3","20","3.411037922","0","0.5639548826","0.007062600727","7.063583663","0.2324710009","0.0003282044887"
"3","50","3.415054798","0.25","0.4544966811","0.007952235762","7.073866711","0.2711904631","0.0008376896555"
"3","100","3.255076647","1","0.7505525052","0.009744700557","7.142442659","0.3508290431","0.001997514125"
"3","200","2.721801281","1","1.609191596","0.01662913087","7.53172131","0.7944623101","0.009212483217"
"3","320","1.620038509","0.5","3.469549511","0.01461029231","8.356607904","1.688459937","0.07636814536"
"3","640","0.8807922602","0.75","10.31642887","0.01199542841","10.41529289","5.492372363","2.523271243"
"3","1000","0.7659054399","1","11.77300537","0.01080511527","12.85914289","7.755336749","4.694823232"
"4","1","3.427667379","0","0.4103471943","0.007087336122","7.10378213","0","0"
"4","2","3.477577448","0","0.4255608664","0.006934475265","7.103925905","0.04102389378","1.431578993e-05"
"4","5","3.422002792","0","0.4112136961","0.006689155611","7.10427167","0.09030712685","6.611525494e-05"
"4","10","3.468125105","0","0.4271222757","0.006615116412","7.104935535","0.1521082099","0.0001355795268"
"4","20","3.462105036","0","0.4697153141","0.006857605672","7.10685862","0.2322735448","0.0003185897647"
"4","50","3.423743486","0","0.4367249177","0.007643531364","7.121313137","0.2566099726","0.0007805952695"
"4","100","3.330695868","0.25","0.6457458821","0.01016957063","7.194801307","0.3286303673","0.001826416876"
"4","200","2.851694107","0.75","1.52320677","0.01639916479","7.574408122","0.7492706751","0.008140594583"
"4","320","1.675896764","0.75","3.09895042","0.01536979928","8.429358504","2.220524618","0.08756415801"
"4","640","1.054041266","0.75","32.3853275","0.01120356747","10.52107771","6.50144923","2.247140384"
"4","1000","1.657542825","0.125","92.77693446","0.009011777231","12.74882197","7.345678129","6.239152507"
"5","1","3.434362411","0","0.5082965568","0.007771953074","7.071773262","0","0"
"5","2","3.469852686","0","0.4338550164","0.00723015299","7.071952484","0.05081785848","1.835281119e-05"
"5","5","3.426885366","0","0.515426783","0.006520004762","7.072307209","0.1008696598","7.319452805e-05"
"5","10","3.46101284","0","0.4283076006","0.006322946016","7.073245471","0.1732912306","0.0001558859864"
"5","20","3.47469306","0","0.6289882178","0.006609787408","7.07588459","0.2503221114","0.0003617966342"
"5","50","3.422991037","0","0.4450820029","0.006750496502","7.093673646","0.2889984422","0.0009283336915"
"5","100","3.312659264","0.5","0.7907179665","0.01043771434","7.163755695","0.3610040501","0.002055826594"
"5","200","2.669696569","0.75","1.839868312","0.01633646763","7.527394446","0.8578859554","0.009049365376"
"5","320","1.826518655","0.75","3.107270362","0.0137474668","8.252926544","1.070681496","0.05310421662"
"5","640","1.065756917","0.875","10.16289483","0.01323055751","10.7340874","5.656378185","1.224467493"
"5","1000","0.945745647","1","36.54355734","0.006839124359","12.6743667","4.428471438","3.757918894"
