"scope","run","metric","value"
"run","1","performance_initialization_ms","86.0796"
"run","1","performance_graph_creation_ms","146.134"
"run","1","performance_finalize_ms","222.465"
"run","1","performance_steady_training_step_median_ms","18.6126"
"run","1","performance_updates_per_second","53.7272"
"run","1","performance_tokens_per_second","1719.27"
"run","1","generation_token_latency_median_ms","1.40786"
"run","1","process_peak_rss_kib","225692"
"run","2","performance_initialization_ms","104.826"
"run","2","performance_graph_creation_ms","162.214"
"run","2","performance_finalize_ms","97.0418"
"run","2","performance_steady_training_step_median_ms","19.8302"
"run","2","performance_updates_per_second","50.4281"
"run","2","performance_tokens_per_second","1613.7"
"run","2","generation_token_latency_median_ms","1.45542"
"run","2","process_peak_rss_kib","229664"
"run","3","performance_initialization_ms","92.093"
"run","3","performance_graph_creation_ms","128.923"
"run","3","performance_finalize_ms","221.989"
"run","3","performance_steady_training_step_median_ms","21.249"
"run","3","performance_updates_per_second","47.061"
"run","3","performance_tokens_per_second","1505.95"
"run","3","generation_token_latency_median_ms","1.42745"
"run","3","process_peak_rss_kib","229460"
"aggregate","MEDIAN","performance_initialization_ms","92.093"
"aggregate","MEDIAN","performance_graph_creation_ms","146.134"
"aggregate","MEDIAN","performance_finalize_ms","221.989"
"aggregate","MEDIAN","performance_steady_training_step_median_ms","19.8302"
"aggregate","MEDIAN","performance_updates_per_second","50.4281"
"aggregate","MEDIAN","performance_tokens_per_second","1613.7"
"aggregate","MEDIAN","generation_token_latency_median_ms","1.42745"
"aggregate","MEDIAN","process_peak_rss_kib","229460"
