configuration_id,layer,head,mean_entropy,entropy_p10,entropy_p90,mean_max_weight,mean_self_weight,mean_prev_weight,mean_top1_minus_top2,head_pair_cosine,case_variance_entropy,case_variance_max_weight,low_margin_entropy,high_margin_entropy,low_margin_max_weight,high_margin_max_weight,dist_0,dist_1,dist_2,dist_3,dist_4,dist_5,dist_6,dist_7
L19_SEED_1,1,0,2.04534,2.00609,2.07861,0.165078,0.1608,0.108533,0.00587691,0.949148,0.00136393,0.000892072,2.04736,2.06468,0.168399,0.146855,0.1608,0.108533,0.118456,0.122128,0.139968,0.113512,0.126095,0.110509
L19_SEED_1,1,1,1.98409,1.84058,2.06995,0.195367,0.15921,0.120967,0.0123271,0.949148,0.00813027,0.00192612,1.99506,2.02604,0.194391,0.17075,0.15921,0.120967,0.11057,0.113583,0.147623,0.111559,0.12619,0.110299
L19_SEED_1,4,0,1.8465,1.61731,2.02024,0.241958,0.112061,0.17356,0.0219234,0.851772,0.0219638,0.00278145,1.8749,1.85898,0.234879,0.229055,0.112061,0.17356,0.103307,0.111264,0.131027,0.137291,0.108648,0.122842
L19_SEED_1,4,1,2.06793,2.05158,2.07781,0.149564,0.127124,0.128784,0.00397971,0.851772,8.96173e-05,0.000139582,2.06921,2.0647,0.149678,0.150497,0.127124,0.128784,0.117796,0.127653,0.126251,0.126178,0.121182,0.125031
L19_SEED_1,7,0,1.78624,1.38606,2.06059,0.266786,0.186634,0.0633389,0.0413192,0.920039,0.068963,0.0113174,1.7839,1.82954,0.291802,0.233734,0.186634,0.0633389,0.138324,0.123537,0.145652,0.0933841,0.131701,0.11743
L19_SEED_1,7,1,2.0218,1.9483,2.07507,0.187041,0.139769,0.0998146,0.0173399,0.920039,0.00266329,0.00166997,2.01546,2.03896,0.198886,0.17185,0.139769,0.0998146,0.138039,0.121938,0.130229,0.115884,0.130096,0.124232
L19_SEED_1,8,0,1.91427,1.69971,2.06582,0.219572,0.0892479,0.176649,0.018034,0.775571,0.030895,0.00505866,1.9412,1.90086,0.213544,0.226351,0.0892479,0.176649,0.110531,0.124388,0.120512,0.134847,0.113483,0.130342
L19_SEED_1,8,1,1.94772,1.82384,2.07643,0.213686,0.176316,0.0890122,0.022648,0.775571,0.0268842,0.00535034,1.93996,2.03224,0.233262,0.169713,0.176316,0.0890122,0.124293,0.12213,0.145267,0.10306,0.12702,0.112902
L19_SEED_1,9,0,1.91252,1.77404,2.04346,0.231391,0.103236,0.13759,0.0242447,0.867904,0.0125417,0.00324591,1.90809,1.96618,0.233724,0.19996,0.103236,0.13759,0.125036,0.137939,0.110012,0.1454,0.1114,0.129387
L19_SEED_1,9,1,2.044,2.00578,2.07574,0.16685,0.13425,0.13916,0.00757223,0.867904,0.00108859,0.000417248,2.04947,2.04272,0.167402,0.161245,0.13425,0.13916,0.107809,0.119891,0.132668,0.127244,0.118822,0.120155
L19_SEED_1,11,0,1.77651,1.5339,2.05511,0.256331,0.197773,0.101804,0.0176351,0.708073,0.061364,0.00574745,1.78182,1.88274,0.256662,0.215018,0.197773,0.101804,0.113861,0.104483,0.158363,0.102284,0.123642,0.0977898
L19_SEED_1,11,1,1.452,1.0989,1.88271,0.352786,0.121895,0.202621,0.0735215,0.708073,0.0683864,0.0126555,1.58661,1.44142,0.312248,0.34762,0.121895,0.202621,0.10047,0.104768,0.137279,0.123459,0.100062,0.109444
L19_SEED_1,12,0,1.89852,1.5827,2.07412,0.221545,0.17045,0.139233,0.0156588,0.822938,0.0263424,0.00499145,1.93412,1.94967,0.212347,0.195713,0.17045,0.139233,0.105822,0.0991096,0.14668,0.12825,0.116279,0.0941757
L19_SEED_1,12,1,1.61027,1.07668,2.07342,0.300235,0.23301,0.0677416,0.0362048,0.822938,0.118915,0.0122906,1.56571,1.78954,0.318499,0.232882,0.23301,0.0677416,0.142938,0.0849694,0.1774,0.0953162,0.12224,0.076385
