configuration_id,layer,head,combo,intervened_token_exact,token_delta,intervened_mean_margin,margin_delta,finite
L19_SEED_2,7,0,A,99,0,2.52623,0,true
L19_SEED_2,7,0,B,99,0,2.51055,-0.015677,true
L19_SEED_2,7,0,C,107,8,2.64955,0.123323,true
L19_SEED_2,7,0,D,107,8,2.65305,0.126818,true
L19_SEED_2,7,1,A,99,0,2.52623,0,true
L19_SEED_2,7,1,B,99,0,2.48251,-0.0437172,true
L19_SEED_2,7,1,C,100,1,2.54011,0.0138796,true
L19_SEED_2,7,1,D,100,1,2.55482,0.0285871,true
L19_SEED_4,12,0,A,116,0,3.23538,0,true
L19_SEED_4,12,0,B,115,-1,3.18571,-0.0496764,true
L19_SEED_4,12,0,C,115,-1,3.21742,-0.017967,true
L19_SEED_4,12,0,D,116,0,3.22565,-0.00973274,true
L19_SEED_4,12,1,A,116,0,3.23538,0,true
L19_SEED_4,12,1,B,116,0,3.20706,-0.0283197,true
L19_SEED_4,12,1,C,115,-1,3.21218,-0.0232004,true
L19_SEED_4,12,1,D,115,-1,3.2008,-0.034585,true
