configuration_id,layer,head,baseline_token_exact,intervened_token_exact,token_delta,baseline_mean_margin,intervened_mean_margin,margin_delta,intervened_mean_rank,intervened_mean_nll,intervened_margin_q10,finite
L19_SEED_1,1,0,106,108,2,2.07102,1.79839,-0.272632,2.19444,1.7888,-12.1004,true
L19_SEED_1,1,1,106,102,-4,2.07102,2.01113,-0.0598911,2.09722,1.70738,-11.2195,true
L19_SEED_1,4,0,106,106,0,2.07102,1.72295,-0.348069,2.15278,1.81894,-11.6019,true
L19_SEED_1,4,1,106,108,2,2.07102,2.04015,-0.0308754,2.15972,1.70594,-11.6645,true
L19_SEED_1,7,0,106,107,1,2.07102,2.0732,0.00218072,2.15972,1.73392,-11.7409,true
L19_SEED_1,7,1,106,108,2,2.07102,2.01292,-0.0581038,2.17361,1.71653,-11.8125,true
L19_SEED_1,8,0,106,108,2,2.07102,2.02395,-0.0470713,2.18056,1.73769,-11.8741,true
L19_SEED_1,8,1,106,107,1,2.07102,2.03321,-0.0378129,2.18056,1.74735,-11.8607,true
L19_SEED_1,9,0,106,108,2,2.07102,2.05979,-0.0112368,2.15278,1.69496,-11.5739,true
L19_SEED_1,9,1,106,107,1,2.07102,2.0283,-0.0427239,2.19444,1.74598,-11.8552,true
L19_SEED_1,11,0,106,107,1,2.07102,2.09533,0.0243126,2.15972,1.70325,-11.537,true
L19_SEED_1,11,1,106,108,2,2.07102,1.9419,-0.129122,2.17361,1.74117,-11.7162,true
L19_SEED_1,12,0,106,107,1,2.07102,2.08385,0.0128262,2.15972,1.71095,-11.5748,true
L19_SEED_1,12,1,106,107,1,2.07102,2.00324,-0.0677791,2.20139,1.75839,-11.9697,true
L19_SEED_1,13,0,106,108,2,2.07102,2.07509,0.00406775,2.15278,1.71415,-11.6559,true
L19_SEED_1,13,1,106,107,1,2.07102,2.0876,0.0165755,2.15278,1.71445,-11.676,true
L19_SEED_1,14,0,106,103,-3,2.07102,2.07854,0.00752185,2.15972,1.66514,-11.3181,true
L19_SEED_1,14,1,106,107,1,2.07102,2.07854,0.00752163,2.13889,1.66924,-11.312,true
L19_SEED_1,15,0,106,107,1,2.07102,2.09016,0.0191353,2.15972,1.7164,-11.6101,true
L19_SEED_1,15,1,106,107,1,2.07102,2.06913,-0.0018948,2.17361,1.72869,-11.683,true
L19_SEED_1,16,0,106,107,1,2.07102,2.0708,-0.000221322,2.17361,1.7219,-11.6795,true
L19_SEED_1,16,1,106,103,-3,2.07102,2.08035,0.00932666,2.16667,1.67398,-11.3281,true
L19_SEED_1,17,0,106,107,1,2.07102,2.0953,0.0242748,2.16667,1.69872,-11.5353,true
L19_SEED_1,17,1,106,103,-3,2.07102,2.07797,0.00694305,2.15278,1.6567,-11.2527,true
