configuration_id,layer,head,intervened_token_exact,token_delta,intervened_mean_margin,margin_delta,intervened_mean_rank,intervened_mean_nll,intervened_margin_q10,finite
L19_SEED_1,11,0,108,2,1.9419,-0.129122,2.17361,1.74117,-11.7162,true
L19_SEED_1,11,1,107,1,2.09533,0.0243126,2.15972,1.70325,-11.537,true
L19_SEED_1,12,0,107,1,2.00324,-0.0677791,2.20139,1.75839,-11.9697,true
L19_SEED_1,12,1,107,1,2.08385,0.0128262,2.15972,1.71095,-11.5748,true
L19_SEED_1,13,0,107,1,2.0876,0.0165755,2.15278,1.71445,-11.676,true
L19_SEED_1,13,1,108,2,2.07509,0.00406775,2.15278,1.71415,-11.6559,true
L19_SEED_1,14,0,107,1,2.07854,0.00752163,2.13889,1.66924,-11.312,true
L19_SEED_1,14,1,103,-3,2.07854,0.00752185,2.15972,1.66514,-11.3181,true
L19_SEED_1,15,0,107,1,2.06913,-0.0018948,2.17361,1.72869,-11.683,true
L19_SEED_1,15,1,107,1,2.09016,0.0191353,2.15972,1.7164,-11.6101,true
L19_SEED_1,16,0,103,-3,2.08035,0.00932666,2.16667,1.67398,-11.3281,true
L19_SEED_1,16,1,107,1,2.0708,-0.000221322,2.17361,1.7219,-11.6795,true
L19_SEED_1,17,0,103,-3,2.07797,0.00694305,2.15278,1.6567,-11.2527,true
L19_SEED_1,17,1,107,1,2.0953,0.0242748,2.16667,1.69872,-11.5353,true
L19_SEED_1,18,0,108,2,2.03997,-0.0310525,2.16667,1.72799,-11.7591,true
L19_SEED_1,18,1,108,2,2.06241,-0.00861331,2.15278,1.69673,-11.509,true
L19_SEED_2,11,0,98,-1,2.60551,0.0792776,1.5625,1.162,-6.58156,true
L19_SEED_2,11,1,99,0,2.52174,-0.0044929,1.5625,1.23181,-6.91915,true
L19_SEED_2,12,0,99,0,2.48105,-0.0451789,1.61806,1.2767,-7.13106,true
L19_SEED_2,12,1,99,0,2.50553,-0.0206986,1.60417,1.24717,-6.9887,true
L19_SEED_2,13,0,99,0,2.56428,0.038049,1.56944,1.21452,-6.88574,true
L19_SEED_2,13,1,99,0,2.50569,-0.0205434,1.61111,1.27698,-7.14336,true
L19_SEED_2,14,0,99,0,2.52771,0.00147697,1.5625,1.2078,-6.82463,true
L19_SEED_2,14,1,99,0,2.49673,-0.0294988,1.61806,1.26245,-7.06797,true
L19_SEED_2,15,0,99,0,2.49775,-0.0284861,1.5625,1.24736,-6.99137,true
L19_SEED_2,15,1,99,0,2.54213,0.0159016,1.56944,1.24587,-7.06265,true
L19_SEED_2,16,0,99,0,2.52287,-0.00336323,1.55556,1.23963,-7.02232,true
L19_SEED_2,16,1,99,0,2.5751,0.0488717,1.57639,1.19333,-6.80534,true
L19_SEED_2,17,0,99,0,2.53619,0.00995576,1.55556,1.22708,-6.92021,true
L19_SEED_2,17,1,99,0,2.49827,-0.027964,1.60417,1.24884,-7.05178,true
L19_SEED_2,18,0,99,0,2.52682,0.000585699,1.55556,1.22022,-6.96759,true
L19_SEED_2,18,1,99,0,2.5049,-0.0213314,1.61111,1.24688,-7.00699,true
L19_SEED_4,11,0,115,-1,3.22786,-0.00752496,1.52083,0.938404,-6.63842,true
L19_SEED_4,11,1,116,0,3.27612,0.0407324,1.55556,0.987116,-7.17117,true
L19_SEED_4,12,0,116,0,3.20497,-0.0304148,1.54861,0.994347,-6.98803,true
L19_SEED_4,12,1,115,-1,3.21178,-0.0235999,1.56944,1.01114,-7.32101,true
L19_SEED_4,13,0,115,-1,3.19917,-0.0362135,1.55556,0.99249,-6.97289,true
L19_SEED_4,13,1,110,-6,3.2271,-0.00828451,1.60417,1.02314,-7.32623,true
L19_SEED_4,14,0,116,0,3.22489,-0.0104927,1.56944,0.999179,-7.17362,true
L19_SEED_4,14,1,116,0,3.23028,-0.00510507,1.57639,1.01921,-7.36209,true
L19_SEED_4,15,0,116,0,3.26305,0.0276638,1.55556,0.983199,-7.06291,true
L19_SEED_4,15,1,117,1,3.27445,0.039069,1.55556,0.970375,-7.17141,true
L19_SEED_4,16,0,116,0,3.23881,0.00342884,1.5625,1.00179,-7.19915,true
L19_SEED_4,16,1,116,0,3.26779,0.0324031,1.5625,0.961827,-7.09222,true
L19_SEED_4,17,0,116,0,3.25342,0.0180359,1.54167,0.98309,-6.97338,true
L19_SEED_4,17,1,116,0,3.25655,0.021164,1.55556,0.991776,-7.09541,true
L19_SEED_4,18,0,116,0,3.2341,-0.00128936,1.57639,1.02132,-7.32917,true
L19_SEED_4,18,1,116,0,3.20392,-0.031466,1.56944,1.01258,-7.29549,true
L18_SEED_2_CONTROL,10,0,109,-1,2.69713,-0.0291346,1.34722,0.786719,-4.4833,true
L18_SEED_2_CONTROL,10,1,110,0,2.7299,0.00364199,1.34722,0.790079,-4.56197,true
L18_SEED_2_CONTROL,11,0,104,-6,2.71532,-0.0109382,1.375,0.766297,-4.37024,true
L18_SEED_2_CONTROL,11,1,110,0,2.69917,-0.0270926,1.34028,0.785582,-4.51548,true
L18_SEED_2_CONTROL,12,0,110,0,2.67554,-0.0507216,1.34722,0.81023,-4.65116,true
L18_SEED_2_CONTROL,12,1,110,0,2.69677,-0.0294924,1.33333,0.792065,-4.59216,true
L18_SEED_2_CONTROL,13,0,109,-1,2.73353,0.00726851,1.34722,0.774432,-4.47658,true
L18_SEED_2_CONTROL,13,1,110,0,2.68739,-0.0388752,1.34722,0.812973,-4.64502,true
L18_SEED_2_CONTROL,14,0,111,1,2.72103,-0.00523419,1.32639,0.770168,-4.44349,true
L18_SEED_2_CONTROL,14,1,110,0,2.67975,-0.0465092,1.34028,0.798916,-4.55993,true
L18_SEED_2_CONTROL,15,0,110,0,2.6737,-0.0525592,1.34028,0.79575,-4.58347,true
L18_SEED_2_CONTROL,15,1,110,0,2.7123,-0.0139559,1.34028,0.784661,-4.49848,true
L18_SEED_2_CONTROL,16,0,110,0,2.69188,-0.0343815,1.34028,0.789738,-4.55018,true
L18_SEED_2_CONTROL,16,1,109,-1,2.71171,-0.014548,1.35417,0.778847,-4.47476,true
L18_SEED_2_CONTROL,17,0,109,-1,2.73632,0.0100609,1.34722,0.770268,-4.49591,true
L18_SEED_2_CONTROL,17,1,109,-1,2.64225,-0.0840109,1.34722,0.803255,-4.61489,true
