configuration_id,layer,action,intervened_token_exact,token_delta,intervened_mean_margin,margin_delta,contribution_cosine,cancellation_ratio,finite
L19_SEED_1,7,pair_zero,107,1,2.00615,-0.0648705,0.682747,0.918055,true
L19_SEED_1,7,pair_only,106,0,2.07102,0,0,0,true
L19_SEED_1,12,pair_zero,108,2,2.01714,-0.0538857,0.100641,0.789888,true
L19_SEED_1,12,pair_only,106,0,2.07102,0,0,0,true
L19_SEED_1,9,pair_zero,108,2,2.00912,-0.0619028,0.254001,0.792209,true
L19_SEED_1,9,pair_only,106,0,2.07102,0,0,0,true
L19_SEED_1,6,pair_zero,107,1,2.03736,-0.0336673,0.714072,0.926838,true
L19_SEED_1,6,pair_only,106,0,2.07102,0,0,0,true
L19_SEED_1,16,pair_zero,103,-3,2.07901,0.00798699,0.606562,0.899666,true
L19_SEED_1,16,pair_only,106,0,2.07102,0,0,0,true
L19_SEED_1,17,pair_zero,105,-1,2.0826,0.0115756,0.734989,0.93158,true
L19_SEED_1,17,pair_only,106,0,2.07102,0,0,0,true
L19_SEED_2,7,pair_zero,109,10,2.58259,0.0563552,0.615721,0.900978,true
L19_SEED_2,7,pair_only,99,0,2.52623,0,0,0,true
L19_SEED_2,12,pair_zero,99,0,2.45467,-0.0715647,0.686517,0.923519,true
L19_SEED_2,12,pair_only,99,0,2.52623,0,0,0,true
L19_SEED_2,9,pair_zero,99,0,2.48854,-0.0376948,0.361476,0.826521,true
L19_SEED_2,9,pair_only,99,0,2.52623,0,0,0,true
L19_SEED_2,6,pair_zero,100,1,2.51797,-0.00826558,0.579045,0.909062,true
L19_SEED_2,6,pair_only,99,0,2.52623,0,0,0,true
L19_SEED_2,16,pair_zero,99,0,2.55841,0.0321796,0.588648,0.894379,true
L19_SEED_2,16,pair_only,99,0,2.52623,0,0,0,true
L19_SEED_2,17,pair_zero,99,0,2.50659,-0.0196381,0.77143,0.943155,true
L19_SEED_2,17,pair_only,99,0,2.52623,0,0,0,true
L19_SEED_4,7,pair_zero,116,0,3.28035,0.0449704,0.277476,0.823457,true
L19_SEED_4,7,pair_only,116,0,3.23538,0,0,0,true
L19_SEED_4,12,pair_zero,116,0,3.1736,-0.0617808,0.363214,0.827099,true
L19_SEED_4,12,pair_only,116,0,3.23538,0,0,0,true
L19_SEED_4,9,pair_zero,110,-6,3.24378,0.00839087,0.473559,0.866514,true
L19_SEED_4,9,pair_only,116,0,3.23538,0,0,0,true
L19_SEED_4,6,pair_zero,110,-6,3.17712,-0.0582621,0.513134,0.874564,true
L19_SEED_4,6,pair_only,116,0,3.23538,0,0,0,true
L19_SEED_4,16,pair_zero,117,1,3.2408,0.00541147,0.652846,0.914709,true
L19_SEED_4,16,pair_only,116,0,3.23538,0,0,0,true
L19_SEED_4,17,pair_zero,117,1,3.25723,0.0218498,0.847397,0.961116,true
L19_SEED_4,17,pair_only,116,0,3.23538,0,0,0,true
L18_SEED_2_CONTROL,7,pair_zero,110,0,2.65378,-0.072481,0.59285,0.89614,true
L18_SEED_2_CONTROL,7,pair_only,110,0,2.72626,0,0,0,true
L18_SEED_2_CONTROL,12,pair_zero,110,0,2.62617,-0.100088,0.658622,0.91517,true
L18_SEED_2_CONTROL,12,pair_only,110,0,2.72626,0,0,0,true
L18_SEED_2_CONTROL,9,pair_zero,110,0,2.67819,-0.0480753,0.519008,0.8813,true
L18_SEED_2_CONTROL,9,pair_only,110,0,2.72626,0,0,0,true
L18_SEED_2_CONTROL,6,pair_zero,108,-2,2.65847,-0.0677947,0.622694,0.933699,true
L18_SEED_2_CONTROL,6,pair_only,110,0,2.72626,0,0,0,true
L18_SEED_2_CONTROL,16,pair_zero,107,-3,2.66186,-0.0644045,0.581353,0.89093,true
L18_SEED_2_CONTROL,16,pair_only,110,0,2.72626,0,0,0,true
L18_SEED_2_CONTROL,17,pair_zero,109,-1,2.63835,-0.0879131,0.760241,0.941024,true
L18_SEED_2_CONTROL,17,pair_only,110,0,2.72626,0,0,0,true
