configuration_id,tap_id,tap_name,kind,block,dim,selected_step,finite,train_tf_token_exact,cal_tf_token_exact,dev_tf_token_exact,dev_tf_mean_rank,dev_tf_mean_nll,dev_tf_mean_margin,dev_tf_margin_q10,dev_tf_top2,dev_tf_top3
L19_SEED_1,0,b01_NORM1,NORM1,1,16,175,true,28,139,140,1.04861111111,0.239274129408,2.64302963845,-0.12957684554,141,144
L19_SEED_1,1,b01_Q,Q,1,16,250,true,28,139,141,1.03472222222,0.206604063407,2.88325438771,0.00411144146706,143,143
L19_SEED_1,2,b01_K,K,1,16,275,true,28,142,140,1.0625,0.216852563945,2.85699242362,-0.154735281906,142,142
L19_SEED_1,3,b01_V,V,1,16,200,true,28,138,139,1.04166666667,0.235232068426,2.73727233359,-0.320333484503,143,144
L19_SEED_1,4,b01_CTX_H0,CTX_H0,1,8,125,true,32,68,60,3.45138888889,1.66675555851,-0.42840044495,-4.55223580799,105,112
L19_SEED_1,5,b01_CTX_H1,CTX_H1,1,8,125,true,30,54,58,3.125,1.71945709182,-0.324996549075,-4.2927374985,97,110
L19_SEED_1,6,b01_CTX_CONCAT,CTX_CONCAT,1,16,75,true,32,65,66,2.90972222222,1.52031117827,-0.0848353732198,-4.76911775446,113,123
L19_SEED_1,7,b01_ATT_UPDATE,ATT_UPDATE,1,16,75,true,31,67,62,2.78472222222,1.59476480498,-0.350175729852,-4.78106406268,108,120
L19_SEED_1,8,b01_AFTER_ATTN,AFTER_ATTN,1,16,150,true,28,139,140,1.04861111111,0.317533386548,2.29847079728,-0.488081693758,141,144
L19_SEED_1,9,b04_NORM1,NORM1,4,16,100,true,29,116,122,1.21527777778,0.519051795757,1.50559124016,-1.67432429747,138,142
L19_SEED_1,10,b04_Q,Q,4,16,150,true,29,114,124,1.16666666667,0.477167346871,1.49218138414,-1.65664320266,140,144
L19_SEED_1,11,b04_K,K,4,16,150,true,29,114,123,1.19444444444,0.543814495253,1.35291792436,-1.64120098296,141,141
L19_SEED_1,12,b04_V,V,4,16,125,true,29,118,123,1.22222222222,0.572584876033,1.47298329682,-2.30845580092,138,140
L19_SEED_1,13,b04_CTX_H0,CTX_H0,4,8,150,true,29,68,60,3.49305555556,1.9905538485,-0.802751608384,-6.31377435246,96,107
L19_SEED_1,14,b04_CTX_H1,CTX_H1,4,8,50,true,27,31,27,5.85416666667,2.59030370719,-1.18515620055,-4.354084692,62,72
L19_SEED_1,15,b04_CTX_CONCAT,CTX_CONCAT,4,16,50,true,31,49,49,3.69444444444,2.14360254824,-1.02583231412,-5.80121300989,91,107
L19_SEED_1,16,b04_ATT_UPDATE,ATT_UPDATE,4,16,75,true,29,53,53,3.70138888889,2.07761387045,-0.982483990814,-6.24111959857,99,107
L19_SEED_1,17,b04_AFTER_ATTN,AFTER_ATTN,4,16,125,true,29,112,120,1.22916666667,0.543000593361,1.54820413162,-2.04705248143,139,142
L19_SEED_1,18,b07_NORM1,NORM1,7,16,100,true,28,117,123,1.27083333333,0.700916600635,1.10556703115,-2.8238163159,132,140
L19_SEED_1,19,b07_Q,Q,7,16,100,true,28,112,114,1.47916666667,0.924284136636,0.651066611466,-3.28624207823,125,133
L19_SEED_1,20,b07_K,K,7,16,125,true,29,106,112,1.45833333333,0.849076844198,0.861928259188,-3.83887795016,128,135
L19_SEED_1,21,b07_V,V,7,16,75,true,29,107,114,1.38194444444,0.835231781549,0.792858919742,-3.14411916295,132,136
L19_SEED_1,22,b07_CTX_H0,CTX_H0,7,8,50,true,24,53,53,4.49305555556,2.45449193651,-1.01217973842,-4.09768744818,68,74
L19_SEED_1,23,b07_CTX_H1,CTX_H1,7,8,50,true,22,24,23,6.04861111111,2.51967835195,-1.02986489881,-3.76522145592,55,79
L19_SEED_1,24,b07_CTX_CONCAT,CTX_CONCAT,7,16,25,true,28,50,52,5.32638888889,2.45037753637,-0.93201301296,-3.97858164433,61,86
L19_SEED_1,25,b07_ATT_UPDATE,ATT_UPDATE,7,16,25,true,23,27,27,5.77083333333,2.47232863195,-0.933061458351,-4.06233547923,66,88
L19_SEED_1,26,b07_AFTER_ATTN,AFTER_ATTN,7,16,100,true,29,112,118,1.41666666667,0.735438246995,1.05373985194,-2.92473670835,129,133
L19_SEED_1,27,b08_NORM1,NORM1,8,16,100,true,29,109,116,1.38888888889,0.769302353868,0.97956743148,-3.13673251454,130,135
L19_SEED_1,28,b08_Q,Q,8,16,150,true,28,115,117,1.45138888889,0.889283397234,0.792296313073,-3.79055306551,125,134
L19_SEED_1,29,b08_K,K,8,16,125,true,29,101,107,1.4375,0.838115701861,0.809796675214,-3.15880421473,130,136
L19_SEED_1,30,b08_V,V,8,16,100,true,29,105,112,1.50694444444,0.856452922086,0.890399008849,-3.5759313217,126,132
L19_SEED_1,31,b08_CTX_H0,CTX_H0,8,8,75,true,26,58,59,4.69444444444,2.18861056957,-0.864735211612,-5.01773141853,72,91
L19_SEED_1,32,b08_CTX_H1,CTX_H1,8,8,50,true,24,26,21,5.55555555556,2.42461045209,-0.974145565041,-4.20792120585,49,91
L19_SEED_1,33,b08_CTX_CONCAT,CTX_CONCAT,8,16,50,true,30,57,55,4.5625,2.23961814043,-1.03392447542,-6.06434826598,87,92
