configuration_id,tap_name,tf_token_exact,fr_token_exact,fr_sequence_exact,fr_nll,fr_first_error_survival,fr_margin_q10,fr_all_finite
L19_SEED_1,AFTER_ATTN_b9,106,50,8,7.279392431,1,-20.62,true
L19_SEED_1,FINAL_POST_LN,106,50,8,7.279392431,1,-20.62,true
L19_SEED_2,AFTER_ATTN_b7,99,65,9,4.527180691,2,-16.7033,true
L19_SEED_2,FINAL_POST_LN,99,65,9,4.527180691,2,-16.7033,true
L19_SEED_4,AFTER_ATTN_b12,116,86,12,4.574116312,1,-19.5994,true
L19_SEED_4,HEAD_ONLY_b12_h0,116,86,12,4.47726804,1,-19.3567,true
L19_SEED_4,HEAD_ONLY_b12_h1,115,86,12,4.513805009,1,-19.3252,true
L19_SEED_4,FINAL_POST_LN,116,86,12,4.574116312,1,-19.5994,true
L18_SEED_2_CONTROL,AFTER_ATTN_b6,110,60,9,5.604138777,2,-17.5321,true
L18_SEED_2_CONTROL,FINAL_POST_LN,110,60,9,5.604138777,2,-17.5321,true
