"configuration_id","intervention","free_token_exact","free_sequence_exact","token_total","sequence_total"
"L19_SEED_2","LEARNED_ALPHA_1_NOOP","63","6","144","24"
"L19_SEED_2","TRAIN_FIXED_SELF","144","24","144","24"
"L19_SEED_2","TRAIN_FIXED_PREVIOUS","144","24","144","24"
"L19_SEED_2","TRAIN_FIXED_UNIFORM_CAUSAL","24","0","144","24"
"L19_SEED_2","FREEZE_QK_INITIAL","75","8","144","24"
"L19_SEED_2","FREEZE_VO_INITIAL","110","17","144","24"
"L18_SEED_2_CONTROL","LEARNED_ALPHA_1_NOOP","65","8","144","24"
"L18_SEED_2_CONTROL","TRAIN_FIXED_SELF","144","24","144","24"
"L18_SEED_2_CONTROL","TRAIN_FIXED_PREVIOUS","144","24","144","24"
"L18_SEED_2_CONTROL","TRAIN_FIXED_UNIFORM_CAUSAL","21","1","144","24"
"L18_SEED_2_CONTROL","FREEZE_QK_INITIAL","55","6","144","24"
"L18_SEED_2_CONTROL","FREEZE_VO_INITIAL","144","24","144","24"
