"configuration_id","depth","seed","intervention","checkpoint_preserved","teacher_token_exact","teacher_token_total","teacher_nll","free_token_exact","free_token_total","free_sequence_exact","free_sequence_total","free_nll","median_first_error","margin_q10","minimum_teacher_margin","tie_count","all_finite"
"L19_SEED_1","19","1","LEARNED_ALPHA_1_NOOP","true","96","144","2.3157030073803795","30","144","2","24","8.1239202984409147","1","-19.677247460683187","-22.643988609313965","0","true"
"L19_SEED_1","19","1","EVAL_ATTENTION_ALPHA_0.5","true","75","144","1.6254239886263133","38","144","6","24","7.637782499432701","1","-18.252199061711629","-7.7371686100959778","0","true"
"L19_SEED_1","19","1","EVAL_ATTENTION_ALPHA_0.25","true","56","144","2.0681852573730319","36","144","6","24","7.8494748150716083","1","-18.557998784383138","-6.1610264778137207","0","true"
"L19_SEED_1","19","1","EVAL_ATTENTION_ALPHA_0","true","54","144","2.4384715891196747","42","144","6","24","7.3130168422845987","1","-18.456925932566325","-6.3232641220092773","0","true"
"L19_SEED_1","19","1","EVAL_FIXED_SELF","true","93","144","2.3016315963091745","45","144","6","24","8.6580817960354359","1","-21.68934335708618","-16.40095043182373","0","true"
"L19_SEED_1","19","1","EVAL_FIXED_PREVIOUS","true","74","144","2.0486654082176985","41","144","6","24","7.0041599749967034","1","-18.530574560165405","-13.894678592681885","0","true"
"L19_SEED_1","19","1","EVAL_FIXED_UNIFORM_CAUSAL","true","90","144","2.5946224043655834","25","144","2","24","8.4584979995002119","1","-19.281653086344402","-22.517722129821777","0","true"
"L19_SEED_1","19","1","EVAL_FFN_W2_ZERO_CONTROL","true","20","144","6.7690094836457364","20","144","0","24","7.1961051227657942","1","-14.204982280731201","-15.502976417541504","0","true"
"L19_SEED_2","19","2","LEARNED_ALPHA_1_NOOP","true","103","144","1.2077194161708436","63","144","6","24","4.1834252637042262","2","-14.355667327344417","-10.464353322982788","0","true"
"L19_SEED_2","19","2","EVAL_ATTENTION_ALPHA_0.5","true","92","144","1.3530275047924241","53","144","6","24","4.3149339615054707","2","-12.730317010482151","-7.9535258114337921","0","true"
"L19_SEED_2","19","2","EVAL_ATTENTION_ALPHA_0.25","true","57","144","1.9435651272868459","38","144","6","24","6.8221620881368965","1","-16.630586640040079","-8.0591102838516235","0","true"
"L19_SEED_2","19","2","EVAL_ATTENTION_ALPHA_0","true","57","144","2.8189062477685916","38","144","6","24","6.9741060237240253","1","-16.469420719146729","-9.7858412265777588","0","true"
"L19_SEED_2","19","2","EVAL_FIXED_SELF","true","93","144","4.1217618106490503","56","144","6","24","9.8717145394310659","2","-27.634900347391763","-21.17314338684082","0","true"
"L19_SEED_2","19","2","EVAL_FIXED_PREVIOUS","true","104","144","1.49236539082875","58","144","5","24","5.3480906446363621","2","-17.891374021271865","-11.082605361938477","0","true"
