"configuration_id","depth","seed","intervention","steps","train_finite","final_train_loss","frozen_scope_pass","teacher_token_exact","teacher_token_total","teacher_nll","free_token_exact","free_token_total","free_sequence_exact","free_sequence_total","free_nll","median_first_error","margin_q10","all_finite"
"L19_SEED_1","19","1","TRAIN_FIXED_SELF","320","true","0.0010974524775519967","true","144","144","0.0028361174132411162","144","144","24","24","0.0028361174132411162","5","4.5791157722473148","true"
"L19_SEED_1","19","1","TRAIN_FIXED_PREVIOUS","320","true","0.00094379822257906199","true","141","144","0.035689718183907058","140","144","21","24","0.049321108944462927","5","2.504936440785726","true"
"L19_SEED_2","19","2","TRAIN_FIXED_SELF","320","true","0.0013457915047183633","true","144","144","0.0019707280583229534","144","144","24","24","0.0019707280583229534","5","6.0692407608032228","true"
"L19_SEED_2","19","2","TRAIN_FIXED_PREVIOUS","320","true","0.00070740224327892065","true","144","144","0.0013666828132870999","144","144","24","24","0.0013666828132870999","5","5.8558788299560547","true"
"L19_SEED_4","19","4","TRAIN_FIXED_SELF","320","true","0.0012765268329530954","true","144","144","0.0012893771772105229","144","144","24","24","0.0012893771772105229","5","6.5739585876464846","true"
"L19_SEED_4","19","4","TRAIN_FIXED_PREVIOUS","320","true","0.00084720004815608263","true","142","144","0.023935871753454303","134","144","22","24","0.64501800063385284","5","-4.7645503560702007","true"
"L18_SEED_2_CONTROL","18","2","TRAIN_FIXED_SELF","320","true","0.00098444579634815454","true","144","144","0.001459321626661773","144","144","24","24","0.001459321626661773","5","6.195526123046875","true"
"L18_SEED_2_CONTROL","18","2","TRAIN_FIXED_PREVIOUS","320","true","0.00068205688148736954","true","144","144","0.0012192110426434174","144","144","24","24","0.0012192110426434174","5","6.0167726834615074","true"
"L19_SEED_1","19","1","TRAIN_FIXED_UNIFORM_CAUSAL","320","true","0.00084954459453001618","true","97","144","2.4033589455782476","31","144","2","24","8.0150000055660762","1","-20.325980377197265","true"
"L19_SEED_1","19","1","FREEZE_QK_INITIAL","320","true","0.00088125828187912703","true","95","144","2.6027978323747427","40","144","2","24","7.9537889125165329","1","-20.57926147778829","true"
"L19_SEED_1","19","1","FREEZE_VO_INITIAL","320","true","0.00065212184563279152","true","142","144","0.03348676736697985","132","144","22","24","1.1986321348810864","5","-10.993672263622283","true"
"L19_SEED_2","19","2","TRAIN_FIXED_UNIFORM_CAUSAL","320","true","0.0020289083477109671","true","94","144","1.4667117064299668","24","144","0","24","7.8853270404301572","1","-19.455292812983195","true"
"L19_SEED_2","19","2","FREEZE_QK_INITIAL","320","true","0.0019500188063830137","true","117","144","0.64116885307369886","75","144","8","24","4.327412607732926","2","-15.127844089269638","true"
"L19_SEED_2","19","2","FREEZE_VO_INITIAL","320","true","0.0033347450662404299","true","137","144","0.22394341731007353","110","144","17","24","1.8700356244650935","5","-11.967198977526277","true"
"L19_SEED_4","19","4","TRAIN_FIXED_UNIFORM_CAUSAL","320","true","0.0021737578790634871","true","113","144","1.0210855661686535","78","144","12","24","4.7497806287992494","4","-19.176098521550497","true"
"L19_SEED_4","19","4","FREEZE_QK_INITIAL","320","true","0.0024232727009803057","true","122","144","0.61825591221827059","84","144","13","24","3.7524586595339042","5","-15.448628560702007","true"
"L19_SEED_4","19","4","FREEZE_VO_INITIAL","320","true","0.0012402248103171587","true","142","144","0.030091034752945847","134","144","22","24","1.1594033618852313","5","-10.569251823425294","true"
"L18_SEED_2_CONTROL","18","2","TRAIN_FIXED_UNIFORM_CAUSAL","320","true","0.0013545200927183032","true","88","144","1.5469370278730663","21","144","1","24","8.6449282632438944","1","-19.207284124692283","true"
"L18_SEED_2_CONTROL","18","2","FREEZE_QK_INITIAL","320","true","0.0020578512921929359","true","107","144","1.0655420566941998","55","144","6","24","5.9922745918046836","2","-17.54518454472224","true"
"L18_SEED_2_CONTROL","18","2","FREEZE_VO_INITIAL","320","true","0.0050111012533307076","true","144","144","0.01093228234441178","144","144","24","24","0.01093228234441178","5","3.4945218404134115","true"
