"configuration_id","depth","condition","dose_percent","teacher_token_exact","free_token_exact","free_sequence_exact","free_nll","ordinary_attention_active"
"L19_SEED_2","19","CANONICAL_HOMOGENEOUS","0","103","63","6","4.1834252637042262","true"
"L19_SEED_2","19","MATCHED_HOMOGENEOUS","25","132","105","16","2.4213133167513727","true"
"L19_SEED_2","19","MIXED_INVARIANCE","25","143","136","23","0.45571060535548102","true"
"L18_SEED_2_CONTROL","18","CANONICAL_HOMOGENEOUS","0","114","65","8","5.3026052133795201","true"
"L18_SEED_2_CONTROL","18","MATCHED_HOMOGENEOUS","25","137","119","19","1.677443992775667","true"
"L18_SEED_2_CONTROL","18","MIXED_INVARIANCE","25","144","144","24","0.0038119190295901172","true"
"L19_SEED_2","19","CURRICULUM_MIXED_FIRST","25","143","141","23","0.2136575544627097","true"
"L19_SEED_2","19","CURRICULUM_MIXED_LAST","25","144","144","24","0.046253807096527134","true"
"L18_SEED_2_CONTROL","18","CURRICULUM_MIXED_FIRST","25","144","144","24","0.01446039121283872","true"
"L18_SEED_2_CONTROL","18","CURRICULUM_MIXED_LAST","25","144","144","24","0.069113177569972428","true"
"L19_SEED_2","19","CURRICULUM_MIXED_LAST","12.5","131","111","18","1.7080615374544663","true"
"L19_SEED_2","19","CURRICULUM_MIXED_LAST","6.25","80","38","1","4.7894070605608974","true"
"L18_SEED_2_CONTROL","18","CURRICULUM_MIXED_LAST","12.5","140","124","20","1.4378612007372804","true"
"L18_SEED_2_CONTROL","18","CURRICULUM_MIXED_LAST","6.25","109","61","6","3.6131901904341674","true"
