"configuration_id","condition","dose_percent","qk_update_l2","v_update_l2","o_update_l2","ffn_update_l2","norm_update_l2","embedding_head_update_l2","train_finite"
"L19_SEED_1","CANONICAL_HOMOGENEOUS","0","5.9615063707758518","2.8697748292802809","2.5839304683887936","7.3618080230707843","2.2106233827362503","1.4566247053052681","true"
"L19_SEED_1","MATCHED_HOMOGENEOUS","25","8.1138025730297585","2.6209949659845626","2.5007112395790485","8.1189176819247884","1.7444768184170292","1.7563069987142508","true"
"L19_SEED_1","MIXED_INVARIANCE","25","7.5986136312810739","1.974348900776822","1.9064119039057212","8.2044161539725078","2.0694364963119884","1.7115865931153262","true"
"L19_SEED_2","CANONICAL_HOMOGENEOUS","0","6.3636883331977705","2.9247085625798754","2.7278442320421079","7.9297566431418369","2.4277999647231576","1.465006841905492","true"
"L19_SEED_2","MATCHED_HOMOGENEOUS","25","7.1494949454340526","2.4764979199069459","2.4757155856116246","8.1811656699257966","2.0461596823488866","1.7142673722499029","true"
"L19_SEED_2","MIXED_INVARIANCE","25","7.8649458180584881","2.266802086769502","2.3322106917370888","8.5997011280348623","2.062374322602643","1.8114265045871114","true"
"L19_SEED_4","CANONICAL_HOMOGENEOUS","0","6.8680156319366255","2.9035283109474919","2.6212417505025369","7.734504799529125","2.4111905332665522","1.5032749592032153","true"
"L19_SEED_4","MATCHED_HOMOGENEOUS","25","7.009864968940601","2.4627135671344749","2.3118831086914287","7.7849947623123095","1.8896069372232835","1.7066409917270025","true"
"L19_SEED_4","MIXED_INVARIANCE","25","6.7874457981862051","2.1567262000554011","2.0039599163181365","8.1796650589681938","2.2332964152500789","1.7525158313868081","true"
"L18_SEED_2_CONTROL","CANONICAL_HOMOGENEOUS","0","5.7461852501760511","2.7883477498410185","2.6390525305240362","7.7893176655075669","2.1251530377070869","1.537229255341652","true"
"L18_SEED_2_CONTROL","MATCHED_HOMOGENEOUS","25","7.2155190119965198","2.3851756009959755","2.4656496096177323","8.1073967171704933","2.0259276723686455","1.6987865206724349","true"
"L18_SEED_2_CONTROL","MIXED_INVARIANCE","25","7.3715862446511329","2.1070807102079616","2.1446163789480313","8.5364333798047163","2.4247395281486095","1.695007227799733","true"
"L19_SEED_1","CURRICULUM_MIXED_FIRST","25","7.6571565283911882","2.2803326676084352","2.1729631567621621","7.9072941860358901","2.0942023490501591","1.8185985003422163","true"
"L19_SEED_1","CURRICULUM_MIXED_LAST","25","8.2408996387083278","2.8179925825840875","2.8060353877901774","8.3819137053658395","1.7992564586769006","1.8766414014955244","true"
"L19_SEED_2","CURRICULUM_MIXED_FIRST","25","8.1305200688139809","2.3412904651682003","2.3971986052846592","8.2309503402768573","2.4280899292568225","1.7529158639632452","true"
"L19_SEED_2","CURRICULUM_MIXED_LAST","25","8.3290077198736974","2.8699639915652519","2.7555865919447284","9.0932071571431443","2.0980031323879555","1.9328443988097386","true"
"L19_SEED_4","CURRICULUM_MIXED_FIRST","25","6.8169233145680996","2.0494198296374404","1.8876088503766713","7.945483234688945","2.1627258474981796","1.7576896663460368","true"
"L19_SEED_4","CURRICULUM_MIXED_LAST","25","8.8520628870042248","3.0887319594321347","3.2870122809007758","8.7488548692450312","1.9872063158629503","2.0724517041538806","true"
"L18_SEED_2_CONTROL","CURRICULUM_MIXED_FIRST","25","7.7348176717965256","2.330335139545844","2.3570801620650741","8.094369603703603","2.3069319611709536","1.7823830707144286","true"
"L18_SEED_2_CONTROL","CURRICULUM_MIXED_LAST","25","7.2166821954657774","2.2265786540975068","2.2995058873962191","8.3930270660957138","1.7330597956208844","1.921961015008782","true"
"L19_SEED_1","CURRICULUM_MIXED_LAST","12.5","8.2050662903234368","2.7937226276296849","2.852443453364693","7.8800253918955843","1.6871173954154477","1.7798129965355876","true"
"L19_SEED_1","CURRICULUM_MIXED_LAST","6.25","7.5906162242881514","2.5708333464025874","2.6320835806961806","7.6389139785251885","1.700176734676925","1.6187754582189149","true"
"L19_SEED_2","CURRICULUM_MIXED_LAST","12.5","8.5381047032202542","2.9651851041170634","2.8798403661429277","8.7109133175267885","2.0070478007708052","1.8317771032240349","true"
"L19_SEED_2","CURRICULUM_MIXED_LAST","6.25","7.6755968548008546","2.6804243966621835","2.5407816157338354","8.2474666765618529","2.0069452440752222","1.5795248479087858","true"
"L19_SEED_4","CURRICULUM_MIXED_LAST","12.5","8.3824187318298531","3.2489123212640703","3.4534935156397073","8.2109550065682235","1.8464609273527004","1.9438883224611561","true"
"L19_SEED_4","CURRICULUM_MIXED_LAST","6.25","7.8148109054765751","2.9845238262592897","2.9444969191444419","7.517191289832879","1.7700647590613494","1.6620540912274726","true"
"L18_SEED_2_CONTROL","CURRICULUM_MIXED_LAST","12.5","7.1291474896147591","2.2033770438007627","2.3133159111095773","8.0940611357718222","1.6582541063195684","1.7872674745150947","true"
"L18_SEED_2_CONTROL","CURRICULUM_MIXED_LAST","6.25","6.5135919069104142","2.0177315648147842","2.0879375583345778","7.739459663989404","1.6877253943795794","1.6186826380789046","true"
