"configuration_id","condition","dose_percent","teacher_token_exact","free_token_exact","exact_gap","teacher_nll","free_nll","teacher_margin_q10","free_margin_q10","free_sequence_exact","all_finite"
"L19_SEED_1","CANONICAL_HOMOGENEOUS","0","96","30","66","2.3157030073803795","8.1239202984409147","-13.20398838285889","-19.677247460683187","2","true"
"L19_SEED_1","MATCHED_HOMOGENEOUS","25","112","65","47","1.107060517328587","5.7529105222423071","-7.5087453808103293","-17.086498387654622","11","true"
"L19_SEED_1","MIXED_INVARIANCE","25","144","144","0","0.0028062639167111148","0.0028062639167111148","5.2335062708173483","5.2651433308919273","24","true"
"L19_SEED_2","CANONICAL_HOMOGENEOUS","0","103","63","40","1.2077194161708436","4.1834252637042262","-7.7781712668282648","-14.355667327344417","6","true"
"L19_SEED_2","MATCHED_HOMOGENEOUS","25","132","105","27","0.25183063905264041","2.4213133167513727","-1.6904569012778146","-13.252560943861802","16","true"
"L19_SEED_2","MIXED_INVARIANCE","25","143","136","7","0.018155989272252607","0.45571060535548102","3.2753844601767406","-2.8406489521265028","23","true"
"L19_SEED_4","CANONICAL_HOMOGENEOUS","0","101","46","55","1.4286917306897893","7.5872917521625203","-8.8684685911451062","-22.040119330088299","6","true"
"L19_SEED_4","MATCHED_HOMOGENEOUS","25","116","45","71","0.55023610214651564","6.3186574786070517","-3.6128103392464772","-16.204732712109884","7","true"
"L19_SEED_4","MIXED_INVARIANCE","25","144","144","0","0.0027171072677094742","0.0027171072677094742","5.604406288691929","5.6246296564737959","24","true"
"L18_SEED_2_CONTROL","CANONICAL_HOMOGENEOUS","0","114","65","49","0.70271738297867092","5.3026052133795201","-4.3900436162948608","-16.666968043645223","8","true"
"L18_SEED_2_CONTROL","MATCHED_HOMOGENEOUS","25","137","119","18","0.11462690732863806","1.677443992775667","-0.059905597141810825","-13.448326189815997","19","true"
"L18_SEED_2_CONTROL","MIXED_INVARIANCE","25","144","144","0","0.0038119190295901172","0.0038119190295901172","4.9214800766536166","4.9526016553243002","24","true"
"L19_SEED_1","CURRICULUM_MIXED_FIRST","25","144","144","0","0.023264663327294082","0.023264663327294082","2.2255442823682512","2.2757222811381022","24","true"
"L19_SEED_1","CURRICULUM_MIXED_LAST","25","144","144","0","0.059110974035140415","0.059110974035140415","1.9708465848650252","1.9858025232950847","24","true"
"L19_SEED_2","CURRICULUM_MIXED_FIRST","25","143","141","2","0.019418582442341934","0.2136575544627097","2.8551585333687917","0.47725604375203451","23","true"
"L19_SEED_2","CURRICULUM_MIXED_LAST","25","144","144","0","0.046253807096527134","0.046253807096527134","2.0123008659907748","2.0530804951985675","24","true"
"L19_SEED_4","CURRICULUM_MIXED_FIRST","25","144","144","0","0.0043656219840960686","0.0043656219840960686","4.1890999249049594","4.2310759226481123","24","true"
"L19_SEED_4","CURRICULUM_MIXED_LAST","25","144","144","0","0.06444124681593183","0.064441246815931844","1.6266819408961706","1.6875306447347005","24","true"
"L18_SEED_2_CONTROL","CURRICULUM_MIXED_FIRST","25","144","144","0","0.01446039121283872","0.01446039121283872","2.6421922274998257","2.7036088307698569","24","true"
"L18_SEED_2_CONTROL","CURRICULUM_MIXED_LAST","25","144","144","0","0.069113177569972428","0.069113177569972428","1.6136139460972376","1.6513175646464029","24","true"
"L19_SEED_1","CURRICULUM_MIXED_LAST","12.5","134","112","22","0.43397435424035669","1.4479950571499307","-0.023531505039760044","-7.5063070103526117","17","true"
"L19_SEED_1","CURRICULUM_MIXED_LAST","6.25","89","51","38","1.7375241507949613","4.5341312857477947","-6.4011328901563376","-12.083267688751221","6","true"
"L19_SEED_2","CURRICULUM_MIXED_LAST","12.5","131","111","20","0.38398856707307555","1.7080615374544663","-0.44901452745710102","-9.3401572863260913","18","true"
"L19_SEED_2","CURRICULUM_MIXED_LAST","6.25","80","38","42","1.55967085058372","4.7894070605608974","-4.4188351971762518","-11.790792385737101","1","true"
"L19_SEED_4","CURRICULUM_MIXED_LAST","12.5","137","114","23","0.34942930686902274","1.2555404133496397","-0.079450573240007677","-7.7617905497550961","18","true"
"L19_SEED_4","CURRICULUM_MIXED_LAST","6.25","84","61","23","1.4441427329929912","3.1610481034064115","-2.9642018856746808","-9.7362847099701568","6","true"
"L18_SEED_2_CONTROL","CURRICULUM_MIXED_LAST","12.5","140","124","16","0.27013833637301271","1.4378612007372804","0.20507597923278809","-11.038793975114823","20","true"
"L18_SEED_2_CONTROL","CURRICULUM_MIXED_LAST","6.25","109","61","48","0.64645819359349987","3.6131901904341674","-2.0566139136041914","-12.05817719300588","6","true"
