"configuration_id","depth","seed","condition","dose_percent","dataset","steps","example_count","special_example_count","train_finite","final_train_loss","teacher_token_exact","teacher_token_total","teacher_nll","teacher_margin_q10","free_token_exact","free_token_total","free_sequence_exact","free_sequence_total","free_nll","median_first_error","free_margin_q10","ordinary_attention_active","all_finite"
"L19_SEED_1","19","1","CANONICAL_HOMOGENEOUS","0","AR_DEVELOPMENT_V3","320","320","0","true","0.00088445283472537994","96","144","2.3157030073803795","-13.20398838285889","30","144","2","24","8.1239202984409147","1","-19.677247460683187","true","true"
"L19_SEED_1","19","1","CANONICAL_HOMOGENEOUS","0","HOMOGENEOUS_PHASE0","320","320","0","true","0.00088445283472537994","32","32","0.04731860122017717","0.96978632609049475","32","32","4","4","0.04731860122017717","9","1.264498233795166","true","true"
"L19_SEED_1","19","1","MATCHED_HOMOGENEOUS","25","AR_DEVELOPMENT_V3","320","320","80","true","0.0074049555696547031","112","144","1.107060517328587","-7.5087453808103293","65","144","11","24","5.7529105222423071","2","-17.086498387654622","true","true"
"L19_SEED_1","19","1","MATCHED_HOMOGENEOUS","25","HOMOGENEOUS_PHASE0","320","320","80","true","0.0074049555696547031","32","32","0.0078920169756053205","4.0147914886474609","32","32","4","4","0.0078920169756053205","9","4.0147914886474609","true","true"
"L19_SEED_1","19","1","MIXED_INVARIANCE","25","AR_DEVELOPMENT_V3","320","320","80","true","0.0042782486416399479","144","144","0.0028062639167111148","5.2335062708173483","144","144","24","24","0.0028062639167111148","5","5.2651433308919273","true","true"
"L19_SEED_1","19","1","MIXED_INVARIANCE","25","HOMOGENEOUS_PHASE0","320","320","80","true","0.0042782486416399479","32","32","0.0015714123637229349","6.3434758186340332","32","32","4","4","0.0015714123637229349","9","6.3832993507385254","true","true"
"L19_SEED_2","19","2","CANONICAL_HOMOGENEOUS","0","AR_DEVELOPMENT_V3","320","320","0","true","0.0011558480327948928","103","144","1.2077194161708436","-7.7781712668282648","63","144","6","24","4.1834252637042262","2","-14.355667327344417","true","true"
"L19_SEED_2","19","2","CANONICAL_HOMOGENEOUS","0","HOMOGENEOUS_PHASE0","320","320","0","true","0.0011558480327948928","25","32","0.59160653461566814","-3.7878549893697104","24","32","2","4","1.2023432510200107","2","-7.5555914640426636","true","true"
"L19_SEED_2","19","2","MATCHED_HOMOGENEOUS","25","AR_DEVELOPMENT_V3","320","320","80","true","0.0036667543463408947","132","144","0.25183063905264041","-1.6904569012778146","105","144","16","24","2.4213133167513727","5","-13.252560943861802","true","true"
"L19_SEED_2","19","2","MATCHED_HOMOGENEOUS","25","HOMOGENEOUS_PHASE0","320","320","80","true","0.0036667543463408947","32","32","0.015413670641149402","2.6828292210896811","32","32","4","4","0.015413670641149402","9","3.0779352188110352","true","true"
"L19_SEED_2","19","2","MIXED_INVARIANCE","25","AR_DEVELOPMENT_V3","320","320","80","true","0.21256625652313232","143","144","0.018155989272252607","3.2753844601767406","136","144","23","24","0.45571060535548102","5","-2.8406489521265028","true","true"
"L19_SEED_2","19","2","MIXED_INVARIANCE","25","HOMOGENEOUS_PHASE0","320","320","80","true","0.21256625652313232","32","32","0.0040452470698879028","5.4247032801310224","32","32","4","4","0.0040452470698879028","9","5.4708185195922852","true","true"
