"configuration_id","partition","step","token_exact","token_total","sequence_exact","sequence_total","autoregressive_nll","median_first_error_survival","lower_tail_margin_q10","all_finite"
"L19_SEED_1","MARGIN_CALIBRATION_V1","0","6","144","0","24","3.4338769963848619","1","-0.67545302808284757","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","4","14","144","0","24","3.2995571854197099","1","-1.5193202286958694","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","8","30","144","0","24","3.1335238442233315","1","-3.2988568743069968","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","12","21","144","0","24","3.0695827848513582","1","-3.6848433256149291","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","16","20","144","1","24","3.0204900126512375","1","-3.6897498408953351","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","20","33","144","3","24","3.185166287711279","1","-4.6393788337707518","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","24","33","144","3","24","3.4968993074747363","1","-5.8399106979370119","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","28","37","144","5","24","3.6435446773202065","1","-6.6324678421020504","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","32","42","144","5","24","3.338354801662923","1","-7.6085383335749306","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","36","38","144","4","24","3.0923957373279087","1","-7.4335665782292688","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","40","35","144","3","24","3.1353941658951681","1","-7.0825992623964948","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","48","40","144","5","24","3.8149018955985312","1","-8.4197096745173141","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","56","38","144","4","24","4.1455935760844369","1","-9.9221663792928059","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","64","37","144","4","24","4.4830979039623138","1","-10.626501687367757","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","80","32","144","4","24","5.2287891662474042","1","-12.04135734240214","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","96","43","144","6","24","5.5277552919371091","1","-13.784225781758627","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","128","42","144","6","24","6.279655015516151","1","-15.402626101175944","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","160","42","144","6","24","6.6480696471349505","1","-16.47407956123352","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","192","50","144","7","24","6.4619661188722848","1","-17.266432650883992","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","224","50","144","7","24","6.6058082570710219","1","-17.831642198562623","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","256","50","144","7","24","6.797007889043682","1","-18.398841412862144","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","288","50","144","7","24","6.9658751399712635","1","-18.89670794804891","true"
"L19_SEED_1","MARGIN_CALIBRATION_V1","320","50","144","7","24","7.1173910296005136","1","-19.340974394480387","true"
"L19_SEED_1","MARGIN_DEVELOPMENT_V1","0","7","144","0","24","3.4304919984423075","1","-0.6268337488174438","true"
