"objective","priority","finite","seed2_strict","pooled_token_nonworse","pooled_sequence_nonworse","control_nonworse","first_error_median_nonworse","supported_seeds","stable_supported_seeds","no_case_collapse","gate_pass","loso_collapse_free","loso_mean_token_delta","pass"
"MARGIN_DEFICIT_MEAN_D0","0","true","false","false","false","false","true","0","0","false","false","false","-59","false"
"MARGIN_DEFICIT_MEAN_D025","1","true","false","false","false","false","true","0","0","false","false","false","-59","false"
"MARGIN_DEFICIT_MEAN_D05","2","true","false","false","false","false","true","0","0","false","false","false","-59","false"
"LOWER_TAIL_MARGIN_Q10","3","true","false","false","false","false","true","0","0","false","false","false","-59","false"
"LOWER_TAIL_MARGIN_Q20","4","true","false","false","false","false","true","0","0","false","false","false","-59","false"
"SOFT_WORST_MARGIN_T025","5","true","false","false","false","false","true","0","0","false","false","false","-59","false"
"SOFT_WORST_MARGIN_T05","6","true","false","false","false","false","true","0","0","false","false","false","-59","false"
"SOFT_WORST_MARGIN_T1","7","true","false","false","false","false","true","0","0","false","false","false","-59","false"
"SEQUENCE_SURVIVAL_NLL_T025","8","true","false","false","false","false","true","0","0","false","false","false","-59","false"
"SEQUENCE_SURVIVAL_NLL_T05","9","true","false","false","false","false","true","0","0","false","false","false","-59","false"
"SEQUENCE_SURVIVAL_NLL_T1","10","true","false","false","false","false","true","0","0","false","false","false","-59","false"
"FIRST_ERROR_HAZARD_INV_POSITION","11","true","false","false","false","false","true","0","0","false","false","false","-59","false"
