"configuration_id","objective","spearman_objective_vs_development_token_exact","spearman_objective_vs_development_sequence_exact","spearman_objective_vs_development_first_error_survival","spearman_objective_vs_calibration_token_exact","selection_regret_token_exact","selection_regret_sequence_exact","near_tie_step_count","delta_token_exact_vs_final","delta_sequence_exact_vs_final"
"L19_SEED_1","MARGIN_DEFICIT_MEAN_D0","0.82982721290626704","0.92694491695951986","0","0.89880166040115694","51","9","1","-43","-8"
"L19_SEED_1","MARGIN_DEFICIT_MEAN_D025","0.82982721290626704","0.92694491695951986","0","0.89880166040115694","51","9","1","-43","-8"
"L19_SEED_1","MARGIN_DEFICIT_MEAN_D05","0.82982721290626704","0.92694491695951986","0","0.89880166040115694","51","9","1","-43","-8"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","0.83280862804245726","0.90890706992679415","0","0.9182002573882323","51","9","1","-43","-8"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q20","0.83280862804245726","0.90890706992679415","0","0.9182002573882323","51","9","1","-43","-8"
"L19_SEED_1","SOFT_WORST_MARGIN_T025","0.83380243308785396","0.92694491695951986","0","0.89333026125095627","51","9","1","-43","-8"
"L19_SEED_1","SOFT_WORST_MARGIN_T05","0.83380243308785396","0.92694491695951986","0","0.89333026125095627","51","9","1","-43","-8"
"L19_SEED_1","SOFT_WORST_MARGIN_T1","0.83231172551975885","0.92694491695951986","0","0.90178605993763006","51","9","1","-43","-8"
"L19_SEED_1","SEQUENCE_SURVIVAL_NLL_T025","0.82982721290626704","0.92694491695951986","0","0.89880166040115694","51","9","1","-43","-8"
"L19_SEED_1","SEQUENCE_SURVIVAL_NLL_T05","0.82982721290626704","0.92694491695951986","0","0.89880166040115694","51","9","1","-43","-8"
"L19_SEED_1","SEQUENCE_SURVIVAL_NLL_T1","0.82982721290626704","0.92694491695951986","0","0.89880166040115694","51","9","1","-43","-8"
"L19_SEED_1","FIRST_ERROR_HAZARD_INV_POSITION","0.82982721290626704","0.92694491695951986","0","0.90377565962861217","51","9","1","-43","-8"
"L19_SEED_2","MARGIN_DEFICIT_MEAN_D0","0.87831930448561624","0.93488480109910077","0.67171661327984866","0.87756382423835388","50","9","1","-50","-9"
"L19_SEED_2","MARGIN_DEFICIT_MEAN_D025","0.87831930448561624","0.93488480109910077","0.67171661327984866","0.87756382423835388","50","9","1","-50","-9"
"L19_SEED_2","MARGIN_DEFICIT_MEAN_D05","0.87831930448561624","0.93488480109910077","0.67171661327984866","0.87756382423835388","50","9","1","-50","-9"
"L19_SEED_2","LOWER_TAIL_MARGIN_Q10","0.89616326326749107","0.95094294046312178","0.67171661327984866","0.88708621867612014","50","9","1","-50","-9"
"L19_SEED_2","LOWER_TAIL_MARGIN_Q20","0.89715459431092848","0.95094294046312178","0.67171661327984866","0.88558268271226237","50","9","1","-50","-9"
"L19_SEED_2","SOFT_WORST_MARGIN_T025","0.89715459431092848","0.93388116738884941","0.67171661327984866","0.94021115606576355","50","9","1","-50","-9"
"L19_SEED_2","SOFT_WORST_MARGIN_T05","0.89765025983264723","0.94492113820161383","0.67171661327984866","0.93970997741114426","50","9","1","-50","-9"
"L19_SEED_2","SOFT_WORST_MARGIN_T1","0.89814592535436599","0.95545929215925274","0.67171661327984866","0.93319465490109366","50","9","1","-50","-9"
"L19_SEED_2","SEQUENCE_SURVIVAL_NLL_T025","0.87831930448561624","0.93488480109910077","0.67171661327984866","0.87756382423835388","50","9","1","-50","-9"
"L19_SEED_2","SEQUENCE_SURVIVAL_NLL_T05","0.87831930448561624","0.93488480109910077","0.67171661327984866","0.87756382423835388","50","9","1","-50","-9"
"L19_SEED_2","SEQUENCE_SURVIVAL_NLL_T1","0.87831930448561624","0.93488480109910077","0.67171661327984866","0.87756382423835388","50","9","1","-50","-9"
"L19_SEED_2","FIRST_ERROR_HAZARD_INV_POSITION","0.87881497000733499","0.95094294046312178","0.67171661327984866","0.88307678943916601","50","9","1","-50","-9"
"L19_SEED_4","MARGIN_DEFICIT_MEAN_D0","0.90567196865472888","0.86118736239755511","0.064282434653322507","0.92798951404869146","84","12","1","-84","-12"
"L19_SEED_4","MARGIN_DEFICIT_MEAN_D025","0.90567196865472888","0.86118736239755511","0.064282434653322507","0.92798951404869146","84","12","1","-84","-12"
"L19_SEED_4","MARGIN_DEFICIT_MEAN_D05","0.90567196865472888","0.85708402773455306","0.064282434653322507","0.92254530889960573","84","12","1","-84","-12"
"L19_SEED_4","LOWER_TAIL_MARGIN_Q10","0.93835340656135113","0.88580737037556734","0.09642365197998376","0.9651090946106391","84","12","1","-84","-12"
"L19_SEED_4","LOWER_TAIL_MARGIN_Q20","0.94726652599042993","0.89401403970157145","0.09642365197998376","0.96857358879642086","84","12","1","-84","-12"
"L19_SEED_4","SOFT_WORST_MARGIN_T025","0.89774919582888102","0.8381061049181685","0.09642365197998376","0.93095908049364728","84","12","1","-84","-12"
"L19_SEED_4","SOFT_WORST_MARGIN_T05","0.901710582241805","0.84323527324692116","0.09642365197998376","0.9364032856427329","84","12","1","-84","-12"
"L19_SEED_4","SOFT_WORST_MARGIN_T1","0.9106237016708838","0.85144194257292516","0.09642365197998376","0.94135256305099257","84","12","1","-84","-12"
"L19_SEED_4","SEQUENCE_SURVIVAL_NLL_T025","0.90567196865472888","0.86118736239755511","0.064282434653322507","0.92798951404869146","84","12","1","-84","-12"
"L19_SEED_4","SEQUENCE_SURVIVAL_NLL_T05","0.90567196865472888","0.86118736239755511","0.064282434653322507","0.92798951404869146","84","12","1","-84","-12"
"L19_SEED_4","SEQUENCE_SURVIVAL_NLL_T1","0.901710582241805","0.852980693071551","0.064282434653322507","0.92551487534456156","84","12","1","-84","-12"
"L19_SEED_4","FIRST_ERROR_HAZARD_INV_POSITION","0.92201268760804","0.87657486738381274","0.064282434653322507","0.94729169594090423","84","12","1","-84","-12"
"L18_SEED_2_CONTROL","MARGIN_DEFICIT_MEAN_D0","0.83106667560292624","0.84876133163552214","0.74044023948712312","0.80257914980808809","52","9","1","-49","-9"
"L18_SEED_2_CONTROL","MARGIN_DEFICIT_MEAN_D025","0.83106667560292624","0.84876133163552214","0.74044023948712312","0.80257914980808809","52","9","1","-49","-9"
"L18_SEED_2_CONTROL","MARGIN_DEFICIT_MEAN_D05","0.83106667560292624","0.84876133163552214","0.74044023948712312","0.80257914980808809","52","9","1","-49","-9"
