configuration_id,scope,metric,value
L19_SEED_1,head,dev_tf_token_exact,106
L19_SEED_1,head,dev_fr_token_exact,50
L19_SEED_1,head,dev_fr_sequence_exact,8
L19_SEED_1,head,dev_fr_nll,7.279392431
L19_SEED_1,head_input_tap,tap_name,b18_AFTER_FFN
L19_SEED_1,embedding_tap,dev_tf_token_exact,144
L19_SEED_1,max_drop_block,block,2
L19_SEED_1,max_drop_block,drop_tokens,9
L19_SEED_1,clone_parity,pass,true
L19_SEED_1,clone_parity,max_logit_delta,4.75475705031e-07
L19_SEED_1,clone_parity,argmax_flips,0
L19_SEED_1,clone_parity,exact_mismatch,0
L19_SEED_2,head,dev_tf_token_exact,99
L19_SEED_2,head,dev_fr_token_exact,65
L19_SEED_2,head,dev_fr_sequence_exact,9
L19_SEED_2,head,dev_fr_nll,4.527180691
L19_SEED_2,head_input_tap,tap_name,b18_AFTER_FFN
L19_SEED_2,embedding_tap,dev_tf_token_exact,144
L19_SEED_2,max_drop_block,block,1
L19_SEED_2,max_drop_block,drop_tokens,14
L19_SEED_2,clone_parity,pass,true
L19_SEED_2,clone_parity,max_logit_delta,9.07812527373e-07
L19_SEED_2,clone_parity,argmax_flips,0
L19_SEED_2,clone_parity,exact_mismatch,0
L19_SEED_4,head,dev_tf_token_exact,116
L19_SEED_4,head,dev_fr_token_exact,86
L19_SEED_4,head,dev_fr_sequence_exact,12
L19_SEED_4,head,dev_fr_nll,4.574116312
L19_SEED_4,head_input_tap,tap_name,b18_AFTER_FFN
L19_SEED_4,embedding_tap,dev_tf_token_exact,144
L19_SEED_4,max_drop_block,block,0
L19_SEED_4,max_drop_block,drop_tokens,9
L19_SEED_4,clone_parity,pass,true
L19_SEED_4,clone_parity,max_logit_delta,5.16857255661e-07
L19_SEED_4,clone_parity,argmax_flips,0
L19_SEED_4,clone_parity,exact_mismatch,0
L18_SEED_2_CONTROL,head,dev_tf_token_exact,110
L18_SEED_2_CONTROL,head,dev_fr_token_exact,60
L18_SEED_2_CONTROL,head,dev_fr_sequence_exact,9
L18_SEED_2_CONTROL,head,dev_fr_nll,5.604138777
L18_SEED_2_CONTROL,head_input_tap,tap_name,b17_AFTER_FFN
L18_SEED_2_CONTROL,embedding_tap,dev_tf_token_exact,144
L18_SEED_2_CONTROL,max_drop_block,block,2
L18_SEED_2_CONTROL,max_drop_block,drop_tokens,19
L18_SEED_2_CONTROL,clone_parity,pass,true
L18_SEED_2_CONTROL,clone_parity,max_logit_delta,7.46395851792e-07
L18_SEED_2_CONTROL,clone_parity,argmax_flips,0
L18_SEED_2_CONTROL,clone_parity,exact_mismatch,0
