configuration_id,src_tap,dst_tap,finite,fit_rank,cond,rel_residual_ls,rel_residual_orth,native_dev_tf_exact,transfer_dev_tf_exact,aligned_ls_dev_tf_exact,aligned_orth_dev_tf_exact,recovery_ls,recovery_orth,residual_loss_ls,residual_loss_orth,verdict
L19_SEED_1,EMBEDDING,b00_AFTER_ATTN,true,13,inf,0.0313072,0.32776,142,133,113,118,0,0,20,15,INFORMATION_LOSS
L19_SEED_1,b00_AFTER_ATTN,b00_AFTER_FFN,true,16,47032.8,0.0037128,0.563975,141,142,29,105,0,0,113,37,INFORMATION_LOSS
L19_SEED_1,b00_AFTER_FFN,b01_AFTER_ATTN,true,16,264706,0.0125945,0.160163,140,141,92,139,0,0,49,2,INFORMATION_LOSS
L19_SEED_1,b01_AFTER_ATTN,b01_AFTER_FFN,true,16,75534.6,0.013051,0.35963,140,133,88,126,0,0,45,7,INFORMATION_LOSS
L19_SEED_1,b01_AFTER_FFN,b02_AFTER_ATTN,true,16,212742,0.00890613,0.131624,132,116,124,132,0,0,-8,-16,MIXED
L19_SEED_1,b02_AFTER_ATTN,b02_AFTER_FFN,true,16,88326,0.0113534,0.315767,131,129,59,122,0,0,70,7,INFORMATION_LOSS
L19_SEED_1,b02_AFTER_FFN,b03_AFTER_ATTN,true,16,362172,0.00721359,0.0806042,125,122,112,123,0,0,10,-1,INFORMATION_LOSS
L19_SEED_1,b03_AFTER_ATTN,b03_AFTER_FFN,true,16,141373,0.00755712,0.227454,124,123,93,119,0,0,30,4,INFORMATION_LOSS
L19_SEED_1,b03_AFTER_FFN,b04_AFTER_ATTN,true,16,195656,0.00863156,0.140102,120,119,98,118,0,0,21,1,INFORMATION_LOSS
L19_SEED_1,b04_AFTER_ATTN,b04_AFTER_FFN,true,16,116395,0.00501171,0.241735,119,121,88,121,0,1,33,0,INFORMATION_LOSS
L19_SEED_1,b04_AFTER_FFN,b05_AFTER_ATTN,true,16,159422,0.00522997,0.0571746,120,113,121,114,0,0,-8,-1,MIXED
L19_SEED_1,b05_AFTER_ATTN,b05_AFTER_FFN,true,16,177073,0.00377384,0.184507,119,124,94,125,0,1,30,-1,INFORMATION_LOSS
L19_SEED_1,b05_AFTER_FFN,b06_AFTER_ATTN,true,16,221319,0.00464574,0.0701217,118,118,111,119,0,0,7,-1,INFORMATION_LOSS
L19_SEED_1,b06_AFTER_ATTN,b06_AFTER_FFN,true,16,253105,0.00315322,0.199037,118,118,78,116,0,0,40,2,INFORMATION_LOSS
