configuration_id,tap_id,tap_name,dim,eta2_dev,effective_rank_train,between_within_dev,mean_pairwise_cosine_dev,cond_train
L19_SEED_1,0,EMBEDDING,16,1,5.5745,0,0.0872268,inf
L19_SEED_1,1,b00_NORM1,16,1,5.94407,0,0.0685542,inf
L19_SEED_1,2,b00_ATT_UPDATE,16,0.746901,1.51843,2.95102,0.20424,4.13269e+07
L19_SEED_1,3,b00_AFTER_ATTN,16,0.947659,4.39886,18.1054,0.0852769,2.10729e+06
L19_SEED_1,4,b00_NORM2,16,0.960305,5.76832,24.1921,0.074754,2.54285e+15
L19_SEED_1,5,b00_FFN_UPDATE,16,0.975509,2.67023,39.8314,0.173214,1.40012e+07
L19_SEED_1,6,b00_AFTER_FFN,16,0.967034,3.70244,29.3345,0.0576739,714112
L19_SEED_1,7,b01_NORM1,16,0.967612,4.3178,29.8753,0.047333,2.11924e+15
L19_SEED_1,8,b01_CTX,16,0.701406,3.04964,2.34903,0.114188,105876
L19_SEED_1,9,b01_ATT_UPDATE,16,0.752547,2.62282,3.04117,0.0688902,1.47989e+07
L19_SEED_1,10,b01_AFTER_ATTN,16,0.946089,3.86522,17.5492,0.0658044,65906
L19_SEED_1,11,b01_NORM2,16,0.944823,4.5857,17.1235,0.0624749,2.51113e+15
L19_SEED_1,12,b01_FFN_UPDATE,16,0.970023,3.45969,32.3585,0.203005,6.61483e+06
L19_SEED_1,13,b01_AFTER_FFN,16,0.95855,3.99895,23.1254,0.0881821,299370
L19_SEED_1,14,b01_RELU,32,0.671055,5.86155,2.04002,0.359414,inf
L19_SEED_1,15,b02_NORM1,16,0.958001,4.00234,22.8102,0.079284,4.20532e+15
L19_SEED_1,16,b02_ATT_UPDATE,16,0.519514,1.5147,1.08123,0.409421,1.25407e+08
L19_SEED_1,17,b02_AFTER_ATTN,16,0.92716,4.07442,12.7288,0.109266,168655
L19_SEED_1,18,b02_NORM2,16,0.929282,4.32552,13.1406,0.102572,3.85552e+15
L19_SEED_1,19,b02_FFN_UPDATE,16,0.961477,3.25789,24.9586,0.173089,515985
L19_SEED_1,20,b02_AFTER_FFN,16,0.944336,3.95924,16.965,0.0757089,361271
L19_SEED_1,21,b03_NORM1,16,0.945041,4.00974,17.1953,0.058043,3.52488e+15
L19_SEED_1,22,b03_ATT_UPDATE,16,0.666327,2.00337,1.99695,0.176212,1.13496e+08
L19_SEED_1,23,b03_AFTER_ATTN,16,0.929383,4.02029,13.161,0.0781544,151016
L19_SEED_1,24,b03_NORM2,16,0.931675,4.09247,13.636,0.0556122,2.25073e+15
L19_SEED_1,25,b03_FFN_UPDATE,16,0.955296,2.45668,21.3692,0.1384,4.30469e+06
L19_SEED_1,26,b03_AFTER_FFN,16,0.940188,3.71692,15.7191,0.0708568,257126
L19_SEED_1,27,b04_NORM1,16,0.93859,3.79362,15.2839,0.0414671,6.33782e+15
L19_SEED_1,28,b04_CTX,16,0.696733,1.24598,2.29743,0.0411767,900909
L19_SEED_1,29,b04_ATT_UPDATE,16,0.724333,1.09285,2.62756,0.0189324,3.99636e+09
L19_SEED_1,30,b04_AFTER_ATTN,16,0.915614,3.64567,10.8502,0.0677243,414305
L19_SEED_1,31,b04_NORM2,16,0.915247,3.84073,10.799,0.0491303,3.26515e+15
L19_SEED_1,32,b04_FFN_UPDATE,16,0.949526,2.20986,18.8122,0.164039,3.83083e+06
L19_SEED_1,33,b04_AFTER_FFN,16,0.927414,3.44061,12.7767,0.0791567,1.01345e+06
L19_SEED_1,34,b04_RELU,32,0.661028,5.34806,1.9501,0.375473,inf
L19_SEED_1,35,b05_NORM1,16,0.926963,3.6006,12.6916,0.039401,3.53424e+15
L19_SEED_1,36,b05_ATT_UPDATE,16,0.484916,1.81664,0.941429,0.101495,1.63336e+11
L19_SEED_1,37,b05_AFTER_ATTN,16,0.915177,3.55054,10.7892,0.0833392,1.48233e+06
L19_SEED_1,38,b05_NORM2,16,0.919236,3.61355,11.3817,0.0504169,8.39842e+15
L19_SEED_1,39,b05_FFN_UPDATE,16,0.960447,2.15372,24.2824,0.206579,1.95875e+07
L19_SEED_1,40,b05_AFTER_FFN,16,0.927365,3.34868,12.7675,0.086387,1.53587e+06
L19_SEED_1,41,b06_NORM1,16,0.926087,3.49312,12.5293,0.0417494,2.76006e+15
L19_SEED_1,42,b06_ATT_UPDATE,16,0.508333,1.47701,1.0339,0.0656018,4.59698e+10
L19_SEED_1,43,b06_AFTER_ATTN,16,0.90825,3.44659,9.8992,0.0892827,1.26755e+06
L19_SEED_1,44,b06_NORM2,16,0.912536,3.5857,10.4333,0.0509031,3.5676e+15
L19_SEED_1,45,b06_FFN_UPDATE,16,0.958087,2.50164,22.859,0.237902,1.05819e+07
L19_SEED_1,46,b06_AFTER_FFN,16,0.920251,3.3384,11.5393,0.10292,874983
L19_SEED_1,47,b07_NORM1,16,0.915991,3.53115,10.9035,0.0478675,3.56792e+15
L19_SEED_1,48,b07_ATT_UPDATE,16,0.583604,1.81301,1.40156,0.0265209,2.03402e+09
L19_SEED_1,49,b07_AFTER_ATTN,16,0.905357,3.41375,9.56598,0.102207,330454
L19_SEED_1,50,b07_NORM2,16,0.904902,3.57059,9.5155,0.0532365,4.37921e+15
L19_SEED_1,51,b07_FFN_UPDATE,16,0.916866,2.95023,11.0288,0.15752,1.04226e+06
L19_SEED_1,52,b07_AFTER_FFN,16,0.909017,3.32647,9.99105,0.101265,322682
L19_SEED_1,53,b08_NORM1,16,0.909724,3.54482,10.0772,0.0543286,3.06321e+15
L19_SEED_1,54,b08_CTX,16,0.615059,2.40551,1.5978,0.120463,390281
L19_SEED_1,55,b08_ATT_UPDATE,16,0.619566,1.98075,1.62858,0.0909097,3.32989e+09
L19_SEED_1,56,b08_AFTER_ATTN,16,0.898459,3.39009,8.84823,0.101363,210536
L19_SEED_1,57,b08_NORM2,16,0.903797,3.47072,9.39471,0.0630472,3.22375e+15
L19_SEED_1,58,b08_FFN_UPDATE,16,0.925428,1.72627,12.4099,0.240129,5.04799e+06
L19_SEED_1,59,b08_AFTER_FFN,16,0.902764,3.20114,9.28427,0.117404,473762
L19_SEED_1,60,b08_RELU,32,0.662081,3.90345,1.95929,0.397152,inf
L19_SEED_1,61,b09_NORM1,16,0.901048,3.60176,9.10593,0.0676516,2.4386e+15
L19_SEED_1,62,b09_ATT_UPDATE,16,0.560958,1.99949,1.27769,0.105674,9.23362e+07
L19_SEED_1,63,b09_AFTER_ATTN,16,0.891569,3.31066,8.22249,0.118719,497811
L19_SEED_1,64,b09_NORM2,16,0.894562,3.58355,8.48427,0.0780754,4.37029e+15
L19_SEED_1,65,b09_FFN_UPDATE,16,0.928571,2.62085,13,0.299647,833382
L19_SEED_1,66,b09_AFTER_FFN,16,0.898105,3.32463,8.81398,0.125843,457994
L19_SEED_1,67,b10_NORM1,16,0.896172,3.57297,8.63135,0.0725784,2.33938e+15
L19_SEED_1,68,b10_ATT_UPDATE,16,0.494314,1.47279,0.977511,0.0628723,9.64628e+08
L19_SEED_1,69,b10_AFTER_ATTN,16,0.881646,3.4352,7.44922,0.128647,525674
L19_SEED_1,70,b10_NORM2,16,0.887188,3.54294,7.86431,0.078896,2.86768e+15
L19_SEED_1,71,b10_FFN_UPDATE,16,0.949926,2.4312,18.9705,0.173048,1.91294e+06
L19_SEED_1,72,b10_AFTER_FFN,16,0.891823,3.38388,8.24409,0.130596,748359
L19_SEED_1,73,b11_NORM1,16,0.891904,3.51932,8.25102,0.0792121,5.58747e+15
L19_SEED_1,74,b11_ATT_UPDATE,16,0.59418,1.9605,1.46415,0.129614,2.71114e+07
L19_SEED_1,75,b11_AFTER_ATTN,16,0.873722,3.45197,6.91901,0.132074,605990
L19_SEED_1,76,b11_NORM2,16,0.878066,3.56898,7.20116,0.101312,5.88168e+15
L19_SEED_1,77,b11_FFN_UPDATE,16,0.9395,2.27787,15.5289,0.320539,2.01004e+06
L19_SEED_1,78,b11_AFTER_FFN,16,0.883029,3.36199,7.54911,0.147824,417374
L19_SEED_1,79,b12_NORM1,16,0.882209,3.56249,7.48965,0.088049,1.60987e+15
L19_SEED_1,80,b12_CTX,16,0.629212,2.94381,1.69696,0.144213,1.33115e+06
L19_SEED_1,81,b12_ATT_UPDATE,16,0.581244,1.87595,1.38802,0.159968,5.07905e+07
L19_SEED_1,82,b12_AFTER_ATTN,16,0.875103,3.45149,7.00658,0.151063,375814
L19_SEED_1,83,b12_NORM2,16,0.876748,3.54985,7.11349,0.0928213,3.09133e+15
L19_SEED_1,84,b12_FFN_UPDATE,16,0.921305,2.25549,11.7072,0.198027,962041
L19_SEED_1,85,b12_AFTER_FFN,16,0.881036,3.35333,7.40591,0.15046,803901
L19_SEED_1,86,b12_RELU,32,0.667678,4.67973,2.00913,0.386023,inf
L19_SEED_1,87,b13_NORM1,16,0.879684,3.59302,7.31142,0.0816223,5.04545e+15
L19_SEED_1,88,b13_ATT_UPDATE,16,0.384948,1.34715,0.625878,0.0953579,8.54644e+09
L19_SEED_1,89,b13_AFTER_ATTN,16,0.86859,3.42473,6.60975,0.149815,1.07106e+06
L19_SEED_1,90,b13_NORM2,16,0.872256,3.57789,6.82813,0.0957755,4.80291e+15
L19_SEED_1,91,b13_FFN_UPDATE,16,0.938103,2.21791,15.1558,0.246236,2.74874e+06
L19_SEED_1,92,b13_AFTER_FFN,16,0.875336,3.39811,7.02157,0.157696,737087
L19_SEED_1,93,b14_NORM1,16,0.871477,3.5894,6.78068,0.0919524,2.49918e+15
L19_SEED_1,94,b14_ATT_UPDATE,16,0.288329,1.03,0.405144,0.115024,1.44924e+10
L19_SEED_1,95,b14_AFTER_ATTN,16,0.847032,3.51598,5.53731,0.158933,740118
L19_SEED_1,96,b14_NORM2,16,0.85205,3.63053,5.75905,0.101845,4.67547e+15
L19_SEED_1,97,b14_FFN_UPDATE,16,0.866811,2.0996,6.50813,0.361211,1.07645e+06
L19_SEED_1,98,b14_AFTER_FFN,16,0.849195,3.45364,5.6311,0.164757,1.03423e+06
L19_SEED_1,99,b15_NORM1,16,0.851899,3.62191,5.75217,0.10161,2.80133e+15
L19_SEED_1,100,b15_ATT_UPDATE,16,0.346892,1.25675,0.531139,0.234873,1.54377e+09
L19_SEED_1,101,b15_AFTER_ATTN,16,0.834738,3.4861,5.05099,0.171519,1.34235e+06
L19_SEED_1,102,b15_NORM2,16,0.840565,3.68969,5.27214,0.108718,3.11979e+15
L19_SEED_1,103,b15_FFN_UPDATE,16,0.896533,1.9622,8.6649,0.393758,2.84937e+06
L19_SEED_1,104,b15_AFTER_FFN,16,0.838457,3.51251,5.19032,0.179553,1.54858e+06
L19_SEED_1,105,b16_NORM1,16,0.840187,3.65096,5.25732,0.113502,2.33001e+15
L19_SEED_1,106,b16_CTX,16,0.407967,1.47225,0.689094,0.160157,7.3552e+06
L19_SEED_1,107,b16_ATT_UPDATE,16,0.313621,1.14064,0.456921,0.126054,4.76385e+09
L19_SEED_1,108,b16_AFTER_ATTN,16,0.814323,3.54976,4.3857,0.180711,1.20941e+06
L19_SEED_1,109,b16_NORM2,16,0.832745,3.56767,4.97889,0.123242,2.04211e+15
L19_SEED_1,110,b16_FFN_UPDATE,16,0.907323,2.0393,9.79018,0.312445,1.74333e+06
L19_SEED_1,111,b16_AFTER_FFN,16,0.822719,3.48461,4.64078,0.18489,1.04894e+06
L19_SEED_1,112,b16_RELU,32,0.619139,4.47737,1.62563,0.404822,inf
L19_SEED_1,113,b17_NORM1,16,0.831654,3.58634,4.94015,0.114988,1.37424e+15
L19_SEED_1,114,b17_ATT_UPDATE,16,0.272466,1.0335,0.374506,0.091668,8.5357e+09
L19_SEED_1,115,b17_AFTER_ATTN,16,0.789851,3.45344,3.75854,0.183208,922561
L19_SEED_1,116,b17_NORM2,16,0.81605,3.53927,4.43625,0.11982,4.94874e+15
L19_SEED_1,117,b17_FFN_UPDATE,16,0.870182,2.09318,6.7031,0.352402,1.13585e+06
L19_SEED_1,118,b17_AFTER_FFN,16,0.794246,3.41825,3.86018,0.189347,926269
L19_SEED_1,119,b18_NORM1,16,0.80648,3.60477,4.16742,0.133603,1.92744e+15
L19_SEED_1,120,b18_CTX,16,0.361244,1.31834,0.565544,0.141598,1.0387e+07
L19_SEED_1,121,b18_ATT_UPDATE,16,0.321097,1.05853,0.472965,0.127907,3.10397e+09
L19_SEED_1,122,b18_AFTER_ATTN,16,0.771881,3.40479,3.38367,0.187658,810133
L19_SEED_1,123,b18_NORM2,16,0.793624,3.55439,3.84553,0.134704,6.12658e+15
L19_SEED_1,124,b18_FFN_UPDATE,16,0.751921,2.5775,3.03098,0.471439,692236
L19_SEED_1,125,b18_AFTER_FFN,16,0.771542,3.3957,3.37718,0.196422,981440
L19_SEED_2,0,EMBEDDING,16,1,6.52147,0,0.0833658,inf
L19_SEED_2,1,b00_NORM1,16,1,6.65195,0,0.051985,inf
L19_SEED_2,2,b00_ATT_UPDATE,16,0.832543,2.16816,4.97168,0.242441,9.74619e+07
L19_SEED_2,3,b00_AFTER_ATTN,16,0.97756,5.39398,43.5623,0.111251,44464.6
L19_SEED_2,4,b00_NORM2,16,0.978995,5.78998,46.6081,0.0603881,2.69895e+15
L19_SEED_2,5,b00_FFN_UPDATE,16,0.994631,3.21769,185.267,0.0912539,1.91438e+06
L19_SEED_2,6,b00_AFTER_FFN,16,0.990482,4.27983,104.065,0.0530679,338597
L19_SEED_2,7,b01_NORM1,16,0.989493,4.81903,94.1764,0.0430361,1.80972e+15
L19_SEED_2,8,b01_CTX,16,0.780137,3.05307,3.54828,0.211023,1.65735e+06
L19_SEED_2,9,b01_ATT_UPDATE,16,0.753993,2.39593,3.06493,0.239819,4.58247e+07
L19_SEED_2,10,b01_AFTER_ATTN,16,0.980247,4.22232,49.6248,0.0521997,140705
L19_SEED_2,11,b01_NORM2,16,0.976793,4.80813,42.0903,0.043476,3.19797e+15
L19_SEED_2,12,b01_FFN_UPDATE,16,0.991395,3.19628,115.216,0.12974,1.34259e+06
L19_SEED_2,13,b01_AFTER_FFN,16,0.987603,3.67259,79.6632,0.0569999,532418
L19_SEED_2,14,b01_RELU,32,0.723721,6.89241,2.61953,0.329468,inf
L19_SEED_2,15,b02_NORM1,16,0.98139,4.34647,52.7356,0.0479198,4.41786e+15
L19_SEED_2,16,b02_ATT_UPDATE,16,0.745644,1.87823,2.93149,0.130828,4.95781e+06
L19_SEED_2,17,b02_AFTER_ATTN,16,0.978596,3.90791,45.7209,0.057622,275132
L19_SEED_2,18,b02_NORM2,16,0.972613,4.33412,35.5138,0.0544645,6.98912e+15
L19_SEED_2,19,b02_FFN_UPDATE,16,0.990202,1.71432,101.062,0.0454929,4.35323e+06
L19_SEED_2,20,b02_AFTER_FFN,16,0.98509,2.89647,66.0697,0.0318745,377734
L19_SEED_2,21,b03_NORM1,16,0.977793,3.94533,44.0303,0.0236209,5.3522e+15
L19_SEED_2,22,b03_ATT_UPDATE,16,0.715332,2.09426,2.51287,0.0425221,5.6968e+06
L19_SEED_2,23,b03_AFTER_ATTN,16,0.976162,3.07321,40.9491,0.0312396,241983
L19_SEED_2,24,b03_NORM2,16,0.967759,4.07591,30.0169,0.0254052,3.49695e+15
L19_SEED_2,25,b03_FFN_UPDATE,16,0.983287,2.29967,58.8352,0.0988873,1.66652e+06
L19_SEED_2,26,b03_AFTER_FFN,16,0.979939,2.83884,48.849,0.0291127,626851
L19_SEED_2,27,b04_NORM1,16,0.970376,4.00762,32.7569,0.0234222,2.08876e+15
L19_SEED_2,28,b04_CTX,16,0.603287,2.2193,1.52072,0.0770831,267719
L19_SEED_2,29,b04_ATT_UPDATE,16,0.550958,1.83056,1.22696,0.0911817,8.91963e+06
L19_SEED_2,30,b04_AFTER_ATTN,16,0.971029,2.96727,33.517,0.0284196,289509
L19_SEED_2,31,b04_NORM2,16,0.960479,4.02503,24.303,0.0248048,4.79634e+15
L19_SEED_2,32,b04_FFN_UPDATE,16,0.977628,2.92089,43.6992,0.0523361,1.56172e+06
L19_SEED_2,33,b04_AFTER_FFN,16,0.974105,2.91956,37.6179,0.0178904,879243
L19_SEED_2,34,b04_RELU,32,0.71054,5.03181,2.45471,0.323438,inf
L19_SEED_2,35,b05_NORM1,16,0.966744,3.81112,29.0699,0.0176054,1.7789e+15
L19_SEED_2,36,b05_ATT_UPDATE,16,0.578843,1.67805,1.37441,0.0713643,7.87586e+07
L19_SEED_2,37,b05_AFTER_ATTN,16,0.959346,3.15572,23.5977,0.0211806,304304
L19_SEED_2,38,b05_NORM2,16,0.952157,3.85483,19.9017,0.0189834,2.6018e+15
L19_SEED_2,39,b05_FFN_UPDATE,16,0.961166,3.34601,24.7507,0.102958,1.46607e+06
