configuration_id,tap_id,tap_name,step,token_exact,token_total,sequence_exact,sequence_total,nll,median_first_error_survival,lower_tail_margin_q10,all_finite
L19_SEED_1,13,b01_AFTER_FFN,320,126,144,21,24,1.032677957,5,-7.15725,true
L19_SEED_1,20,b02_AFTER_FFN,320,105,144,17,24,1.844087266,5,-9.68636,true
L19_SEED_1,123,b18_NORM2,320,49,144,1,24,3.368856821,1,-8.47178,true
L19_SEED_2,6,b00_AFTER_FFN,320,127,144,20,24,1.223991839,5,-10.0217,true
L19_SEED_2,13,b01_AFTER_FFN,320,87,144,11,24,2.984897914,4,-13.1708,true
L19_SEED_2,123,b18_NORM2,320,40,144,2,24,3.228684766,2,-6.93988,true
L19_SEED_4,0,EMBEDDING,320,144,144,24,24,0.1030180051,5,0.693267,true
L19_SEED_4,6,b00_AFTER_FFN,320,112,144,17,24,1.3533395,5,-9.10479,true
L19_SEED_4,123,b18_NORM2,320,45,144,6,24,3.952432226,2,-10.9665,true
L18_SEED_2_CONTROL,13,b01_AFTER_FFN,320,115,144,19,24,1.681176455,5,-10.9331,true
L18_SEED_2_CONTROL,20,b02_AFTER_FFN,320,75,144,8,24,3.297412171,3,-11.9051,true
L18_SEED_2_CONTROL,117,b17_NORM2,320,47,144,4,24,3.087892876,2,-7.42385,true
