configuration_id,block,dataset,residual_norm,attn_update_norm,attn_ratio,cos_attn,after_attn_norm,ffn_update_norm,ffn_ratio,cos_ffn,after_ffn_norm,attn_overwrite,ffn_overwrite
L19_SEED_1,0,MARGIN_DEVELOPMENT_V1,0.505459,0.244733,0.48418,0.0678286,0.591451,0.744168,1.25821,0.440106,1.15286,false,false
L19_SEED_1,1,MARGIN_DEVELOPMENT_V1,1.15286,0.277681,0.240863,0.295305,1.27369,0.809822,0.635806,0.663457,1.92337,false,false
L19_SEED_1,2,MARGIN_DEVELOPMENT_V1,1.92337,0.38626,0.200825,0.214757,2.05854,1.02859,0.499667,0.660347,2.85988,false,false
L19_SEED_1,3,MARGIN_DEVELOPMENT_V1,2.85988,0.316732,0.11075,0.359418,2.99837,0.955688,0.318735,0.702942,3.74629,false,false
L19_SEED_1,4,MARGIN_DEVELOPMENT_V1,3.74629,0.660214,0.176231,0.375851,4.08276,1.39255,0.341082,0.765757,5.2416,false,false
L19_SEED_1,5,MARGIN_DEVELOPMENT_V1,5.2416,0.394157,0.0751979,0.288359,5.37426,1.30293,0.24244,0.760873,6.43815,false,false
L19_SEED_1,6,MARGIN_DEVELOPMENT_V1,6.43815,0.465442,0.0722944,0.399009,6.67359,1.67763,0.251384,0.818781,8.13756,false,false
L19_SEED_1,7,MARGIN_DEVELOPMENT_V1,8.13756,0.553395,0.068005,0.364186,8.38252,1.47059,0.175436,0.839082,9.65834,false,false
L19_SEED_1,8,MARGIN_DEVELOPMENT_V1,9.65834,0.554212,0.0573817,0.419795,9.91479,1.62003,0.163395,0.830216,11.3208,false,false
L19_SEED_1,9,MARGIN_DEVELOPMENT_V1,11.3208,0.574691,0.0507642,0.40941,11.581,1.87118,0.161574,0.765741,13.1018,false,false
L19_SEED_1,10,MARGIN_DEVELOPMENT_V1,13.1018,0.90792,0.0692973,0.386013,13.514,1.65474,0.122446,0.825446,14.9219,false,false
L19_SEED_1,11,MARGIN_DEVELOPMENT_V1,14.9219,1.13071,0.075775,0.505842,15.5688,2.12235,0.136321,0.84526,17.4097,false,false
L19_SEED_1,12,MARGIN_DEVELOPMENT_V1,17.4097,0.784545,0.0450637,0.52292,17.8414,1.8985,0.10641,0.818804,19.4693,false,false
L19_SEED_1,13,MARGIN_DEVELOPMENT_V1,19.4693,0.744395,0.0382343,0.476175,19.8431,1.96175,0.098863,0.850948,21.545,false,false
L19_SEED_1,14,MARGIN_DEVELOPMENT_V1,21.545,1.59391,0.0739801,0.360095,22.2221,1.75381,0.0789217,0.741055,23.5916,false,false
L19_SEED_1,15,MARGIN_DEVELOPMENT_V1,23.5916,1.05634,0.0447762,0.538357,24.199,1.63756,0.0676705,0.767601,25.4926,false,false
L19_SEED_1,16,MARGIN_DEVELOPMENT_V1,25.4926,1.6342,0.0641048,0.473545,26.3497,2.10916,0.0800451,0.807943,28.0994,false,false
L19_SEED_1,17,MARGIN_DEVELOPMENT_V1,28.0994,2.01826,0.0718256,0.459631,29.1593,1.43528,0.0492221,0.781484,30.3217,false,false
L19_SEED_1,18,MARGIN_DEVELOPMENT_V1,30.3217,1.66515,0.054916,0.424409,31.1121,1.33597,0.0429406,0.784774,32.1721,false,false
L19_SEED_2,0,MARGIN_DEVELOPMENT_V1,0.513342,0.230503,0.449024,0.22406,0.609879,0.692696,1.13579,0.422434,1.11579,false,false
L19_SEED_2,1,MARGIN_DEVELOPMENT_V1,1.11579,0.246355,0.22079,0.290091,1.21075,0.836406,0.690817,0.607838,1.86322,false,false
