configuration_id,tap_id,tap_name,kind,block,dim,selected_step,finite,train_tf_token_exact,cal_tf_token_exact,dev_tf_token_exact,dev_tf_mean_rank,dev_tf_mean_nll,dev_tf_mean_margin,dev_tf_margin_q10,dev_tf_top2,dev_tf_top3
L19_SEED_1,0,EMBEDDING,EMBEDDING,,16,2000,true,28,144,144,1,0.103090078079,6.1122573207,0.693249605507,144,144
L19_SEED_1,1,b00_NORM1,NORM1,0,16,2000,true,28,144,144,1,0.103068441793,6.18493974781,0.693266836045,144,144
L19_SEED_1,2,b00_ATT_UPDATE,ATT_UPDATE,0,16,100,true,32,56,60,3.01388888889,1.46044614719,-0.0592355142866,-3.7307744688,110,121
L19_SEED_1,3,b00_AFTER_ATTN,AFTER_ATTN,0,16,150,true,28,142,142,1.09722222222,0.249304364559,2.95702533869,0.132061162842,142,142
L19_SEED_1,4,b00_NORM2,NORM2,0,16,125,true,28,142,142,1.0625,0.217100530432,3.08939339267,0.199799844494,142,142
L19_SEED_1,5,b00_FFN_UPDATE,FFN_UPDATE,0,16,275,true,28,136,135,1.08333333333,0.286904641361,2.44000266136,-0.681270111987,141,144
L19_SEED_1,6,b00_AFTER_FFN,AFTER_FFN,0,16,200,true,28,140,141,1.03472222222,0.231866699278,2.59689679651,0.139972614738,142,144
L19_SEED_1,7,b01_NORM1,NORM1,1,16,175,true,28,139,140,1.04861111111,0.239274129408,2.64302963845,-0.12957684554,141,144
L19_SEED_1,8,b01_CTX,CTX,1,16,75,true,32,65,66,2.90972222222,1.52031117827,-0.0848353732198,-4.76911775446,113,123
L19_SEED_1,9,b01_ATT_UPDATE,ATT_UPDATE,1,16,75,true,31,67,62,2.78472222222,1.59476480498,-0.350175729852,-4.78106406268,108,120
L19_SEED_1,10,b01_AFTER_ATTN,AFTER_ATTN,1,16,150,true,28,139,140,1.04861111111,0.317533386548,2.29847079728,-0.488081693758,141,144
L19_SEED_1,11,b01_NORM2,NORM2,1,16,125,true,29,128,132,1.11111111111,0.320612195041,2.23454771782,-0.682672439703,140,144
L19_SEED_1,12,b01_FFN_UPDATE,FFN_UPDATE,1,16,200,true,29,130,127,1.13194444444,0.353933764086,1.88711450597,-1.0937149054,142,144
L19_SEED_1,13,b01_AFTER_FFN,AFTER_FFN,1,16,175,true,28,138,140,1.0625,0.314247225723,2.28060520702,-0.578771845364,140,143
L19_SEED_1,14,b01_RELU,RELU,1,32,25,true,20,23,23,5.125,2.08540086975,-1.18337062677,-5.93305680074,111,119
