configuration_id,src_tap,dst_tap,pair_kind,variant,src_probe_dev_tf_exact,transfer_dev_tf_exact,delta_vs_src,dst_probe_dev_tf_exact,delta_vs_dst
L19_SEED_1,EMBEDDING,b00_AFTER_ATTN,coarse,norm,144,133,-11,142,-9
L19_SEED_1,EMBEDDING,b00_AFTER_ATTN,coarse,raw,144,133,-11,142,-9
L19_SEED_1,b00_AFTER_ATTN,b00_AFTER_FFN,coarse,norm,142,142,0,141,1
L19_SEED_1,b00_AFTER_ATTN,b00_AFTER_FFN,coarse,raw,142,128,-14,141,-13
L19_SEED_1,b00_AFTER_FFN,b01_NORM1,fine,raw,141,141,0,140,1
L19_SEED_1,b00_AFTER_FFN,b01_AFTER_ATTN,coarse,norm,141,141,0,140,1
L19_SEED_1,b00_AFTER_FFN,b01_AFTER_ATTN,coarse,raw,141,141,0,140,1
L19_SEED_1,b01_NORM1,b01_ATT_UPDATE,fine,raw,140,12,-128,62,-50
L19_SEED_1,b01_ATT_UPDATE,b01_AFTER_ATTN,fine,raw,62,43,-19,140,-97
L19_SEED_1,b01_AFTER_ATTN,b01_NORM2,fine,raw,140,125,-15,132,-7
L19_SEED_1,b01_AFTER_ATTN,b01_AFTER_FFN,coarse,norm,140,133,-7,140,-7
L19_SEED_1,b01_AFTER_ATTN,b01_AFTER_FFN,coarse,raw,140,127,-13,140,-13
L19_SEED_1,b01_NORM2,b01_FFN_UPDATE,fine,raw,132,18,-114,127,-109
L19_SEED_1,b01_FFN_UPDATE,b01_AFTER_FFN,fine,raw,127,89,-38,140,-51
L19_SEED_1,b01_AFTER_FFN,b02_AFTER_ATTN,coarse,norm,140,116,-24,132,-16
L19_SEED_1,b01_AFTER_FFN,b02_AFTER_ATTN,coarse,raw,140,125,-15,132,-7
L19_SEED_1,b02_AFTER_ATTN,b02_AFTER_FFN,coarse,norm,132,129,-3,131,-2
L19_SEED_1,b02_AFTER_ATTN,b02_AFTER_FFN,coarse,raw,132,128,-4,131,-3
L19_SEED_1,b02_AFTER_FFN,b03_AFTER_ATTN,coarse,norm,131,122,-9,125,-3
L19_SEED_1,b02_AFTER_FFN,b03_AFTER_ATTN,coarse,raw,131,124,-7,125,-1
L19_SEED_1,b03_AFTER_ATTN,b03_AFTER_FFN,coarse,norm,125,123,-2,124,-1
L19_SEED_1,b03_AFTER_ATTN,b03_AFTER_FFN,coarse,raw,125,122,-3,124,-2
L19_SEED_1,b03_AFTER_FFN,b04_NORM1,fine,raw,124,122,-2,122,0
L19_SEED_1,b03_AFTER_FFN,b04_AFTER_ATTN,coarse,norm,124,119,-5,120,-1
L19_SEED_1,b03_AFTER_FFN,b04_AFTER_ATTN,coarse,raw,124,109,-15,120,-11
L19_SEED_1,b04_NORM1,b04_ATT_UPDATE,fine,raw,122,19,-103,53,-34
L19_SEED_1,b04_ATT_UPDATE,b04_AFTER_ATTN,fine,raw,53,1,-52,120,-119
L19_SEED_1,b04_AFTER_ATTN,b04_NORM2,fine,raw,120,122,2,123,-1
L19_SEED_1,b04_AFTER_ATTN,b04_AFTER_FFN,coarse,norm,120,121,1,119,2
L19_SEED_1,b04_AFTER_ATTN,b04_AFTER_FFN,coarse,raw,120,121,1,119,2
L19_SEED_1,b04_NORM2,b04_FFN_UPDATE,fine,raw,123,21,-102,120,-99
L19_SEED_1,b04_FFN_UPDATE,b04_AFTER_FFN,fine,raw,120,80,-40,119,-39
L19_SEED_1,b04_AFTER_FFN,b05_AFTER_ATTN,coarse,norm,119,113,-6,120,-7
L19_SEED_1,b04_AFTER_FFN,b05_AFTER_ATTN,coarse,raw,119,117,-2,120,-3
L19_SEED_1,b05_AFTER_ATTN,b05_AFTER_FFN,coarse,norm,120,124,4,119,5
L19_SEED_1,b05_AFTER_ATTN,b05_AFTER_FFN,coarse,raw,120,120,0,119,1
L19_SEED_1,b05_AFTER_FFN,b06_AFTER_ATTN,coarse,norm,119,118,-1,118,0
L19_SEED_1,b05_AFTER_FFN,b06_AFTER_ATTN,coarse,raw,119,119,0,118,1
L19_SEED_1,b06_AFTER_ATTN,b06_AFTER_FFN,coarse,norm,118,118,0,118,0
L19_SEED_1,b06_AFTER_ATTN,b06_AFTER_FFN,coarse,raw,118,115,-3,118,-3
L19_SEED_1,b06_AFTER_FFN,b07_AFTER_ATTN,coarse,norm,118,117,-1,118,-1
L19_SEED_1,b06_AFTER_FFN,b07_AFTER_ATTN,coarse,raw,118,118,0,118,0
L19_SEED_1,b07_AFTER_ATTN,b07_AFTER_FFN,coarse,norm,118,117,-1,116,1
L19_SEED_1,b07_AFTER_ATTN,b07_AFTER_FFN,coarse,raw,118,115,-3,116,-1
L19_SEED_1,b07_AFTER_FFN,b08_NORM1,fine,raw,116,80,-36,116,-36
L19_SEED_1,b07_AFTER_FFN,b08_AFTER_ATTN,coarse,norm,116,115,-1,110,5
L19_SEED_1,b07_AFTER_FFN,b08_AFTER_ATTN,coarse,raw,116,115,-1,110,5
L19_SEED_1,b08_NORM1,b08_ATT_UPDATE,fine,raw,116,16,-100,30,-14
L19_SEED_1,b08_ATT_UPDATE,b08_AFTER_ATTN,fine,raw,30,37,7,110,-73
L19_SEED_1,b08_AFTER_ATTN,b08_NORM2,fine,raw,110,92,-18,121,-29
L19_SEED_1,b08_AFTER_ATTN,b08_AFTER_FFN,coarse,norm,110,111,1,111,0
L19_SEED_1,b08_AFTER_ATTN,b08_AFTER_FFN,coarse,raw,110,107,-3,111,-4
L19_SEED_1,b08_NORM2,b08_FFN_UPDATE,fine,raw,121,55,-66,112,-57
L19_SEED_1,b08_FFN_UPDATE,b08_AFTER_FFN,fine,raw,112,54,-58,111,-57
L19_SEED_1,b08_AFTER_FFN,b09_AFTER_ATTN,coarse,norm,111,106,-5,107,-1
L19_SEED_1,b08_AFTER_FFN,b09_AFTER_ATTN,coarse,raw,111,105,-6,107,-2
L19_SEED_1,b09_AFTER_ATTN,b09_AFTER_FFN,coarse,norm,107,105,-2,107,-2
L19_SEED_1,b09_AFTER_ATTN,b09_AFTER_FFN,coarse,raw,107,102,-5,107,-5
L19_SEED_1,b09_AFTER_FFN,b10_AFTER_ATTN,coarse,norm,107,106,-1,104,2
L19_SEED_1,b09_AFTER_FFN,b10_AFTER_ATTN,coarse,raw,107,105,-2,104,1
L19_SEED_1,b10_AFTER_ATTN,b10_AFTER_FFN,coarse,norm,104,105,1,106,-1
L19_SEED_1,b10_AFTER_ATTN,b10_AFTER_FFN,coarse,raw,104,105,1,106,-1
L19_SEED_1,b10_AFTER_FFN,b11_AFTER_ATTN,coarse,norm,106,109,3,104,5
L19_SEED_1,b10_AFTER_FFN,b11_AFTER_ATTN,coarse,raw,106,109,3,104,5
L19_SEED_1,b11_AFTER_ATTN,b11_AFTER_FFN,coarse,norm,104,94,-10,105,-11
L19_SEED_1,b11_AFTER_ATTN,b11_AFTER_FFN,coarse,raw,104,101,-3,105,-4
L19_SEED_1,b11_AFTER_FFN,b12_NORM1,fine,raw,105,30,-75,101,-71
L19_SEED_1,b11_AFTER_FFN,b12_AFTER_ATTN,coarse,norm,105,102,-3,107,-5
L19_SEED_1,b11_AFTER_FFN,b12_AFTER_ATTN,coarse,raw,105,101,-4,107,-6
L19_SEED_1,b12_NORM1,b12_ATT_UPDATE,fine,raw,101,21,-80,37,-16
L19_SEED_1,b12_ATT_UPDATE,b12_AFTER_ATTN,fine,raw,37,51,14,107,-56
L19_SEED_1,b12_AFTER_ATTN,b12_NORM2,fine,raw,107,28,-79,93,-65
L19_SEED_1,b12_AFTER_ATTN,b12_AFTER_FFN,coarse,norm,107,100,-7,104,-4
