configuration_id,layer,partition,max_logit_diff,mean_logit_diff,rms_logit_diff,argmax_flips,token_exact_diff
L19_SEED_1,9,TRAIN,2.44599956023e-05,2.51973666672e-06,4.14384824914e-06,0,0
L19_SEED_1,9,CALIBRATION,3.20132324001e-05,2.36430006577e-06,4.10791921346e-06,0,0
L19_SEED_1,9,DEVELOPMENT,3.45532296624e-05,2.6242132505e-06,4.42278035046e-06,0,0
L19_SEED_2,7,TRAIN,1.6102802689e-05,2.1844172366e-06,3.60312383672e-06,0,0
L19_SEED_2,7,CALIBRATION,1.84804169745e-05,2.37268921129e-06,3.79373054014e-06,0,0
L19_SEED_2,7,DEVELOPMENT,2.24921371057e-05,2.37026434517e-06,3.87230212105e-06,0,0
L19_SEED_4,12,TRAIN,3.47527854423e-05,2.85239092706e-06,5.12334931714e-06,0,0
L19_SEED_4,12,CALIBRATION,3.8116585106e-05,2.94571660589e-06,5.45105204813e-06,0,0
L19_SEED_4,12,DEVELOPMENT,3.9368322593e-05,2.94846396598e-06,5.49160052907e-06,0,0
L18_SEED_2_CONTROL,6,TRAIN,1.45350016716e-05,1.70549578397e-06,2.77063847564e-06,0,0
L18_SEED_2_CONTROL,6,CALIBRATION,1.45350016716e-05,1.54865812483e-06,2.5725613597e-06,0,0
L18_SEED_2_CONTROL,6,DEVELOPMENT,1.45350016716e-05,1.47067222457e-06,2.45705977834e-06,0,0
