configuration_id,layer,partition,from_scratch_exact,transport_exact,warm_start_exact,transport_argmax_flips
L19_SEED_1,9,TRAIN,16,22,22,0
L19_SEED_1,9,CALIBRATION,7,26,26,0
L19_SEED_1,9,DEVELOPMENT,6,24,24,0
L19_SEED_2,7,TRAIN,24,30,30,0
L19_SEED_2,7,CALIBRATION,26,39,39,0
L19_SEED_2,7,DEVELOPMENT,24,37,37,0
L19_SEED_4,12,TRAIN,29,32,32,0
L19_SEED_4,12,CALIBRATION,57,60,60,0
L19_SEED_4,12,DEVELOPMENT,47,57,57,0
L18_SEED_2_CONTROL,6,TRAIN,31,31,31,0
L18_SEED_2_CONTROL,6,CALIBRATION,65,69,69,0
L18_SEED_2_CONTROL,6,DEVELOPMENT,64,68,68,0
