configuration_id,layer,partition,context_token_exact,from_scratch_token_exact,transport_token_exact,warm_start_token_exact,max_logit_diff,mean_logit_diff,rms_logit_diff,argmax_flips,token_exact_diff
L19_SEED_1,9,TRAIN,22,16,22,22,1.46454578387e-06,1.14422284393e-07,1.86429988406e-07,0,0
L19_SEED_1,9,CALIBRATION,26,7,26,26,1.28628287793e-06,8.53803997442e-08,1.35329331895e-07,0,0
L19_SEED_1,9,DEVELOPMENT,24,6,24,24,1.36966153146e-06,9.01148458062e-08,1.43677301445e-07,0,0
L19_SEED_2,7,TRAIN,30,24,30,30,1.90651145326e-06,1.59242875397e-07,3.03811634473e-07,0,0
L19_SEED_2,7,CALIBRATION,39,26,39,39,2.19743907959e-06,1.49724042082e-07,2.73222977225e-07,0,0
L19_SEED_2,7,DEVELOPMENT,37,24,37,37,1.91771038027e-06,1.43216738475e-07,2.59626157615e-07,0,0
L19_SEED_4,12,TRAIN,32,29,32,32,3.69442417536e-06,2.16642383785e-07,4.12173518857e-07,0,0
L19_SEED_4,12,CALIBRATION,60,57,60,60,3.24345553437e-06,2.14896704521e-07,3.73932073841e-07,0,0
L19_SEED_4,12,DEVELOPMENT,57,47,57,57,3.0246865963e-06,2.30554893514e-07,3.96476077622e-07,0,0
L18_SEED_2_CONTROL,6,TRAIN,31,31,31,31,1.37342680118e-06,8.85207870058e-08,1.60959026451e-07,0,0
L18_SEED_2_CONTROL,6,CALIBRATION,69,65,69,69,1.20879659971e-06,7.99714923392e-08,1.36617924642e-07,0,0
L18_SEED_2_CONTROL,6,DEVELOPMENT,68,64,68,68,8.22284617064e-07,7.50344174514e-08,1.23016227497e-07,0,0
