configuration_id,layer,sigma_min,sigma_max,condition_double,condition_float,math_rank,float_rank,effective_rank,participation_ratio,frobenius_norm,spectral_norm,determinant_sign,log_abs_determinant
L19_SEED_1,1,0.0110550934588,0.581798842181,52.6272,52.6272,16,16,12.1272,6.95644,1.21242947473,0.581798842181,1,-28.9091556488
L19_SEED_1,4,0.00364762527531,0.62208196924,170.544,170.544,16,16,12.1774,6.773,1.19159800529,0.62208196924,1,-29.9941431964
L19_SEED_1,7,0.00540976245834,0.668126055664,123.504,123.504,16,16,12.5446,6.92699,1.29806792382,0.668126055664,-1,-27.2697556128
L19_SEED_1,8,0.00137388775427,0.629141916719,457.928,457.928,16,16,12.5635,7.17741,1.27160342061,0.629141916719,1,-28.8399020951
L19_SEED_1,9,0.010266125923,0.670663076966,65.3278,65.3278,16,16,11.8446,6.36693,1.25095324629,0.670663076966,1,-29.3956481292
L19_SEED_1,11,0.0312237870488,0.710145775197,22.7437,22.7437,16,16,12.4311,6.8133,1.38010950022,0.710145775197,1,-25.5929728292
L19_SEED_1,12,0.0572224018048,0.756797915695,13.2256,13.2256,16,16,12.6646,5.92097,1.31874812328,0.756797915695,1,-25.2531788956
L19_SEED_1,13,0.00932643917252,0.832979587546,89.3138,89.3138,16,16,11.4293,4.73202,1.3337367489,0.832979587546,1,-29.4270132116
L19_SEED_1,14,0.0131764651108,1.03769055689,78.7533,78.7533,16,16,11.7359,3.62158,1.47825777949,1.03769055689,-1,-26.5405243142
L19_SEED_1,15,0.00548474997116,0.707874882936,129.062,129.062,16,16,12.657,7.21217,1.40626883198,0.707874882936,1,-25.7841648909
L19_SEED_1,16,0.00972793107849,0.890138198512,91.5033,91.5033,16,16,12.1348,5.00114,1.43667665413,0.890138198512,1,-26.2468158926
L19_SEED_1,17,0.0188715013883,1.00063459654,53.0236,53.0236,16,16,11.8724,3.91684,1.45899654502,1.00063459654,-1,-26.4668582616
L19_SEED_1,18,0.0178903021649,0.939249373209,52.5005,52.5005,16,16,11.9129,4.53142,1.44834454042,0.939249373209,1,-26.3079751898
L19_SEED_2,1,0.0279507257959,0.59295961261,21.2145,21.2145,16,16,12.7201,7.44326,1.23491578693,0.59295961261,1,-26.4719886272
L19_SEED_2,4,0.0140494439112,0.532936068697,37.9329,37.9329,16,16,12.714,7.9777,1.21223959377,0.532936068697,1,-27.2491339526
L19_SEED_2,7,0.017578609255,0.698040223922,39.7096,39.7096,16,16,12.6087,6.3628,1.27865049233,0.698040223922,-1,-26.4401212791
