configuration_id,block,tap,canonical_dev_exact,canonical_drop
L19_SEED_1,11,NORM1,29,
L19_SEED_1,11,AFTER_ATTN,34,0
L19_SEED_1,12,NORM1,37,
L19_SEED_1,12,AFTER_ATTN,32,5
L19_SEED_1,13,NORM1,35,
L19_SEED_1,13,AFTER_ATTN,27,8
L19_SEED_1,14,NORM1,25,
L19_SEED_1,14,AFTER_ATTN,32,0
L19_SEED_1,15,NORM1,16,
L19_SEED_1,15,AFTER_ATTN,51,0
L19_SEED_1,16,NORM1,21,
L19_SEED_1,16,AFTER_ATTN,41,0
L19_SEED_1,17,NORM1,24,
L19_SEED_1,17,AFTER_ATTN,37,0
L19_SEED_1,18,NORM1,41,
L19_SEED_1,18,AFTER_ATTN,44,0
L19_SEED_2,11,NORM1,57,
L19_SEED_2,11,AFTER_ATTN,47,10
L19_SEED_2,12,NORM1,55,
L19_SEED_2,12,AFTER_ATTN,54,1
L19_SEED_2,13,NORM1,38,
L19_SEED_2,13,AFTER_ATTN,42,0
L19_SEED_2,14,NORM1,50,
L19_SEED_2,14,AFTER_ATTN,43,7
L19_SEED_2,15,NORM1,47,
L19_SEED_2,15,AFTER_ATTN,39,8
L19_SEED_2,16,NORM1,55,
L19_SEED_2,16,AFTER_ATTN,60,0
L19_SEED_2,17,NORM1,54,
L19_SEED_2,17,AFTER_ATTN,65,0
L19_SEED_2,18,NORM1,56,
L19_SEED_2,18,AFTER_ATTN,49,7
L19_SEED_4,11,NORM1,51,
L19_SEED_4,11,AFTER_ATTN,48,3
L19_SEED_4,12,NORM1,49,
L19_SEED_4,12,AFTER_ATTN,50,0
L19_SEED_4,13,NORM1,60,
L19_SEED_4,13,AFTER_ATTN,36,24
L19_SEED_4,14,NORM1,65,
L19_SEED_4,14,AFTER_ATTN,31,34
L19_SEED_4,15,NORM1,63,
L19_SEED_4,15,AFTER_ATTN,36,27
L19_SEED_4,16,NORM1,57,
L19_SEED_4,16,AFTER_ATTN,37,20
L19_SEED_4,17,NORM1,58,
L19_SEED_4,17,AFTER_ATTN,55,3
L19_SEED_4,18,NORM1,59,
L19_SEED_4,18,AFTER_ATTN,47,12
L18_SEED_2_CONTROL,10,NORM1,32,
L18_SEED_2_CONTROL,10,AFTER_ATTN,35,0
L18_SEED_2_CONTROL,11,NORM1,41,
L18_SEED_2_CONTROL,11,AFTER_ATTN,45,0
L18_SEED_2_CONTROL,12,NORM1,51,
L18_SEED_2_CONTROL,12,AFTER_ATTN,45,6
L18_SEED_2_CONTROL,13,NORM1,66,
L18_SEED_2_CONTROL,13,AFTER_ATTN,48,18
L18_SEED_2_CONTROL,14,NORM1,61,
L18_SEED_2_CONTROL,14,AFTER_ATTN,27,34
L18_SEED_2_CONTROL,15,NORM1,62,
L18_SEED_2_CONTROL,15,AFTER_ATTN,38,24
L18_SEED_2_CONTROL,16,NORM1,56,
L18_SEED_2_CONTROL,16,AFTER_ATTN,42,14
L18_SEED_2_CONTROL,17,NORM1,64,
L18_SEED_2_CONTROL,17,AFTER_ATTN,58,6
L19_SEED_1,9,CTX_CONCAT,16,
L19_SEED_1,9,ATT_UPDATE,16,0
L19_SEED_2,7,CTX_CONCAT,32,
L19_SEED_2,7,ATT_UPDATE,32,0
L19_SEED_4,12,CTX_CONCAT,52,
L19_SEED_4,12,ATT_UPDATE,52,0
L18_SEED_2_CONTROL,6,CTX_CONCAT,30,
L18_SEED_2_CONTROL,6,ATT_UPDATE,30,0
