configuration_id,rep_index,rep_name,legacy_dev_exact,canonical_gd_dev_exact,canonical_lbfgs_dev_exact,canonical_lbfgs_train_ce,spearman_rho,legacy_gap,canonical_gap
L19_SEED_1,0,EMBEDDING,144,144,144,0.26890039187,-0.0499867,51,20
L19_SEED_1,1,AFTER_FFN,141,61,61,0.000902050463195,-0.0499867,51,20
L19_SEED_1,2,AFTER_FFN,140,43,43,0.000972651879888,-0.0499867,51,20
L19_SEED_1,3,AFTER_FFN,131,37,36,0.00110203112757,-0.0499867,51,20
L19_SEED_1,4,AFTER_FFN,124,34,34,0.00105123902278,-0.0499867,51,20
L19_SEED_1,5,AFTER_FFN,119,32,32,0.00107918368273,-0.0499867,51,20
L19_SEED_1,6,AFTER_FFN,119,30,31,0.0010431354066,-0.0499867,51,20
L19_SEED_1,7,AFTER_FFN,118,36,36,0.00119504581401,-0.0499867,51,20
L19_SEED_1,8,AFTER_FFN,116,44,44,0.00111537373712,-0.0499867,51,20
L19_SEED_1,9,AFTER_FFN,111,35,35,0.00118572187233,-0.0499867,51,20
L19_SEED_1,10,AFTER_FFN,107,41,40,0.00110860701859,-0.0499867,51,20
L19_SEED_1,11,AFTER_FFN,106,31,31,0.00106629967188,-0.0499867,51,20
L19_SEED_1,12,AFTER_FFN,105,36,31,0.00131100653804,-0.0499867,51,20
L19_SEED_1,13,AFTER_FFN,104,37,36,0.00128465121611,-0.0499867,51,20
L19_SEED_1,14,AFTER_FFN,99,26,26,0.00137732332643,-0.0499867,51,20
L19_SEED_1,15,AFTER_FFN,98,31,38,0.00150153508646,-0.0499867,51,20
L19_SEED_1,16,AFTER_FFN,97,31,31,0.00157726725432,-0.0499867,51,20
L19_SEED_1,17,AFTER_FFN,95,36,36,0.00132064329613,-0.0499867,51,20
L19_SEED_1,18,AFTER_FFN,88,42,42,0.00119245549748,-0.0499867,51,20
L19_SEED_1,19,AFTER_FFN,88,42,49,0.00120243735895,-0.0499867,51,20
L19_SEED_1,20,PRE_LN_FINAL,88,44,44,0.00114255338178,-0.0499867,51,20
L19_SEED_1,21,POST_LN_FINAL,90,40,41,0.00118291676458,-0.0499867,51,20
L19_SEED_2,0,EMBEDDING,144,144,144,0.268900377884,-0.49223,47,0
L19_SEED_2,1,AFTER_FFN,138,50,50,0.000964079092221,-0.49223,47,0
L19_SEED_2,2,AFTER_FFN,124,58,57,0.00116863652725,-0.49223,47,0
L19_SEED_2,3,AFTER_FFN,119,59,55,0.00109597019295,-0.49223,47,0
L19_SEED_2,4,AFTER_FFN,119,64,63,0.00128884014492,-0.49223,47,0
L19_SEED_2,5,AFTER_FFN,106,75,75,0.00113674437693,-0.49223,47,0
L19_SEED_2,6,AFTER_FFN,104,72,71,0.00106689538881,-0.49223,47,0
L19_SEED_2,7,AFTER_FFN,102,73,68,0.00109786030636,-0.49223,47,0
L19_SEED_2,8,AFTER_FFN,99,79,76,0.00102996482332,-0.49223,47,0
L19_SEED_2,9,AFTER_FFN,94,48,47,0.00103323879176,-0.49223,47,0
L19_SEED_2,10,AFTER_FFN,94,48,46,0.00102576618535,-0.49223,47,0
L19_SEED_2,11,AFTER_FFN,102,37,37,0.000981606674382,-0.49223,47,0
L19_SEED_2,12,AFTER_FFN,103,59,59,0.0010650675813,-0.49223,47,0
L19_SEED_2,13,AFTER_FFN,102,57,57,0.00105092571241,-0.49223,47,0
L19_SEED_2,14,AFTER_FFN,98,38,37,0.00113015346053,-0.49223,47,0
L19_SEED_2,15,AFTER_FFN,88,38,44,0.00106887720377,-0.49223,47,0
L19_SEED_2,16,AFTER_FFN,87,56,56,0.00108509298761,-0.49223,47,0
L19_SEED_2,17,AFTER_FFN,86,52,51,0.00114822971346,-0.49223,47,0
L19_SEED_2,18,AFTER_FFN,91,58,58,0.00117453756977,-0.49223,47,0
L19_SEED_2,19,AFTER_FFN,84,43,43,0.00121156012379,-0.49223,47,0
L19_SEED_2,20,PRE_LN_FINAL,84,51,49,0.00122118242686,-0.49223,47,0
L19_SEED_2,21,POST_LN_FINAL,91,50,50,0.00165251908152,-0.49223,47,0
L19_SEED_4,0,EMBEDDING,144,144,144,0.268900393922,0.125566,40,-21
L19_SEED_4,1,AFTER_FFN,135,33,34,0.000938797410732,0.125566,40,-21
L19_SEED_4,2,AFTER_FFN,137,50,49,0.00103255761115,0.125566,40,-21
L19_SEED_4,3,AFTER_FFN,134,39,33,0.0010072312913,0.125566,40,-21
L19_SEED_4,4,AFTER_FFN,127,35,31,0.00106350568025,0.125566,40,-21
L19_SEED_4,5,AFTER_FFN,123,64,64,0.00106754599121,0.125566,40,-21
L19_SEED_4,6,AFTER_FFN,120,26,26,0.00126456792474,0.125566,40,-21
L19_SEED_4,7,AFTER_FFN,121,47,47,0.00109991996448,0.125566,40,-21
L19_SEED_4,8,AFTER_FFN,120,52,51,0.000986937106778,0.125566,40,-21
L19_SEED_4,9,AFTER_FFN,126,41,41,0.00104176650808,0.125566,40,-21
L19_SEED_4,10,AFTER_FFN,119,53,53,0.00127582252546,0.125566,40,-21
L19_SEED_4,11,AFTER_FFN,117,56,57,0.00126859653783,0.125566,40,-21
L19_SEED_4,12,AFTER_FFN,112,44,44,0.00115021425045,0.125566,40,-21
L19_SEED_4,13,AFTER_FFN,110,45,44,0.0012627694651,0.125566,40,-21
L19_SEED_4,14,AFTER_FFN,103,32,32,0.00115771407184,0.125566,40,-21
L19_SEED_4,15,AFTER_FFN,102,39,39,0.00115939423209,0.125566,40,-21
L19_SEED_4,16,AFTER_FFN,102,49,49,0.00113628140532,0.125566,40,-21
L19_SEED_4,17,AFTER_FFN,100,48,48,0.00120275693399,0.125566,40,-21
L19_SEED_4,18,AFTER_FFN,94,45,44,0.00119905255646,0.125566,40,-21
L19_SEED_4,19,AFTER_FFN,92,57,56,0.0012167136152,0.125566,40,-21
L19_SEED_4,20,PRE_LN_FINAL,93,47,47,0.00114158618802,0.125566,40,-21
L19_SEED_4,21,POST_LN_FINAL,95,55,55,0.00122153507275,0.125566,40,-21
L18_SEED_2_CONTROL,0,EMBEDDING,144,144,144,0.26890040542,-0.416369,39,-6
L18_SEED_2_CONTROL,1,AFTER_FFN,134,42,42,0.000904977970317,-0.416369,39,-6
L18_SEED_2_CONTROL,2,AFTER_FFN,137,67,67,0.000955523835058,-0.416369,39,-6
L18_SEED_2_CONTROL,3,AFTER_FFN,118,75,75,0.000993336295109,-0.416369,39,-6
L18_SEED_2_CONTROL,4,AFTER_FFN,117,63,63,0.00105111887092,-0.416369,39,-6
L18_SEED_2_CONTROL,5,AFTER_FFN,103,83,83,0.000951747714091,-0.416369,39,-6
L18_SEED_2_CONTROL,6,AFTER_FFN,102,78,78,0.000949678444153,-0.416369,39,-6
L18_SEED_2_CONTROL,7,AFTER_FFN,96,60,59,0.000959902026537,-0.416369,39,-6
L18_SEED_2_CONTROL,8,AFTER_FFN,92,35,34,0.00126509134901,-0.416369,39,-6
L18_SEED_2_CONTROL,9,AFTER_FFN,91,27,27,0.00103951810184,-0.416369,39,-6
L18_SEED_2_CONTROL,10,AFTER_FFN,91,31,31,0.0010116087758,-0.416369,39,-6
L18_SEED_2_CONTROL,11,AFTER_FFN,97,52,51,0.00116490553424,-0.416369,39,-6
