configuration_id,layer,tap,z_condition,z_lambda_max,z_lambda_min,z_null_count,z_near_null_count,whitened_kept,whitened_max_cov_dev,whitened_max_mean_abs,orth_max_dev,orth_max_residual
L19_SEED_1,9,CTX_CONCAT,574492,8.83404625461,1.53771409179e-05,0,0,16,6.37703778672e-12,5.16253706451e-15,4.8132425115e-08,4.53084898265
L19_SEED_1,9,ATT_UPDATE,9.96438e+07,8.87814021876,8.9098762574e-08,0,3,16,4.81510958536e-08,2.41584530158e-13,4.8132425115e-08,4.53084898265
L19_SEED_2,7,CTX_CONCAT,927132,9.75956259891,1.05266178935e-05,0,0,16,1.757452784e-09,3.41393580072e-15,6.78063871717e-09,5.79571737745
L19_SEED_2,7,ATT_UPDATE,2.49566e+08,10.8978219206,4.36671613807e-08,0,2,16,1.11432898464e-08,9.95176163698e-14,6.78063871717e-09,5.79571737745
L19_SEED_4,12,CTX_CONCAT,529940,8.29719074991,1.56568385387e-05,0,0,16,1.78683734475e-11,1.78745906965e-14,7.7194184378e-10,5.22196296864
L19_SEED_4,12,ATT_UPDATE,1.42413e+08,10.8790905983,7.639120768e-08,0,4,16,4.54782145276e-09,7.31636973228e-14,7.7194184378e-10,5.22196296864
L18_SEED_2_CONTROL,6,CTX_CONCAT,813615,8.77843273943,1.07894152918e-05,0,0,16,2.84261338426e-10,1.87107274119e-14,2.26349383681e-09,4.5654881707
L18_SEED_2_CONTROL,6,ATT_UPDATE,4.21396e+07,7.80171399143,1.8513965457e-07,0,3,16,8.68707550339e-10,3.67483821151e-14,2.26349383681e-09,4.5654881707
L19_SEED_1,1,AFTER_FFN,239288,5.05353210258,2.1119077446e-05,0,0,16,1.07911457548e-11,2.55351295664e-15,,
L19_SEED_1,18,AFTER_FFN,1.04608e+06,6.36238916232,6.08213189775e-06,0,1,16,3.86148890641e-11,1.12132525487e-14,,
L19_SEED_2,1,AFTER_FFN,517319,6.18276929251,1.19515541713e-05,0,0,16,2.27435847933e-11,1.38361544444e-14,,
L19_SEED_2,18,AFTER_FFN,566269,6.92057904778,1.22213729496e-05,0,0,16,2.51094700587e-11,3.83026943496e-15,,
L19_SEED_4,1,AFTER_FFN,386030,5.43519098199,1.40797136619e-05,0,0,16,9.65927338115e-12,3.71924713249e-15,,
L19_SEED_4,18,AFTER_FFN,654002,6.00671323202,9.1845418347e-06,0,0,16,1.70615743755e-11,2.20587437205e-14,,
L18_SEED_2_CONTROL,1,AFTER_FFN,307471,5.69665697122,1.852747749e-05,0,0,16,1.61364255291e-11,2.02615701994e-15,,
L18_SEED_2_CONTROL,16,AFTER_FFN,1.54835e+06,6.51156111497,4.20547575572e-06,0,1,16,7.08346714617e-11,1.16850973342e-14,,
L19_SEED_1,18,POST_LN_FINAL,7.81486e+15,6.32932571146,8.09909266029e-16,1,1,15,1.25172511245e-11,3.28903571045e-15,,
L19_SEED_2,18,POST_LN_FINAL,2.60882e+15,6.80071538956,2.60681587348e-15,1,1,15,4.206524018e-12,4.21884749358e-15,,
L19_SEED_4,18,POST_LN_FINAL,2.01503e+15,5.86662159917,2.91143259466e-15,1,1,15,2.54466586691e-12,2.6575963652e-15,,
L18_SEED_2_CONTROL,17,POST_LN_FINAL,3.74839e+15,6.55092420756,1.74766427889e-15,1,1,15,6.17816908743e-12,9.33975119466e-15,,
L19_SEED_1,11,NORM1,5.885e+15,5.98527669841,1.0170389174e-15,1,1,15,2.73128741846e-12,5.6898930012e-15,,
L19_SEED_1,11,AFTER_ATTN,520028,5.6475533593,1.0860085031e-05,0,0,16,2.02642347347e-11,1.20181642416e-14,,
L19_SEED_1,12,NORM1,1.47695e+15,6.09497599646,4.12673462345e-15,1,1,15,2.01911976722e-11,5.99520433298e-15,,
L19_SEED_1,12,AFTER_ATTN,336150,5.81080091449,1.72863299295e-05,0,0,16,2.29010144182e-11,4.19109191796e-15,,
L19_SEED_1,13,NORM1,5.07273e+15,6.09960473927,1.20243007255e-15,1,2,15,8.25983725861e-12,7.56339435526e-15,,
L19_SEED_1,13,AFTER_ATTN,1.35668e+06,5.77477329838,4.25654244513e-06,0,1,16,2.02448058317e-11,1.73888681232e-14,,
L19_SEED_1,14,NORM1,2.65938e+15,6.11883697867,2.30085182481e-15,1,1,15,3.66227048687e-11,1.12687636999e-14,,
L19_SEED_1,14,AFTER_ATTN,791156,6.00721653567,7.59295679086e-06,0,0,16,4.64766680003e-12,1.0325074129e-14,,
L19_SEED_1,15,NORM1,2.7024e+15,6.11558753302,2.26302038173e-15,1,1,15,1.57640567267e-11,6.20337115009e-15,,
L19_SEED_1,15,AFTER_ATTN,1.37552e+06,6.06639138948,4.41025294899e-06,0,1,16,5.58252717317e-09,1.48492329544e-14,,
L19_SEED_1,16,NORM1,2.53381e+15,6.04938104573,2.38746196695e-15,1,2,15,1.90348396767e-11,8.45157277496e-15,,
L19_SEED_1,16,AFTER_ATTN,1.1986e+06,6.05181230444,5.04905912197e-06,0,1,16,9.00924359074e-09,4.8017145815e-15,,
L19_SEED_1,17,NORM1,1.31819e+15,6.10079661636,4.62816410865e-15,1,1,15,6.9428907068e-12,9.46465128493e-15,,
L19_SEED_1,17,AFTER_ATTN,880755,6.2889938289,7.14045401784e-06,0,0,16,2.126802328e-10,1.57096557984e-14,,
L19_SEED_1,18,NORM1,2.22463e+15,6.24503346981,2.80721935743e-15,1,1,15,1.45071732405e-11,1.43357548055e-14,,
L19_SEED_1,18,AFTER_ATTN,808585,6.36289172145,7.86916830727e-06,0,0,16,2.00376408521e-09,1.75692793647e-14,,
L19_SEED_2,11,NORM1,7.9293e+15,6.47889020264,8.17082186584e-16,1,1,15,2.41273667712e-12,2.86576318231e-15,,
L19_SEED_2,11,AFTER_ATTN,320893,6.79687984528,2.11811351217e-05,0,0,16,7.17509905657e-12,4.28129753871e-15,,
L19_SEED_2,12,NORM1,2.65811e+15,6.46621410193,2.43263603233e-15,1,1,15,4.49618120513e-12,3.96904731303e-15,,
L19_SEED_2,12,AFTER_ATTN,355103,6.8646240769,1.93313561811e-05,0,0,16,2.17995656249e-11,1.21569421196e-14,,
L19_SEED_2,13,NORM1,2.14965e+15,6.4126649351,2.98312033935e-15,1,1,15,2.29558463384e-09,3.80251385934e-15,,
L19_SEED_2,13,AFTER_ATTN,665215,6.85055646878,1.02982536811e-05,0,0,16,1.57691637526e-11,1.49324996812e-14,,
L19_SEED_2,14,NORM1,5.25941e+15,6.47103760051,1.23037274812e-15,1,1,15,2.97032537455e-12,8.99280649946e-15,,
L19_SEED_2,14,AFTER_ATTN,633680,6.68797420136,1.05541882162e-05,0,0,16,1.4398983568e-10,7.07073288808e-15,,
L19_SEED_2,15,NORM1,8.9927e+15,6.577287704,7.31403396525e-16,1,1,15,1.39256020257e-09,2.34257058196e-14,,
L19_SEED_2,15,AFTER_ATTN,422220,6.84298114237,1.62071404965e-05,0,0,16,3.76675509187e-09,2.73392419814e-14,,
L19_SEED_2,16,NORM1,5.6082e+15,6.57961089297,1.17321174199e-15,1,1,15,1.92950655453e-11,3.94129173742e-15,,
