configuration_id,layer,tap,legacy_dev_exact,canonical_gd_dev_exact,canonical_lbfgs_dev_exact,canonical_minus_legacy_dev_exact,canonical_lbfgs_train_ce
L19_SEED_1,9,CTX_CONCAT,24,21,16,-8,0.001082349009
L19_SEED_1,9,ATT_UPDATE,6,21,16,10,0.00108234489596
L19_SEED_2,7,CTX_CONCAT,37,33,32,-5,0.00118182921791
L19_SEED_2,7,ATT_UPDATE,24,33,32,8,0.00118182225924
L19_SEED_4,12,CTX_CONCAT,57,52,52,-5,0.00118570517604
L19_SEED_4,12,ATT_UPDATE,47,52,52,5,0.00118570952826
L18_SEED_2_CONTROL,6,CTX_CONCAT,68,35,30,-38,0.00100422048443
L18_SEED_2_CONTROL,6,ATT_UPDATE,64,35,30,-34,0.00100422128057
L19_SEED_1,1,AFTER_FFN,140,43,43,-97,0.000972651879888
L19_SEED_1,18,AFTER_FFN,88,42,49,-39,0.00120243735895
L19_SEED_2,1,AFTER_FFN,124,58,57,-67,0.00116863652725
L19_SEED_2,18,AFTER_FFN,84,43,43,-41,0.00121156012379
L19_SEED_4,1,AFTER_FFN,137,50,49,-88,0.00103255761115
L19_SEED_4,18,AFTER_FFN,92,57,56,-36,0.0012167136152
L18_SEED_2_CONTROL,1,AFTER_FFN,137,67,67,-70,0.000955523835058
L18_SEED_2_CONTROL,16,AFTER_FFN,81,46,46,-35,0.00103124715207
L19_SEED_1,-1,EMBEDDING,144,144,144,0,0.26890039187
L19_SEED_1,0,AFTER_FFN,141,61,61,-80,0.000902050463195
L19_SEED_1,1,AFTER_FFN,140,43,43,-97,0.000972651879888
L19_SEED_1,2,AFTER_FFN,131,37,36,-95,0.00110203112757
L19_SEED_1,3,AFTER_FFN,124,34,34,-90,0.00105123902278
L19_SEED_1,4,AFTER_FFN,119,32,32,-87,0.00107918368273
L19_SEED_1,5,AFTER_FFN,119,30,31,-88,0.0010431354066
L19_SEED_1,6,AFTER_FFN,118,36,36,-82,0.00119504581401
L19_SEED_1,7,AFTER_FFN,116,44,44,-72,0.00111537373712
L19_SEED_1,8,AFTER_FFN,111,35,35,-76,0.00118572187233
L19_SEED_1,9,AFTER_FFN,107,41,40,-67,0.00110860701859
L19_SEED_1,10,AFTER_FFN,106,31,31,-75,0.00106629967188
L19_SEED_1,11,AFTER_FFN,105,36,31,-74,0.00131100653804
L19_SEED_1,12,AFTER_FFN,104,37,36,-68,0.00128465121611
L19_SEED_1,13,AFTER_FFN,99,26,26,-73,0.00137732332643
L19_SEED_1,14,AFTER_FFN,98,31,38,-60,0.00150153508646
L19_SEED_1,15,AFTER_FFN,97,31,31,-66,0.00157726725432
L19_SEED_1,16,AFTER_FFN,95,36,36,-59,0.00132064329613
L19_SEED_1,17,AFTER_FFN,88,42,42,-46,0.00119245549748
L19_SEED_1,18,AFTER_FFN,88,42,49,-39,0.00120243735895
L19_SEED_1,18,PRE_LN_FINAL,88,44,44,-44,0.00114255338178
L19_SEED_1,18,POST_LN_FINAL,90,40,41,-49,0.00118291676458
L19_SEED_2,-1,EMBEDDING,144,144,144,0,0.268900377884
L19_SEED_2,0,AFTER_FFN,138,50,50,-88,0.000964079092221
L19_SEED_2,1,AFTER_FFN,124,58,57,-67,0.00116863652725
L19_SEED_2,2,AFTER_FFN,119,59,55,-64,0.00109597019295
L19_SEED_2,3,AFTER_FFN,119,64,63,-56,0.00128884014492
L19_SEED_2,4,AFTER_FFN,106,75,75,-31,0.00113674437693
L19_SEED_2,5,AFTER_FFN,104,72,71,-33,0.00106689538881
