configuration_id,checkpoint_step,is_final,head_train_tf_token_exact,head_cal_tf_token_exact,head_dev_tf_token_exact,head_cal_fr_token_exact,head_cal_fr_sequence_exact,head_dev_fr_token_exact,head_dev_fr_sequence_exact,head_dev_fr_nll,head_dev_fr_median_survival,head_dev_fr_margin_q10,head_dev_tf_mean_rank,head_dev_tf_mean_nll
L19_SEED_1,16,false,11,42,40,20,1,16,0,3.14347600477,1,-4.16954696576,7.21527777778,2.85534865399
L19_SEED_1,32,false,15,71,57,42,5,21,1,3.80517757403,1,-8.43433842659,5.58333333333,2.78346624799
L19_SEED_1,320,true,28,105,106,50,7,50,8,7.2793924307,1,-20.6200403214,2.20138888889,1.77110436786
L19_SEED_2,4,false,7,34,31,19,0,20,0,3.20258269564,1,-0.770768994341,6.88194444444,3.15327852405
L19_SEED_2,128,false,20,92,96,59,8,57,8,3.89202476795,1,-12.7629639606,1.65972222222,1.20015172582
L19_SEED_2,320,true,22,92,99,59,8,65,9,4.52718069137,2,-16.7033013602,1.625,1.2717491874
L19_SEED_4,12,false,7,35,30,28,0,21,0,2.94371654901,1,-2.34804199065,6.14583333333,2.73202654761
L19_SEED_4,80,false,25,103,99,75,10,73,9,3.99685484586,2,-14.4296580275,2.20138888889,1.33132673303
L19_SEED_4,320,true,25,120,116,92,11,86,12,4.57411631224,1,-19.5994450013,1.59027777778,1.04015274215
L18_SEED_2_CONTROL,4,false,3,35,36,27,0,29,0,3.21975270738,1,-0.650852739066,6.63194444444,3.15700491527
L18_SEED_2_CONTROL,160,false,23,94,101,49,7,61,9,4.37384647455,2,-13.937146608,1.43055555556,0.773480770953
L18_SEED_2_CONTROL,320,true,25,105,110,54,8,60,9,5.60413877704,2,-17.5321067492,1.34027777778,0.79940230167
