configuration_id,candidate,selected_step,finite,frozen_unchanged,train_ce,train_token_exact,cal_ce,cal_token_exact,dev_tf_token_exact,dev_tf_mean_nll,dev_fr_token_exact,dev_fr_sequence_exact,dev_fr_nll,dev_fr_median_survival,dev_fr_margin_q10,dev_tf320_token_exact,dev_fr320_token_exact,dev_fr320_sequence_exact
L19_SEED_1,A_WARM_START,0,true,true,1.18661705471,28,1.49590568754,105,106,1.77110436786,50,8,7.2793924307,1,-20.6200403214,107,57,9
L19_SEED_1,B_REINIT,20,true,true,0.986082266064,28,1.07073229823,105,103,1.25744387692,44,7,5.59128889091,1,-14.7041024208,103,51,8
L19_SEED_1,C_BIAS_ONLY,0,true,true,1.18661705471,28,1.49590568754,105,106,1.77110436786,50,8,7.2793924307,1,-20.6200403214,108,54,8
L19_SEED_2,A_WARM_START,0,true,true,2.18049556414,22,2.07634431391,92,99,1.2717491874,65,9,4.52718069137,2,-16.7033013602,106,68,9
L19_SEED_2,B_REINIT,28,true,true,1.67916759916,22,1.57298609955,94,101,0.982852233874,66,8,3.13016423067,2,-11.1826692959,98,58,8
L19_SEED_2,C_BIAS_ONLY,320,true,true,1.80076262015,24,1.95117847016,97,106,1.11830174838,69,9,4.57016338346,2,-16.88267686,106,69,9
L19_SEED_4,A_WARM_START,0,true,true,2.00933358079,25,1.30776298408,120,116,1.04015274215,86,12,4.57411631224,1,-19.5994450013,115,85,12
L19_SEED_4,B_REINIT,20,true,true,1.51265826274,24,0.917311850887,121,114,0.777392205767,81,11,3.1862981391,1,-12.5890976906,113,81,11
L19_SEED_4,C_BIAS_ONLY,128,true,true,1.87062586338,25,1.29849376037,119,115,1.02521773426,85,12,4.69196324366,1,-19.5601065321,115,78,12
L18_SEED_2_CONTROL,A_WARM_START,0,true,true,1.68164494835,25,1.4946391442,105,110,0.79940230167,60,9,5.60413877704,2,-17.5321067492,112,66,10
L18_SEED_2_CONTROL,B_REINIT,32,true,true,1.29376393225,25,1.1789894466,96,100,0.685011394294,68,9,3.61543499927,2,-12.4239796877,112,67,10
L18_SEED_2_CONTROL,C_BIAS_ONLY,320,true,true,1.38905597861,26,1.27186811909,116,118,0.610009600107,72,11,4.84430795996,2,-17.2160206191,118,72,11
