configuration_id,checkpoint_step,rep,rep_name,probe_dev_fr_token_exact,head_dev_fr_token_exact,probe_minus_head_fr,probe_dev_tf_token_exact,probe_train_tf_token_exact,probe_cal_fr_token_exact
L19_SEED_1,16,0,L0_EMBEDDED,144,16,128,144,28,144
L19_SEED_1,16,4,L4_BLOCK_OUT,72,16,56,115,29,90
L19_SEED_1,16,8,L8_BLOCK_OUT,45,16,29,79,29,47
L19_SEED_1,16,12,L12_BLOCK_OUT,19,16,3,70,27,28
L19_SEED_1,16,16,L16_BLOCK_OUT,22,16,6,32,22,20
L19_SEED_1,16,19,L19_BLOCK_OUT,9,16,-7,43,13,23
L19_SEED_1,16,20,PRE_LN_FINAL,12,16,-4,31,12,22
L19_SEED_1,16,21,POST_LN_FINAL,12,16,-4,25,14,22
L19_SEED_1,32,0,L0_EMBEDDED,144,21,123,144,28,144
L19_SEED_1,32,4,L4_BLOCK_OUT,73,21,52,116,29,80
L19_SEED_1,32,8,L8_BLOCK_OUT,45,21,24,98,28,59
L19_SEED_1,32,12,L12_BLOCK_OUT,44,21,23,70,29,43
L19_SEED_1,32,16,L16_BLOCK_OUT,45,21,24,76,29,44
L19_SEED_1,32,19,L19_BLOCK_OUT,38,21,17,69,27,31
L19_SEED_1,32,20,PRE_LN_FINAL,38,21,17,68,27,31
L19_SEED_1,32,21,POST_LN_FINAL,34,21,13,66,27,33
L19_SEED_1,320,0,L0_EMBEDDED,144,50,94,144,28,144
L19_SEED_1,320,1,L1_BLOCK_OUT,126,50,76,141,28,130
L19_SEED_1,320,2,L2_BLOCK_OUT,126,50,76,140,28,119
L19_SEED_1,320,3,L3_BLOCK_OUT,105,50,55,131,29,88
L19_SEED_1,320,4,L4_BLOCK_OUT,98,50,48,124,29,88
L19_SEED_1,320,5,L5_BLOCK_OUT,92,50,42,119,29,89
L19_SEED_1,320,6,L6_BLOCK_OUT,98,50,48,119,29,81
L19_SEED_1,320,7,L7_BLOCK_OUT,94,50,44,118,29,89
L19_SEED_1,320,8,L8_BLOCK_OUT,90,50,40,116,29,82
L19_SEED_1,320,9,L9_BLOCK_OUT,76,50,26,111,29,73
L19_SEED_1,320,10,L10_BLOCK_OUT,63,50,13,107,29,61
L19_SEED_1,320,11,L11_BLOCK_OUT,53,50,3,106,29,42
L19_SEED_1,320,12,L12_BLOCK_OUT,50,50,0,105,29,40
L19_SEED_1,320,13,L13_BLOCK_OUT,51,50,1,104,29,36
L19_SEED_1,320,14,L14_BLOCK_OUT,48,50,-2,99,28,38
L19_SEED_1,320,15,L15_BLOCK_OUT,52,50,2,98,28,42
L19_SEED_1,320,16,L16_BLOCK_OUT,61,50,11,97,28,46
L19_SEED_1,320,17,L17_BLOCK_OUT,54,50,4,95,28,46
L19_SEED_1,320,18,L18_BLOCK_OUT,54,50,4,88,28,48
L19_SEED_1,320,19,L19_BLOCK_OUT,52,50,2,88,28,47
L19_SEED_1,320,20,PRE_LN_FINAL,52,50,2,88,28,40
L19_SEED_1,320,21,POST_LN_FINAL,49,50,-1,90,28,43
L19_SEED_2,4,0,L0_EMBEDDED,144,20,124,144,28,144
L19_SEED_2,4,4,L4_BLOCK_OUT,75,20,55,120,31,75
L19_SEED_2,4,8,L8_BLOCK_OUT,52,20,32,93,31,45
L19_SEED_2,4,12,L12_BLOCK_OUT,62,20,42,84,30,45
L19_SEED_2,4,16,L16_BLOCK_OUT,44,20,24,59,29,32
L19_SEED_2,4,19,L19_BLOCK_OUT,41,20,21,52,30,35
L19_SEED_2,4,20,PRE_LN_FINAL,22,20,2,32,23,24
L19_SEED_2,4,21,POST_LN_FINAL,23,20,3,33,23,19
L19_SEED_2,128,0,L0_EMBEDDED,144,57,87,144,28,144
L19_SEED_2,128,4,L4_BLOCK_OUT,69,57,12,118,31,71
L19_SEED_2,128,8,L8_BLOCK_OUT,34,57,-23,90,32,40
L19_SEED_2,128,12,L12_BLOCK_OUT,48,57,-9,88,31,45
L19_SEED_2,128,16,L16_BLOCK_OUT,31,57,-26,82,31,36
L19_SEED_2,128,19,L19_BLOCK_OUT,24,57,-33,69,30,27
L19_SEED_2,128,20,PRE_LN_FINAL,24,57,-33,69,30,27
L19_SEED_2,128,21,POST_LN_FINAL,34,57,-23,83,29,34
L19_SEED_2,320,0,L0_EMBEDDED,144,65,79,144,28,144
L19_SEED_2,320,1,L1_BLOCK_OUT,127,65,62,138,29,131
L19_SEED_2,320,2,L2_BLOCK_OUT,87,65,22,124,31,94
L19_SEED_2,320,3,L3_BLOCK_OUT,71,65,6,119,31,82
L19_SEED_2,320,4,L4_BLOCK_OUT,77,65,12,119,31,76
L19_SEED_2,320,5,L5_BLOCK_OUT,51,65,-14,106,32,60
L19_SEED_2,320,6,L6_BLOCK_OUT,50,65,-15,104,32,50
L19_SEED_2,320,7,L7_BLOCK_OUT,48,65,-17,102,32,43
L19_SEED_2,320,8,L8_BLOCK_OUT,54,65,-11,99,31,53
L19_SEED_2,320,9,L9_BLOCK_OUT,50,65,-15,94,31,49
L19_SEED_2,320,10,L10_BLOCK_OUT,50,65,-15,94,31,49
L19_SEED_2,320,11,L11_BLOCK_OUT,49,65,-16,102,30,65
L19_SEED_2,320,12,L12_BLOCK_OUT,53,65,-12,103,30,61
L19_SEED_2,320,13,L13_BLOCK_OUT,52,65,-13,102,30,65
L19_SEED_2,320,14,L14_BLOCK_OUT,42,65,-23,98,30,56
L19_SEED_2,320,15,L15_BLOCK_OUT,41,65,-24,88,31,33
L19_SEED_2,320,16,L16_BLOCK_OUT,43,65,-22,87,31,33
L19_SEED_2,320,17,L17_BLOCK_OUT,43,65,-22,86,31,32
L19_SEED_2,320,18,L18_BLOCK_OUT,34,65,-31,91,29,41
L19_SEED_2,320,19,L19_BLOCK_OUT,29,65,-36,84,29,43
