configuration_id,checkpoint,step,metric,value,pinned_anchor,match
L19_SEED_1,AR_DEV_SELECTED,16,token_exact,14,14,true
L19_SEED_1,AR_DEV_SELECTED,16,sequence_exact,0,0,true
L19_SEED_1,AR_DEV_FINAL,320,token_exact,30,30,true
L19_SEED_1,AR_DEV_FINAL,320,sequence_exact,2,2,true
L19_SEED_1,AR_DEV_FINAL,320,autoregressive_nll,8.123920324988061,8.12392032498807,true
L19_SEED_2,AR_DEV_SELECTED,4,token_exact,20,20,true
L19_SEED_2,AR_DEV_SELECTED,4,sequence_exact,0,0,true
L19_SEED_2,AR_DEV_FINAL,320,token_exact,63,63,true
L19_SEED_2,AR_DEV_FINAL,320,sequence_exact,6,6,true
L19_SEED_2,AR_DEV_FINAL,320,autoregressive_nll,4.183425261966152,4.183425261966152,true
L19_SEED_4,AR_DEV_SELECTED,12,token_exact,22,22,true
L19_SEED_4,AR_DEV_SELECTED,12,sequence_exact,0,0,true
L19_SEED_4,AR_DEV_FINAL,320,token_exact,46,46,true
L19_SEED_4,AR_DEV_FINAL,320,sequence_exact,6,6,true
L19_SEED_4,AR_DEV_FINAL,320,autoregressive_nll,7.587291744180165,7.587291744180165,true
L18_SEED_2_CONTROL,AR_DEV_SELECTED,4,token_exact,18,18,true
L18_SEED_2_CONTROL,AR_DEV_SELECTED,4,sequence_exact,0,0,true
L18_SEED_2_CONTROL,AR_DEV_FINAL,320,token_exact,65,65,true
L18_SEED_2_CONTROL,AR_DEV_FINAL,320,sequence_exact,8,8,true
L18_SEED_2_CONTROL,AR_DEV_FINAL,320,autoregressive_nll,5.302605205120988,5.302605205120988,true
