"dataset","context_kind","occurrences","unique_contexts","ambiguous_contexts","ambiguous_occurrences"
"TRAIN","CURRENT_TOKEN","32","13","0","0"
"TRAIN","PREVIOUS_2_TOKENS","28","13","0","0"
"AR_VALIDATION_V3","CURRENT_TOKEN","144","13","0","0"
"AR_VALIDATION_V3","PREVIOUS_2_TOKENS","144","13","0","0"
"AR_VALIDATION_V3","MODEL_WINDOW_8","144","100","0","0"
"AR_VALIDATION_V3","FULL_CAUSAL_PREFIX","144","144","0","0"
"AR_DEVELOPMENT_V3","CURRENT_TOKEN","144","13","0","0"
"AR_DEVELOPMENT_V3","PREVIOUS_2_TOKENS","144","13","0","0"
"AR_DEVELOPMENT_V3","MODEL_WINDOW_8","144","100","0","0"
"AR_DEVELOPMENT_V3","FULL_CAUSAL_PREFIX","144","144","0","0"
"MARGIN_CALIBRATION_V1","CURRENT_TOKEN","144","13","0","0"
"MARGIN_CALIBRATION_V1","PREVIOUS_2_TOKENS","144","13","0","0"
"MARGIN_CALIBRATION_V1","MODEL_WINDOW_8","144","73","0","0"
"MARGIN_CALIBRATION_V1","FULL_CAUSAL_PREFIX","144","144","0","0"
"MARGIN_DEVELOPMENT_V1","CURRENT_TOKEN","144","13","0","0"
"MARGIN_DEVELOPMENT_V1","PREVIOUS_2_TOKENS","144","13","0","0"
"MARGIN_DEVELOPMENT_V1","MODEL_WINDOW_8","144","74","0","0"
"MARGIN_DEVELOPMENT_V1","FULL_CAUSAL_PREFIX","144","144","0","0"
