"configuration_id","intervention","free_token_exact","free_token_total","token_delta","sequence_exact","teacher_token_exact","free_nll","train_loss_finite","scored_finite"
"L19_SEED_1","OUTPUT_FREEZE_AFTER_STEP24","31","144","1","3","100","7.6149323071098536","true","true"
"L19_SEED_1","OUTPUT_MOMENTS_RESET_AT_STEP24","32","144","2","3","95","8.1338145646973921","true","true"
"L19_SEED_1","ATTENTION_MOMENTS_RESET_AT_STEP24","30","144","0","1","88","8.2392974060102233","true","true"
"L19_SEED_2","OUTPUT_FREEZE_AFTER_STEP24","33","144","-30","0","98","6.4045973857354959","true","true"
"L19_SEED_2","OUTPUT_MOMENTS_RESET_AT_STEP24","56","144","-7","4","104","4.9037495191247871","true","true"
"L19_SEED_2","ATTENTION_MOMENTS_RESET_AT_STEP24","59","144","-4","3","104","4.7824763379279629","true","true"
"L19_SEED_4","OUTPUT_FREEZE_AFTER_STEP24","48","144","2","6","98","6.9761868055708378","true","true"
"L19_SEED_4","OUTPUT_MOMENTS_RESET_AT_STEP24","48","144","2","6","95","7.2323063668152026","true","true"
"L19_SEED_4","ATTENTION_MOMENTS_RESET_AT_STEP24","41","144","-5","4","91","7.7582516224387241","true","true"
"L18_SEED_2_CONTROL","OUTPUT_FREEZE_AFTER_STEP24","61","144","-4","6","114","4.394133113219497","true","true"
"L18_SEED_2_CONTROL","OUTPUT_MOMENTS_RESET_AT_STEP24","51","144","-14","6","108","6.0421773927785205","true","true"
"L18_SEED_2_CONTROL","ATTENTION_MOMENTS_RESET_AT_STEP24","43","144","-22","3","93","6.8982513738866142","true","true"
"L19_SEED_1","ATTENTION_BRANCH_ZERO","144","144","114","24","144","0.00072629718551649647","true","true"
"L19_SEED_1","FFN_BRANCH_ZERO","26","144","-4","0","54","10.781213119463875","true","true"
"L19_SEED_2","ATTENTION_BRANCH_ZERO","144","144","81","24","144","0.001119001362679432","true","true"
"L19_SEED_2","FFN_BRANCH_ZERO","39","144","-24","0","71","9.0210964271391578","true","true"
"L19_SEED_4","ATTENTION_BRANCH_ZERO","144","144","98","24","144","0.0012847585462045785","true","true"
"L19_SEED_4","FFN_BRANCH_ZERO","27","144","-19","2","67","9.0795798101366962","true","true"
"L18_SEED_2_CONTROL","ATTENTION_BRANCH_ZERO","144","144","79","24","144","0.0010480252819834817","true","true"
"L18_SEED_2_CONTROL","FFN_BRANCH_ZERO","23","144","-42","0","66","7.2646699311589238","true","true"
